tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_time,Audiogram_none,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,41.12792320002336,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.7776701489202433, 0.5608792376358445, 0.4885410560354432, 0.5439641276169376]","[5039.684199579493, 3363.5856610148585, 2244.9240966187463, 1498.3070768766815]",Perfect_5th,"[30, 30, 30, 30]",72.70778319996316,75.44811430003028,75.44811430003028,76.67272290005349,['space'],1,[0.5732078000437468],75.44811430003028,77.20265580003615,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.5989061129929018, 0.5989061129929018, 0.5989061129929018, 0.5989061129929018]","[161.7599000029118, 2279.9170578191656, 7017.943753526884, 1362.001196065177]",None,"[30, 30, 30, 30]",86.9049035999924,89.6340738000581,89.6340738000581,90.85896990005858,None,0,,89.6340738000581,91.44312049995642,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,0,"[0.5818994920630681, 0.506032009309688, 0.7256641685448768, 0.6026015493967245]","[178.69224004702576, 5570.972153010443, 348.6257137584915, 564.9332385348089]",None,"[30, 30, 30, 30]",100.20628329995088,102.96304860000964,102.96304860000964,104.17785940004978,None,1,,102.96304860000964,104.79648879996967,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.4919103822849254, 0.7425199036575715, 0.49004427402123885, 0.43089268161521177]","[277.182630976872, 311.12698372208087, 349.2282314330038, 391.99543598174927]",Tone,"[30, 30, 30, 30]",113.971937000053,116.61974969995208,116.61974969995208,117.85546600003727,['space'],1,[0.9458375000394881],116.61974969995208,118.26579089998268,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.6488763231488102, 0.6488763231488102, 0.6488763231488102, 0.6488763231488102]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",126.97414199996274,129.84608649997972,129.84608649997972,131.0646156000439,None,1,,129.84608649997972,131.70228890003636,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.5561597000342,None,space,42.697126399958506,135.5561597000342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3172035999596,179.32809570000973,179.76950266002677,179.9884300000267,180.26850185997318,180.4888690999942,180.78896125999745,181.00454989995342,181.26650736003648,181.49083350005094,179.67687600001227,181.49083350005094,181.77206176007167,None,181.49083350005094,182.29479369998444,space,2.987957200035453,182.47338940005284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.47338940005284,None,185.5273109000409,186.53543160005938,186.97513065999374,187.19642160006333,187.28379886003677,187.5064710000297,187.97656705998816,188.19840590003878,188.3984010600252,188.613297300064,186.88585960003547,188.70120879996102,188.99825686006807,189.2141735999612,188.70120879996102,189.50506860006135,space,1.6820414999965578,189.67619919998106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.67619919998106,None,191.42585850006435,192.43906020000577,192.90023916005157,193.11689790000673,193.37766046007164,193.58906220004428,193.88240435998887,194.09723569999915,194.39133726002183,194.604998899973,192.78661589999683,194.604998899973,194.8791921599768,195.1008756000083,194.604998899973,195.4238685000455,space,2.1678156999405473,195.59897299995646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.59897299995646,None,197.8249273999827,198.82627229997888,199.28907126002014,199.50947729998734,199.5970511600608,199.80964410002343,200.28074925998226,200.50879900006112,200.68868065997958,None,199.19841890002135,200.99919000000227,201.29131125996355,201.510172600043,200.99919000000227,201.80553620005958,201.98338760004845,None,203.00964780000504,None,240.21292419999372,None,2392.1828277524623,37.24799782389515,0.006082953358529106,0,"[0.723053423127078, 0.723053423127078, 0.723053423127078, 0.723053423127078]","[1506.9807499411843, 1691.5286993417767, 1898.6767686372602, 2131.1926148020007]",Tone,"[43.49534248380189, 43.33907123251382, 43.0, 42.843714326279006]",False,241.2065239000367,244.40989070001524,244.40989070001524,245.62148530001286,None,0,3.91952324018348,4.959707140107639,None,1,['space'],0,[0.48420920001808554],,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
