sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,25.308229999965988,None,65.5295551000163,None,0.16666666666666666,67.57757149997633,None,2.9861791144583414,frequency,758.0,-6.194354946458833,1.974002548540799e-05,0,26,[],0.022234010160900652,0.22063581016846,None,68.60326860006899,None,0.22063581016846,3.2068149246268014,68.80714430008084,None,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.688219790947927,frequency,675.0,-5.066153538951002,2.635143735587292e-05,0,27,[],0.015094910049811006,0.212406610022299,None,71.82328200002667,71.82328200002667,0.212406610022299,2.900626400970226,72.04201480001211,71.82328200002667,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.8295600939941066,frequency,601.0,-7.465997737098601,2.3575824181287627e-05,0,28,[],0.02367441006936133,None,None,74.74789800005965,74.74789800005965,0.23798531002830714,3.0675454040224137,74.97385040007066,74.74789800005965,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.085865352899026,frequency,535.0,-6.612524346414998,3.081888554318239e-05,0,29,[],0.023720809957012534,None,None,77.82343150000088,77.82343150000088,0.23383200995158404,1.3196973628506101,78.04083239997271,77.82343150000088,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.103522604555274,frequency,477.0,-0.7338500088424134,6.673647827152872e-05,0,30,[],0.023894810117781162,None,None,79.14400920004118,79.14400920004118,0.23694151011295617,2.3404641146682303,79.36342469998635,79.14400920004118,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.0820166995694414,frequency,425.0,-2.7992380750330437,5.4538116521602654e-05,0,31,[],0.02310490992385894,None,None,81.49562020006124,81.49562020006124,0.24315730994567275,1.325174009515114,81.71748370002024,81.49562020006124,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.5743549943282185,frequency,379.0,-8.0,3.264724102951903e-05,0,32,[],0.024175510043278337,None,None,82.8218702999875,82.8218702999875,0.23521340999286622,2.8095684043210847,83.03951849997975,82.8218702999875,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.4287872572827227,frequency,338.0,0.7038939146329066,0.00010047100106467655,0,33,[],0.01631770993117243,None,None,85.63846940000076,85.63846940000076,0.21693101001437753,1.6457182672971002,85.8564989999868,85.63846940000076,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.9404720663124624,frequency,301.0,-4.827991721104322,6.507525389503731e-05,0,34,[],0.02384730987250805,None,None,87.31167299998924,87.31167299998924,0.2329013099661097,3.173373376278572,87.52455319999717,87.31167299998924,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.0704871015119515,frequency,268.0,-1.751152746378768,0.00012131523806367682,0,35,[],0.020761910127475858,None,None,90.48627340001985,90.48627340001985,0.2222854100400582,1.2927725115520097,90.70638940006029,90.48627340001985,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,1.3381669997432173,frequency,239.0,-6.212309522120394,9.245363944966778e-05,0,36,[],0.02319080987945199,None,None,91.80049549997784,91.80049549997784,0.23108870990108699,1.5692557096443043,92.0169479000615,91.80049549997784,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,1.2133783641170175,frequency,213.0,-3.0302695730922693,0.0001692966842613931,0,37,[],0.022895209956914186,None,None,93.38091110007372,93.38091110007372,0.23661770997568965,1.4499960740927071,93.60005030001048,93.38091110007372,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,1.3836314018943396,frequency,190.0,-1.027823516566625,0.0002681743682478658,0,38,[],0.023606710019521415,None,None,94.83489359996747,94.83489359996747,0.2342104100389406,1.6178418119332802,95.0473921999801,94.83489359996747,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,2.0975451867039254,frequency,169.0,-3.669439606547053,0.00024797867068523146,0,39,[],0.02367301005870104,None,None,96.45231580000836,96.45231580000836,0.22969631000887603,2.3272414967128014,96.66710189997684,96.45231580000836,,,,,,bihhjl,001,fr,0,2022-06-23_11h59.24.147,Continuous,2022.1.1,None,
