frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
200,0,0,0,0,,,,,,,,,200,30,right,49.50702876673701,None,49.49036210007034,49.82983390009031,right,1,2.9084295000648126,47.01429439999629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
850,0,1,1,2,,,,,,,,,850,30,right,55.18334326666469,None,55.16667659999803,55.5024773000041,right,1,2.7950501000741497,52.71226790000219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
450,0,2,2,1,,,,,,,,,450,30,left,57.795157166725645,None,None,None,left,1,1.0119701999938115,57.327069199993275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
1300,0,3,3,3,,,,,,,,,1300,30,right,62.58827346674322,None,62.57160680007655,62.884149600053206,right,1,2.7944345000432804,60.136199700064026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
5000,0,4,4,4,,,,,,,,,5000,30,up,66.0090755667227,None,None,None,up,1,1.7984335999935865,64.54132940003183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,76.97342916665754,None,76.95676249999087,77.2870090000797,None,None,None,None,left,1,0.39267289999406785,76.98642309999559,None,None,None,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,80.92451016669317,None,78.8929846000392,79.21941580006387,79.89683890005108,80.22259050002322,80.87583020003513,None,right,1,2.2116967999609187,78.95892430003732,None,None,None,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,84.7428205666986,None,82.68824420007877,83.01710180006921,83.68589170009363,84.0280576000223,84.69152330001816,85.033687200048,right,1,2.2832875000312924,82.7436351000797,None,None,None,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,86.54836896673466,None,86.53170230006799,86.87051420006901,None,None,None,None,left,1,0.41986979998182505,86.56022960005794,None,None,None,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,89.53937046666785,None,88.50128110009246,88.8314846000867,89.52270380000118,89.84117010002956,90.50651970005129,90.82121130009182,up,1,3.1812239000573754,88.56659569998737,None,91.07127399998717,None,,,,,,,cbtxie,001,0,fr,2022-05-05_16h06.46.354,3-AFC_adaptive_staircase_mess,2022.1.1,35.214144248919624,
