tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,19.602923900005408,None,none,1000,30,0.0013930605843148849,False,1,"[0.47336260381567885, 0.6886218028787978, 0.6450703863632803, 0.4147013743212009]","[1486.2167942179688, 6668.455321477373, 163.58816846555638, 1146.8273677012114]",None,"[30, 30, 30, 30]",37.52489619993139,40.260794100002386,40.260794100002386,41.476210699998774,['space'],1,[0.495138099999167],40.260794100002386,41.90762029995676,None,1,['space'],0,[0.7671057999832556],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.466317221988745, 0.466317221988745, 0.466317221988745, 0.466317221988745]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",45.73553429997992,48.05001779994927,48.05001779994927,49.28027599991765,['space'],1,[0.4335566000081599],48.05001779994927,49.749963099951856,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,1,"[0.7109499213882278, 0.5393601704990638, 0.7365575215127071, 0.5455266975442158]","[1862.2446343132926, 977.6214645146031, 467.1049512978012, 2168.0840304929593]",None,"[30, 30, 30, 30]",53.005407999968156,55.9301091999514,55.9301091999514,57.15577379998285,None,1,,55.9301091999514,57.687817199970596,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.4187505776388707, 0.4187505776388707, 0.4187505776388707, 0.4187505776388707]","[2217.4610478149766, 1479.9776908465376, 987.7666025122483, 659.2551138257398]",Perfect_5th,"[30, 30, 30, 30]",60.23624289990403,62.42980709997937,62.42980709997937,63.646809999947436,['space'],1,[0.83784769999329],62.42980709997937,64.0914335999405,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.5519321175028784, 0.4705983834120811, 0.6303469518835939, 0.47679087245232776]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",67.2233772999607,69.80402729997877,69.80402729997877,71.02355939999688,None,1,,69.80402729997877,71.50370429991744,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.84481219993904,None,space,15.087058000033721,73.84481219993904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.01000099990051,90.02656949998345,90.47509046661823,90.7067790000001,90.97786816658142,91.20744059991557,91.47781226662143,91.70772189996205,91.99876186665303,None,90.3953046000097,92.19511319999583,92.48011656658879,None,92.19511319999583,93.02905379992444,space,1.0311625000322238,93.19616479997057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.19616479997057,None,94.2760690000141,95.29860139999073,95.76265726663793,None,96.03934176656573,None,96.74954826658747,None,97.14722746663416,None,95.65509719995316,97.47047109995037,97.75094606663721,None,97.47047109995037,98.3004396999022,space,0.9926772000035271,98.46814129990526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46814129990526,None,99.51605179999024,100.53590599994641,100.98629276658563,None,101.48725496657813,None,101.9899499666101,None,102.48888306663527,None,100.90673619997688,102.71843189990614,102.98932326661112,None,102.71843189990614,103.55149509990588,space,0.7969628000864759,103.7028977998998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7028977998998,None,104.54661769990344,105.57524979999289,106.025954066605,None,106.30377196666474,None,107.02681566664639,None,107.42488836666259,None,105.9118883999763,107.71901659993455,108.02774976665775,None,107.71901659993455,108.54391469992697,108.73575399990659,None,109.74845989991445,None,112.85279799997807,None,2889.151561030801,1.0,6.924241403505391e-05,1,"[0.5741344350103357, 0.6987876329834954, 0.4471637866274442, 0.48453397509270013]","[1146.560556818965, 1444.5757805154008, 1820.0514340396694, 2293.1211136379297]",Major_3rd,"[8.370031608802233, 7.067103149845728, 9.0, 10.35069724881328]",False,113.83735179994255,116.58971259999089,116.58971259999089,117.81976159999613,['space'],1,[0.27555959997698665],3.2511445668060333,4.284042566781864,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
