sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,25.134711199905723,None,50.41466209990904,None,0.5833333333333334,53.72432599996682,None,1.5788063013143845,frequency,4002.0,-4.901039250225294,4.782218794891839e-05,0,26,[],0.02271017001476139,0.21921236999332905,None,54.75552249990869,None,0.21921236999332905,1.7980186713077135,54.96259879996069,None,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.8507764432197655,frequency,2671.0,1.4415686620233579,8.885755648807454e-05,0,27,[],0.02417466987390071,None,['space'],56.56278009992093,56.56278009992093,0.23206676996778697,3.0828432131875525,56.7867473999504,56.56278009992093,[-1.404505499987863],,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.606720210801969,frequency,1783.0,0.7038764843625505,7.050140391296499e-05,0,28,[],0.02336627000477165,None,None,59.65973189997021,59.65973189997021,0.24265606992412359,2.8493762807260925,59.88194130000193,59.65973189997021,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.6753875856726486,frequency,,,,1,28,[],0.024265069980174303,None,None,62.511893999995664,62.511893999995664,0.2354214700171724,1.910809055689821,62.72418729995843,62.511893999995664,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.255716628801465,frequency,794.0,1.3889730464644234,4.5341486868562934e-05,0,29,[],0.024369170074351132,None,None,64.42353479994927,64.42353479994927,0.23806857003364712,1.493785198835112,64.63927279994823,64.42353479994927,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.175877228626753,frequency,530.0,1.6003564345614212,8.027210238210035e-05,0,30,[],0.024094470078125596,None,None,65.92530299990904,65.92530299990904,0.24591507005970925,1.4217922986864622,66.1493939999491,65.92530299990904,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.2931990969717522,frequency,354.0,0.0,8.849638639228378e-05,0,31,[],0.023376169963739812,None,None,67.34149269992486,67.34149269992486,0.22725086996797472,1.520449966939727,67.56166509992909,67.34149269992486,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.600932537344195,frequency,236.0,2.4517644429356804,0.00025847909185420343,0,32,[],0.020290669985115528,None,None,68.8778826999478,68.8778826999478,0.21788236987777054,2.8188149072219657,69.09782349993475,68.8778826999478,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.478278127858964,frequency,158.0,8.944540490027308,0.001201186288033789,0,33,[],0.024203569977544248,None,None,71.72649979998823,71.72649979998823,0.23168536997400224,2.709963497832966,71.94281199993566,71.72649979998823,,,,,,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,77.85292360000312,None,1.8779393425847928,none,148.0,7.918973269218981,0.0012889640105106783,0,26,[],0.02511767006944865,None,None,78.88051829999313,None,0.2530397700611502,2.130979112645943,79.10905129997991,None,,74.4488321999088,None,"[0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",,,,,cbtxie,001,fr,0,2022-05-05_15h50.30.825,Continuous,2022.1.1,None,
