frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
200,0,0,0,0,,,,,,,,,200,30,up,41.7318053199444,41.95170880004298,None,None,up,1,2.1930080999154598,40.253203699947335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
850,0,1,1,2,,,,,,,,,850,30,right,48.02088941999246,None,47.95911010005511,48.27510840003379,right,1,2.730340800015256,45.55491369997617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
5000,0,2,2,4,,,,,,,,,5000,30,left,51.174672119948085,None,None,None,left,1,1.0703675999538973,50.71949869999662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
1300,0,3,3,3,,,,,,,,,1300,30,left,54.28620651997626,54.51231649995316,None,None,left,1,0.9343770999694243,53.830708599998616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
450,0,4,4,1,,,,,,,,,450,30,left,58.04323851997033,None,None,None,left,1,0.9548086000140756,57.585614899988286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,65.82575182004366,66.04106359998696,64.76997839997057,65.11599570000544,65.79666650004219,66.10116980003659,None,None,up,1,1.2988725000759587,64.82557159999851,None,None,None,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,68.64582072005142,68.85949850000907,67.6289316000184,67.94637719995808,68.61673540004995,68.92067430005409,None,None,up,1,1.2797710000304505,67.66180799994618,None,None,None,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,70.47760121994652,None,70.4184681000188,70.7372315999819,71.41650960000698,None,None,None,left,1,0.9062402000417933,70.48163920000661,None,None,None,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,73.94806801998057,74.16517359996215,72.90758410003036,73.20825819997117,73.88986270001624,74.19732929999009,None,None,up,1,1.3637623999966308,72.93673319998197,None,None,None,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,75.84500261994545,76.06772749999072,75.81591729994398,76.12599710002542,None,None,None,None,left,1,0.5178249999880791,75.84734540001955,None,None,None,,,,,,,cmzntn,001,0,fr,2022-05-02_15h13.11.669,3-AFC_adaptive_staircase_mess,2022.1.1,29.62092327551204,
