tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,18.215076900087297,None,both,1000,30,0.0013930605843148849,False,1,"[0.696938616956349, 0.696938616956349, 0.696938616956349, 0.696938616956349]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",32.352303600055166,35.37951190001331,35.37951190001331,36.596192600089125,['space'],1,[0.5436405000509694],35.37951190001331,37.30522270000074,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.6967950362386863, 0.6967950362386863, 0.6967950362386863, 0.6967950362386863]","[992.1256574801249, 1250.0000000000002, 1574.9013123685916, 1984.2513149602494]",Major_3rd,"[30, 30, 30, 30]",40.415681099984795,43.43201420002151,43.43201420002151,44.663994700065814,['space'],1,[0.4759329999797046],43.43201420002151,45.34754990006331,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.7463577119684733, 0.7463577119684733, 0.7463577119684733, 0.7463577119684733]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",50.088920400012285,53.26152220007498,53.26152220007498,54.497068600030616,['space'],0,[0.4551287000067532],53.26152220007498,55.22972599999048,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.6884444979811041, 0.6884444979811041, 0.6884444979811041, 0.6884444979811041]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",59.66340379999019,62.65599730005488,62.65599730005488,63.8824653000338,['space'],1,[1.1876112000318244],62.65599730005488,64.57336250005756,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.5375511375747186, 0.5375511375747186, 0.5375511375747186, 0.5375511375747186]","[629.9605249474366, 500.00000000000006, 396.8502629920499, 314.9802624737183]",Major_3rd,"[30, 30, 30, 30]",68.07175950007513,70.60796350007877,70.60796350007877,71.82507840008475,None,1,,70.60796350007877,72.3675443000393,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.00438110006507,None,space,10.81480399996508,76.00438110006507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.86163540009875,87.88169650000054,88.32461346668812,None,88.82391996676257,None,89.32485866669255,None,89.82812296675208,None,88.24160420009866,90.04149370000232,90.32633506675872,None,90.04149370000232,90.87448009999935,space,1.530032099923119,91.04944070009515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.04944070009515,None,92.62370980007108,93.64229290001094,94.08025046665377,None,94.39512086665879,None,95.09590956668059,None,95.49816156673866,None,94.00400130008347,95.81765600002836,96.09691926668553,None,95.81765600002836,96.64727590000257,space,1.4180656999815255,96.79401200008579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.79401200008579,None,98.26180560002103,99.2829276000848,99.74185276666346,None,100.21933716669834,None,100.72303116665377,None,101.22827666666514,None,99.63795660005417,101.45892400003504,101.73699106666415,None,101.45892400003504,102.28454770008102,space,0.869247299968265,102.46222890005447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.46222890005447,None,103.3693021000363,104.39861460006796,104.8476101667077,None,105.158167366699,None,105.84246966668094,None,106.24456546671378,None,104.74355430004653,106.56717100006063,106.83753056667435,None,106.56717100006063,107.39847850007936,107.55855770001654,None,108.57592130010016,None,120.47546520002652,None,204.6530389115239,0.0,0.00025632603457436954,1,"[0.7950234092423719, 0.7420626731099078, 0.7723642464987162, 0.4800634593106468]","[128.92333582479176, 144.71155160477292, 162.43322462832094, 182.3251300298016]",Tone,"[6.0, 6.784655761813158, 7.314859589979637, 7.0]",False,121.46394400007557,124.80625440005679,124.80625440005679,126.04767090000678,['space'],1,[0.13968519994523376],3.8048876667162403,4.829948466736823,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
