sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.70811559993308,None,41.36303559993394,None,"[0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",43.39219319995027,None,2.4383028999292184,none,501.0,1.901737851413281,8.873757838020681e-05,0,26,[],0.002534666797146201,None,None,44.44419670000207,None,0.20945656683761626,2.6477594667668347,44.66104069992434,None,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.6798044584157783,none,446.0,-0.6387638448100539,6.894276085196957e-05,0,27,[],0.012019266723655164,None,['space'],47.12578439991921,47.12578439991921,0.21604046667926013,1.8958449250950384,47.3418040999677,47.12578439991921,[-2.0435598000185564],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.0262725881813803,none,795.0,0.06121289248784045,3.8868377448268246e-05,0,28,[],0.012040466768667102,None,['space'],49.04223279992584,49.04223279992584,0.21300096670165658,1.239273554883037,49.25565359997563,49.04223279992584,[-1.047824699897319],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.6832047207316136,none,,,,1,28,[],0.012242766795679927,None,None,50.30925319995731,50.30925319995731,0.21359726681839675,1.8968019875500104,50.52183709992096,50.30925319995731,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.4302632068921193,none,158.0,-0.635721205127135,0.0003986550603198133,0,29,[],0.013412966742180288,None,None,52.22501970001031,52.22501970001031,0.21512326668016613,1.6453864735722854,52.440346500021406,52.22501970001031,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.2295336550567428,none,354.0,-2.0,7.02951783824607e-05,0,30,[],0.012159966747276485,None,['space'],53.893878899980336,53.893878899980336,0.2134579666890204,1.4429916217457632,54.10954029997811,53.893878899980336,[-1.08352530002594],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.2885659493480563,none,236.0,-1.479683751815124,0.0001643815266083841,0,31,[],0.011913966736756265,None,None,55.36499689996708,55.36499689996708,0.22289406671188772,2.511460016059944,55.58336960000452,55.36499689996708,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.172805741848288,none,631.0,1.7644500726789265,6.258172335260658e-05,0,32,[],0.01195046678185463,None,['space'],57.89204189996235,57.89204189996235,0.21548626676667482,2.388292008614963,58.10117329994682,57.89204189996235,[-1.881164800026454],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.0800472529812002,none,562.0,0.8379234328284904,6.80287638131504e-05,0,33,[],0.0081635668175295,None,['space'],60.2966005000053,60.2966005000053,0.2112588668242097,1.2913061198054099,60.513214799924754,60.2966005000053,[-1.7579732000594959],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,65.46232059993781,None,2.512563599223607,frequency,141.0,0.5548056371921459,0.000618548864912512,0,26,[],0.012679966748692095,None,None,66.50416100001894,None,0.2063225667225197,2.7188861659461265,66.71535610000137,None,,61.628079999936745,None,0.16666666666666666,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.0287695170984532,frequency,158.0,0.19619437268567397,0.00043872568432988947,0,27,[],0.009166666772216558,0.2086565667996183,['space'],69.25526110001374,69.25526110001374,0.2086565667996183,1.2374260838980715,69.47070159995928,69.25526110001374,[-1.9485162000637501],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.9812963321530788,frequency,177.0,-1.267565935451354,0.0003017904706176775,0,28,[],0.004679366713389754,0.19851766678038985,['space'],70.52551359997597,70.52551359997597,0.19851766678038985,3.1798139989334686,70.74332739994861,70.52551359997597,[-0.7712009999668226],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.6336893719340817,frequency,199.0,-0.6733491043845594,0.00024901226694889583,0,29,[],0.004350766655988991,None,None,73.74744810000993,73.74744810000993,0.20111106662079692,2.8348004385548786,73.96462119999342,73.74744810000993,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.373336477878503,frequency,223.0,-1.4657713554760436,0.00018615953603295,0,30,[],0.011465066811069846,None,['space'],76.62794789997861,76.62794789997861,0.21353306679520756,2.5868695446737107,76.84479310002644,76.62794789997861,[-2.2502772000152618],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.9558268652322408,frequency,250.0,-1.8774638238331143,0.00013492636275958594,0,31,[],0.011561166611500084,None,['space'],79.23627819993999,79.23627819993999,0.21465086669195443,2.170477731924195,79.45229409995954,79.23627819993999,[-2.10640519997105],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.7989046275611984,frequency,281.0,-1.806125925273901,0.00010936318924067154,0,32,[],0.011365966754965484,None,['space'],81.42678109998815,81.42678109998815,0.21449336677324027,3.0133979943344387,81.64400839991868,81.42678109998815,[-1.2727194000035524],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.856122652595693,frequency,315.0,-1.8750129165210954,7.947295446117383e-05,0,33,[],0.011288566747680306,None,['space'],84.46270909998566,84.46270909998566,0.21472736669238657,2.0708500192880797,84.68659319996368,84.46270909998566,[-1.89345350000076],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.3266186508610875,frequency,354.0,-2.0,7.02951783824607e-05,0,34,[],0.0045451667392626405,None,None,86.55929879995529,86.55929879995529,0.19863736676052213,2.5252560176216097,86.77732959995046,86.55929879995529,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.1837897948890594,frequency,,,,1,34,[],0.01143046678043902,None,None,89.13012180000078,89.13012180000078,0.2134723667986691,1.3972621616877285,89.34669259993825,89.13012180000078,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,1.2439296406742057,frequency,446.0,-1.6444696254950975,6.140494998370449e-05,0,35,[],0.012632366735488176,None,None,90.55384359997697,90.55384359997697,0.216805066796951,1.4607347074711567,90.7649681000039,90.55384359997697,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,2.1397971120110055,frequency,501.0,1.3576084203687544,8.334913580007838e-05,0,36,[],0.010970066767185926,None,['space'],92.03915119997691,92.03915119997691,0.22718556667678058,2.366982678687786,92.26226410001982,92.03915119997691,[-0.7801696000387892],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,12,0,12,0,,,,,,,,2.2381788148327404,frequency,562.0,0.6539012094302117,6.66026436745359e-05,0,37,[],0.01091916672885418,None,None,94.42049099993892,94.42049099993892,0.21508936665486544,2.453268181487606,94.63591339997947,94.42049099993892,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,13,0,13,0,,,,,,,,1.7038669195765355,frequency,631.0,3.419504432858344,7.571819219183064e-05,0,38,[],0.00413936679251492,0.19750596676021814,['space'],96.90479760000017,96.90479760000017,0.19750596676021814,1.9013728863367536,97.12091179995332,96.90479760000017,[-1.7743023000657558],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
1,0,1,0,14,0,14,0,,,,,,,,1.8041224472788269,frequency,708.0,-1.497583398820722,3.730489678023893e-05,0,39,[],0.010957066784612834,None,['space'],98.8436252999818,98.8436252999818,0.21503336681053042,2.0191558140893573,99.06145179993473,98.8436252999818,[-1.0569206000072882],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,"[0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333]",107.70701859996188,None,2.8469430853812026,none,7638.0,0.5649446905092985,0.00018202857096576738,0,34,[],0.01310436672065407,None,None,108.74560669995844,None,0.22783276671543717,3.0747758520966397,108.96379940002225,None,,100.88716949999798,None,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.1669487957374818,none,1702.0,2.8628460038817742,8.531010054092542e-05,0,35,[],0.01026276673655957,None,['space'],111.83042220002972,111.83042220002972,0.21487096673808992,1.3818197624755717,112.04731029993854,111.83042220002972,[-2.187802900094539],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,2.5103237644985787,none,402.0,-0.8520135402493003,6.930893000646288e-05,0,36,[],0.010777266812510788,None,None,113.24002209992614,113.24002209992614,0.21799886680673808,2.728322631305317,113.45132729993202,113.24002209992614,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.096910765554316,none,2144.0,-1.0,6.952102243323557e-05,0,37,[],0.003481866675429046,0.19509376666974276,None,115.9940713000251,115.9940713000251,0.19509376666974276,1.2920045322240588,116.20822819997557,115.9940713000251,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,2.59489612925434,none,5401.0,-3.5298281884277896,9.188773082417734e-05,0,38,[],0.010762266698293388,None,None,117.32942480000202,117.32942480000202,0.21605956670828164,2.8109556959626216,117.55420499993488,117.32942480000202,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.5015499564521393,none,1136.0,0.37077401403532645,5.191019059702955e-05,0,39,[],0.01084766665007919,None,['space'],120.16737919999287,120.16737919999287,0.21367456670850515,1.7152245231606444,120.38964579999447,120.16737919999287,[-2.3495124999899417],,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.8146215672084938,none,253.0,-1.4843872388523731,0.00013849371875217592,0,40,[],0.010588366654701531,None,None,121.91533460002393,121.91533460002393,0.2141041667200625,2.0287257339285563,122.13183379999828,121.91533460002393,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,2.2717550462847047,none,3605.0,-2.5424069729301912,5.746535293662827e-05,0,41,[],0.010666366782970726,None,None,123.97748549992684,123.97748549992684,0.21332976676058024,2.485084813045285,124.1893630999839,123.97748549992684,,,,,cmzntn,001,fr,0,2022-05-02_14h30.28.722,Continuous,2022.1.1,None,
