frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
850,0,0,0,2,,,,,,,,,850,30,left,49.01226725000024,49.235424200000125,None,None,left,1,1.564387099999749,48.53915050000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
450,0,1,1,1,,,,,,,,,450,30,up,55.96183295000001,None,None,None,up,1,1.8614925000001676,54.50652570000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
5000,0,2,2,4,,,,,,,,,5000,30,up,61.92877555000005,None,None,None,up,1,2.1199166999995214,60.46313190000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
200,0,3,3,0,,,,,,,,,200,30,left,65.74292165000006,None,None,None,left,1,1.0713259999997717,65.30326229999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
1300,0,4,4,3,,,,,,,,,1300,30,up,70.34031885000022,None,None,None,up,1,2.0165562999995927,68.88629250000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,85.20694405000003,None,85.17727190000005,85.50343240000029,None,None,None,None,left,1,0.581172400000014,85.20966150000004,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,88.3546504500001,None,87.30718700000034,87.62881379999999,88.29258670000036,88.61771110000018,None,None,up,1,1.450350999999955,87.34036090000018,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,90.34068944999999,None,90.28098080000018,90.60518339999999,91.29382060000034,91.6160903,92.28072920000022,92.60420569999997,right,0,11.424426200000198,90.34307949999993,None,92.83029089999991,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,right,1000,15,0.000247725095402395,1,1,1,5,105.31860945000025,None,103.25145950000024,103.57296980000001,104.27204100000017,104.59324860000015,105.25719900000013,105.58074710000028,right,1,2.659735499999897,103.31493159999991,None,105.80513530000007,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,15,0.000247725095402395,1,1,1,5,109.51252514999996,None,107.45504250000022,107.77878520000013,108.47186950000014,108.79076710000027,109.45032119999996,109.77565840000034,right,1,2.559610299999804,107.5190149,None,110.00401140000031,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,5,7.833755350540742e-05,-1,2,-1,-5.0,112.63920044999995,None,111.58892370000012,111.91248070000029,112.57711310000013,112.90065069999991,113.59341230000018,113.91803840000011,up,1,2.392534699999942,111.6548057,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,-1,2,-1,-5.0,115.62021455000021,None,115.55801060000022,115.8839210000001,None,None,None,None,left,1,0.8090087000000494,115.62329530000034,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,-1,2,-1,-5.0,119.96166185000001,None,117.93159289999994,118.25526230000014,118.91648149999992,119.23628170000029,119.93198970000003,120.2573497000003,right,1,5.067418899999666,117.99527149999994,None,120.47739200000024,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,-1,2,-1,-5.0,126.60357015000008,None,124.56155209999997,124.88377020000007,125.55628280000019,125.87836560000005,126.5738980000001,126.89938819999998,right,1,3.4588361000000987,124.62752660000024,None,127.11837770000011,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,-5.0,2.4772509540239506e-05,-1,2,-1,-5.0,130.64450075000022,130.85458900000003,129.5991038000002,129.9170922000003,130.61482860000024,130.9183981000001,131.61342289999993,131.93571139999995,up,1,3.007742899999812,129.6627555,None,132.1565297000002,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,left,1000,-5.0,2.4772509540239506e-05,-1,2,-1,-5.0,134.22832385,None,134.16651570000022,134.49071709999998,135.15890519999994,135.48267080000005,136.1832546999999,136.5052727000002,right,0,3.9420780000000377,134.2322509999999,None,136.7276224000002,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,up,1000,-2.5,3.303467240037979e-05,1,3,1,2.5,140.71591205000013,None,139.66941220000035,139.99095370000032,140.68623990000015,141.01139920000014,141.67493140000033,141.9984373000002,right,0,5.442908499999703,139.73215120000032,None,142.22200950000024,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,up,1000,0.0,4.405244365040069e-05,1,3,1,2.5,147.7239993500003,None,146.6821871000002,147.0023401000003,147.69432720000032,148.02128110000012,148.6891042000002,149.01074850000032,right,0,3.62065659999962,146.74643800000013,None,149.23451260000002,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,up,1000,2.5,5.874487774697646e-05,1,3,1,2.5,152.89482505000032,None,151.84945760000028,152.16870700000027,152.86515290000034,153.1923297000003,None,None,up,1,1.7818684999997458,151.91344350000008,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,right,1000,2.5,5.874487774697646e-05,1,3,1,2.5,157.24829224999993,None,155.18537340000012,155.50669349999998,156.1716561000003,156.49286419999999,157.18631630000027,157.51228880000008,right,1,2.5674214999999094,155.24736500000017,None,157.7339138000002,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,up,1000,-2.5,3.303467240037979e-05,-1,4,-1,-5.0,160.3801178499999,160.6064212000001,159.3121089000001,159.63397020000002,160.31302520000008,160.64047040000014,161.32334059999994,161.63513779999994,left,0,3.6624251999996886,159.3762595000003,None,161.8642232000002,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,1,5,1,2.5,166.57178585000028,None,164.53653480000003,164.85867580000013,165.5236606000003,165.84961310000017,166.5421137000003,166.86793579999994,right,1,3.894287500000246,164.60077249999995,None,167.09100000000035,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,1,5,1,2.5,172.06626425000022,None,170.01218730000028,170.33385399999997,170.99305649999997,171.3118843000002,172.0025998000001,172.32998850000013,right,1,2.7855255999998008,170.0446151000001,None,172.55262570000014,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,left,1000,-5.0,2.4772509540239506e-05,-1,6,-1,-5.0,174.39556515000012,None,174.3335936000003,174.65907070000003,175.3509282,175.67584490000036,176.33839650000027,176.65696460000026,right,0,3.2198358999999073,174.38721280000027,None,176.8793109000003,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1500,30,0.001527460556607757,0,0,-1,10,182.0655111500001,None,181.02335399999993,181.3452924000003,182.03583900000012,182.35734600000023,None,None,up,1,1.5273989000002075,181.08699539999998,None,None,None,right,1.8691326999996818,178.68112840000003,None,178.68112840000003,None,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,left,1500,30,0.001527460556607757,0,0,-1,10,184.1862008500003,None,184.12441050000007,184.44895889999998,None,None,None,None,left,1,0.5375057999999626,184.18922520000024,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,up,1500,10,0.0001527460556607757,-1,0,-1,-10,187.25321575000007,None,186.1969207000002,186.52962350000007,187.22354360000008,187.5501787000003,188.21357380000018,188.5390156000003,right,0,3.8870387000001756,186.27209570000014,None,188.76192990000027,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,up,1500,15,0.00027162516574621667,1,1,1,5,192.6961690500003,None,191.65679690000024,191.9768696000001,192.6664969000003,192.9938043000002,None,None,up,1,1.4961075000001074,191.7184858999999,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,right,1500,15,0.00027162516574621667,1,1,1,5,196.7804825500003,None,194.72240490000013,195.03519129999995,195.72862320000013,196.04200070000024,196.71883130000015,197.04060010000012,right,1,2.427667399999791,194.75481100000025,None,None,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,up,1500,5,8.589541935787943e-05,-1,2,-1,-5.0,199.72505474999988,None,198.67517480000015,198.9974844000003,199.6953825999999,200.0205745000003,200.6793901000001,201.00295170000027,right,0,6.531708200000139,198.73948880000034,None,201.22855049999998,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,up,1500,7.5,0.00011454338263838867,1,3,1,2.5,207.80699005000005,None,206.76101289999997,207.08234549999997,207.77731790000007,208.10291910000024,208.7694706000002,209.0864991000003,right,0,3.2542599999997037,206.82479160000003,None,209.31131800000003,None,,,,,,,cwzopc,001,0,english,2022-07-20_11h00.46.762,3-AFC_adaptive_staircase_mess,2022.1.1,33.801289654421886,
