tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,33.869282699999985,None,time,1000,30,0.0013930605843148849,False,1,"[0.6523312132839452, 0.6523312132839452, 0.6523312132839452, 0.6523312132839452]","[1826.8489673616841, 2770.5579939456525, 3440.569328375987, 404.40660121628343]",None,"[30, 30, 30, 30]",63.79735500000015,66.69230090000019,66.69230090000019,67.9253235000001,['space'],1,[1.3375637999997707],66.69230090000019,68.55735420000019,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.5510122988527038, 0.5510122988527038, 0.5510122988527038, 0.5510122988527038]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",82.25368449999996,84.8481071000001,84.8481071000001,86.07348279999997,['space'],1,[0.8537274999998772],84.8481071000001,86.61900990000004,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,1,"[0.6543657671305076, 0.6543657671305076, 0.6543657671305076, 0.6543657671305076]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",89.25810390000015,92.16258749999997,92.16258749999997,93.39794040000015,None,1,,92.16258749999997,94.05191890000015,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.5896714281651981, 0.4181839342677818, 0.6479158999801317, 0.566381236537537]","[429.2419198756678, 2319.054151037055, 557.8116632026453, 599.8705579054119]",None,"[30, 30, 30, 30]",99.28149770000027,101.86376180000025,101.86376180000025,103.06690179999987,['space'],1,[0.9169865999997455],101.86376180000025,103.65491359999987,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.5399802185402113, 0.5399802185402113, 0.5399802185402113, 0.5399802185402113]","[1623.2591524457423, 559.0180976228039, 5817.639470469983, 156.97992174276922]",None,"[30, 30, 30, 30]",106.30990710000015,108.87730349999993,108.87730349999993,110.09407790000023,None,1,,108.87730349999993,110.65156419999994,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.45744460000014,None,space,28.268310599999495,113.45744460000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.79147880000028,142.81775199999993,143.2623427900002,143.47408730000006,143.77774659000025,143.99242159999994,144.26334809000028,144.481988,144.75612379000032,144.97442300000012,143.15923810000004,144.97442300000012,145.28725509000006,145.51104600000008,144.97442300000012,145.7798657000003,space,2.248262800000248,145.98282440000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.98282440000003,None,148.28208700000005,149.31893990000026,149.7369510900002,149.94986210000025,150.05093759000002,150.27450690000023,150.75859439000024,150.98167620000004,151.15091439000017,151.3713187000003,149.66848900000014,151.4415202,151.7478781900003,151.96363509999992,151.4415202,152.26449200000025,space,1.3617204000001948,152.4672453000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.4672453000003,None,153.86809530000028,154.87256160000015,155.34610268999987,155.55524939999987,155.81750838999997,156.02209059999996,156.33116938999993,None,156.83125189000012,157.0417164999999,155.2448518000001,157.0417164999999,157.3392467900002,157.5573214000001,157.0417164999999,157.85336499999994,space,1.45630809999966,158.02114630000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.02114630000005,None,159.53203239999993,160.5518688000002,160.98906798999988,None,161.26792289000005,None,161.9746049899999,162.19038920000003,162.39195899000006,162.60944070000005,160.88023969999995,162.6763288000002,162.9784889900001,163.19392500000004,162.6763288000002,163.50369490000003,163.67316200000005,None,164.69620590000022,None,187.7707835000001,None,627.9411859754402,2.2414783890691052,6.664408332990512e-05,1,"[0.6059929473830347, 0.6059929473830347, 0.6059929473830347, 0.6059929473830347]","[249.19862479789322, 313.9705929877202, 395.5781591532043, 498.3972495957864]",Major_3rd,"[13.899582780124295, 13.308224635178409, 11.179917103400358, 9.094045895017006]",False,188.74157229999992,191.5920715000002,191.5920715000002,192.80854920000002,['space'],1,[0.35128020000001925],3.4660683300003257,4.493467330000385,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
