frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,right,33.230331959971224,None,33.1710520000197,33.48995960003231,right,1,2.9412421999732032,30.721942999982275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
200,0,1,1,0,,,,,,,,,200,30,left,37.416887559997846,37.63449149997905,None,None,left,1,1.5160633999621496,36.96366260002833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
5000,0,2,2,4,,,,,,,,,5000,30,left,41.97568565998226,None,None,None,left,1,0.9721715000923723,41.5234348999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
450,0,3,3,1,,,,,,,,,450,30,right,48.61151576002594,48.82692590006627,48.55231830000412,48.8541358000366,right,1,2.821106700110249,46.15407400007825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
850,0,4,4,2,,,,,,,,,850,30,left,52.25295386004727,52.47743269999046,None,None,left,1,1.2702931000385433,51.784155800007284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,60.25686316001229,None,60.19803149998188,60.51625680003781,None,None,None,None,left,1,0.4793562999693677,60.256791900028475,None,None,None,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,64.26213756001088,64.4902415999677,62.21136050007772,62.5087583999848,63.20850509998854,63.53422580007464,64.23264920001384,64.54946250002831,right,1,2.3704318000236526,62.26948060002178,None,None,None,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,66.2014734600205,66.41918720002286,66.17198510002345,66.47930660005659,None,None,None,None,left,1,0.6320635000010952,66.20084489998408,None,None,None,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,68.39488465997856,68.61155799997505,68.3371904999949,68.63804930006154,None,None,None,None,left,1,0.6594844999490306,68.3953729000641,None,None,None,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,71.58506856004242,71.79875040007755,70.53742609999608,70.86208430002443,71.55558020004537,71.8541410000762,None,None,up,1,1.532449100050144,70.59507040004246,None,None,None,,,,,,,ddmfvc,001,0,fr,2022-05-05_11h26.04.013,3-AFC_adaptive_staircase_mess,2022.1.1,32.93842359769827,
