tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,18.942911899997853,None,both,1000,30,0.0013930605843148849,False,1,"[0.6437437606660956, 0.6437437606660956, 0.6437437606660956, 0.6437437606660956]","[396.85026299205003, 500.00000000000017, 629.9605249474367, 793.7005259840998]",Major_3rd,"[30, 30, 30, 30]",32.86700910003856,35.7176287000766,35.7176287000766,36.91836260003038,['space'],1,[0.5612838998204097],35.7176287000766,37.585647300002165,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.6684596386316628, 0.6684596386316628, 0.6684596386316628, 0.6684596386316628]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",44.4083827000577,47.3557130000554,47.3557130000554,48.57087720010895,['space'],1,[0.6194716998143122],47.3557130000554,49.23834030004218,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,1,"[0.798042884041613, 0.7500143129525805, 0.6259386622149036, 0.6971433945804678]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",53.28561800008174,56.390826000017114,56.390826000017114,57.60471590002999,None,1,,56.390826000017114,58.300569700077176,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.7884261210057082, 0.7997026414218071, 0.553363110980414, 0.6233412294258263]","[2217.4610478149766, 1479.9776908465376, 987.7666025122483, 659.2551138257398]",Perfect_5th,"[30, 30, 30, 30]",62.70926440006588,65.77834600000642,65.77834600000642,66.9908825000748,['space'],1,[1.204539599828422],65.77834600000642,67.60900160006713,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.5359845398677161, 0.5393669801464115, 0.5511126756066554, 0.7041620204564834]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",72.71811880008318,75.28603940003086,75.28603940003086,76.51959020004142,None,1,,75.28603940003086,77.19413860002533,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31686820008326,None,space,28.146182599826716,81.31686820008326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.53254580008797,110.53343380009755,111.00905550009338,111.21990150003694,111.48629050009185,None,112.00051199999871,112.2181353000924,112.50966080004582,None,110.89090500003658,112.6913853000151,112.98966410005232,None,112.6913853000151,113.50360400008503,space,1.7127596999052912,113.68671130004805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.68671130004805,None,115.44768700003624,116.46452900010627,116.92698160005966,None,117.20919040002627,117.42076070001349,117.91615630005253,None,118.32499900000403,118.54424000007566,116.81069130008109,118.60450780007523,118.89779370004544,None,118.60450780007523,119.41500280005857,space,1.3765112998662516,119.62264770001639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.62264770001639,None,121.03961470001377,122.05456620000768,122.4941016000812,122.71575890004169,123.01276640006108,123.22758610011078,123.49920830008341,123.72687430004589,123.9920276000048,124.21642290009186,122.40225150005426,124.21642290009186,124.48796700005187,124.70716460002586,124.21642290009186,125.03334400011227,space,2.1436349998693913,125.20813400007319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.20813400007319,None,127.39332600007765,128.4119319000747,128.85815730009926,129.08808100002352,129.14865480008302,None,129.8445635000826,None,130.27236980007729,130.49156100000255,128.7707421000814,130.5483389000874,130.85313720005797,None,130.5483389000874,131.36824350000825,131.5736097000772,None,132.6151151000522,None,150.43603340000845,None,221.71636726306784,2.0,0.00028060910048479797,0,"[0.5150529985201127, 0.6052567573855323, 0.5528107790320261, 0.5005697098495986]","[168.43604516690456, 242.39683186103053, 159.05150562233032, 675.6177524698558]",None,"[7.6093112597021735, 9.0, 8.0, 5.0]",False,151.42178950004745,154.13406930002384,154.13406930002384,155.35503190010786,None,0,3.2118516999762505,4.238666799967177,None,1,None,1,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.69535950000864,None,902.8467409426411,-0.37594524155333126,3.9542116663626075e-05,1,"[0.40939056066770213, 0.40939056066770213, 0.40939056066770213, 0.40939056066770213]","[264.83070530130317, 2326.9504607002045, 405.1943178996548, 3070.435485348396]",None,"[10.6749502582452, 6.0, 9.171666375670391, 9.0]",False,156.6960843000561,158.94145660009235,158.94145660009235,160.1753976000473,['space'],1,2.6886089999461547,3.70187399990391,None,1,None,1,[0.44048829982057214],,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.42070050002076,None,378.9291416275994,1.0,9.203306692743987e-05,0,"[0.5922691035390244, 0.47070946618214315, 0.40061051106774603, 0.486190885502394]","[204.45019665152302, 130.31092189521368, 513.1936643643314, 5484.727658789557]",None,"[6.847316394817064, 12.0, 6.0, -1.4891035780236894]",False,161.43760990002193,163.93917800008785,163.93917800008785,165.16036800004076,None,0,2.9899679000955075,3.9926768000004813,None,1,None,1,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.47166630008724,None,,,,,"[0.6855488277636, 0.6855488277636, 0.6855488277636, 0.6855488277636]","[1940.2705330209897, 1294.9752176740762, 864.2922653569362, 576.8458807246707]",Perfect_5th,"[2.0, 2.5476544384013846, 5.745764438707836, 5.016899083795806]",True,166.4708048000466,169.5552122000372,169.5552122000372,170.78667690011207,None,1,3.7811924999114126,4.788685599924065,None,1,None,1,,0,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.2810596000636,None,378.9291416275994,1.0,9.203306692743987e-05,1,"[0.6746621195135916, 0.6746621195135916, 0.6746621195135916, 0.6746621195135916]","[699.2612468892864, 1911.85958035601, 4220.064091927482, 7541.371275039019]",None,"[5.23313629654465, 2.0, 2.0, 3.0]",False,172.28906880004797,175.34229320008308,175.34229320008308,176.56651920010336,['space'],1,3.727218799991533,4.756983700091951,None,1,None,1,[0.6095445998944342],,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.08300160011277,None,209.52323005503354,1.0,0.0002768966561287485,0,"[0.7792957948543979, 0.7792957948543979, 0.7792957948543979, 0.7792957948543979]","[2198.1917137895666, 423.26960502801774, 1295.5567164393444, 1457.159392321914]",None,"[5.0, 8.06241833369221, 2.5476544384013846, 1.8109081932435442]",False,178.0847870000871,181.4644588000374,181.4644588000374,182.6897926001111,None,0,4.1579262998420745,5.1805516998283565,None,1,None,1,,,,,,,,,,,,,,ddmfvc,001,fr,0,0,2022-05-05_10h34.05.823,Cluster,2022.1.1,36.51984835093601,
