frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,up,37.05491186684618,None,None,None,up,1,1.93017499987036,35.55747319990769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,1,1,1,,,,,,,,,450,30,left,42.38236116670693,None,None,None,left,1,0.9592969999648631,41.92663939995691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,2,2,0,,,,,,,,,200,30,up,46.9651172669294,None,None,None,up,1,1.8941860999912024,45.49608340021223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,3,3,2,,,,,,,,,850,30,up,51.00356866658355,None,None,None,up,1,1.7599890995770693,49.526119799818844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,4,4,4,,,,,,,,,5000,30,up,55.50206806656594,None,None,None,up,1,1.8036472997628152,54.04264899995178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,72.76592676673705,None,71.75383180007339,72.08530060015619,72.74926010007039,73.08559660008177,None,None,up,1,1.3099383995868266,71.78382499981672,None,None,None,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,74.65705396660293,None,74.6098183998838,74.94386010011658,None,None,None,None,left,1,0.44850129960104823,74.66910539986566,None,None,None,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,77.66602636693666,None,76.63483510026708,76.969510700088,77.62086419994012,77.96066869981587,None,None,up,1,1.291293399874121,76.6665574000217,None,None,None,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,80.50777126668642,None,79.46747299982235,79.79440669994801,80.45891699986532,80.80314079998061,None,None,up,1,1.324919399805367,79.49686670023948,None,None,None,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,82.36129176669444,None,82.34462510002777,82.67799950018525,83.33106919983402,83.66273700026795,None,None,up,0,1.3438820000737906,82.37435470009223,None,None,None,,,,,,,eqdcwr,001,0,fr,2022-05-24_15h35.25.988,3-AFC_adaptive_staircase_mess,2022.1.1,None,
