tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,None,None,none,1000,30,0.0013930605843148849,False,0,"[0.7876123737685296, 0.6956954298688365, 0.6886264580600716, 0.6733759447234458]","[4033.5398121875396, 577.8534830413929, 2620.975494368325, 355.5419109323983]",None,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,0,"[0.5155769078828242, 0.5155769078828242, 0.5155769078828242, 0.5155769078828242]","[203.33112348726272, 142.20507479197934, 502.9754142202328, 1403.5057102345395]",None,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,0,"[0.645891920172762, 0.4523024302397716, 0.4126893491626522, 0.40195121957845764]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.7142750527452276, 0.7142750527452276, 0.7142750527452276, 0.7142750527452276]","[698.456462866008, 622.253967444162, 554.3652619537443, 493.8833012561241]",Tone,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,0,"[0.5089953279664701, 0.6906937436259379, 0.7399399695939901, 0.6949009733731075]","[832.3654830141247, 565.2181515841235, 882.5639705565857, 2113.785109243937]",None,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.573588100029156,None,space,1.2240234999917448,24.573588100029156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.86999100004323,26.88272270001471,27.350027300231158,27.57409100001678,27.8560164000839,28.07710240012966,28.356064100097864,28.5641975000035,28.857383900135755,None,27.253415300045162,29.06008840003051,29.3504649000708,29.565640600165352,29.06008840003051,29.88918390008621,space,0.709492800058797,30.049268300179392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.049268300179392,None,30.797411000123248,31.821891400031745,32.25442530009896,32.46996880020015,32.56032330011949,None,33.28347000018694,33.50321940006688,33.65818480011076,None,32.160193300107494,33.957486000144854,34.25283070006408,34.47206580010243,33.957486000144854,34.791132900165394,space,0.5040926998481154,34.957710000220686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.957710000220686,None,35.53751340019517,36.563491500215605,37.00055240006186,None,37.48974490007386,37.707236300222576,38.000589200109246,38.21160650020465,38.48809610009194,38.70928720012307,36.91223800019361,38.70928720012307,38.99448420018889,None,38.70928720012307,39.53809840022586,space,0.467590699903667,39.69895810005255,None,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h15.22.540,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.69895810005255,None,40.203696500044316,41.226287099998444,41.64395060022362,None,41.96915530022234,42.17888580006547,42.66931790001691,None,43.06131280008704,43.27903650002554,41.55570030002855,43.37662210012786,43.67259440016933,43.878364600008354,43.37662210012786,44.19861200009473,44.34688280010596,None,None,None,45.387406000168994,None,,,,,,,,,,
