tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,None,None,time,1000,30,0.0013930605843148849,False,0,"[0.6675121347943924, 0.6675121347943924, 0.6675121347943924, 0.6675121347943924]","[590.3861011007272, 6762.006100686623, 181.31792923536827, 293.208727376071]",None,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,0,"[0.6464176537810293, 0.6464176537810293, 0.6464176537810293, 0.6464176537810293]","[992.1256574801249, 1250.0000000000002, 1574.9013123685916, 1984.2513149602494]",Major_3rd,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,0,"[0.6954266287100231, 0.6365743159318502, 0.6354183779716984, 0.574356935724967]","[3779.7631496846193, 4242.640687119285, 4762.203155904598, 5345.392308842036]",Tone,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.4739137550432102, 0.7380103919261563, 0.7287828605892849, 0.5146434567338543]","[2217.4610478149766, 1479.9776908465376, 987.7666025122483, 659.2551138257398]",Perfect_5th,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,0,"[0.5878726739551382, 0.5626668225758962, 0.7607537109702316, 0.7331830121119034]","[330.6530074466534, 688.2135966595215, 145.46402870949942, 4183.797791204848]",None,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23724010004662,None,space,6.004532700171694,23.23724010004662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.303692599991336,30.31062090001069,30.75610433998518,30.98655700008385,31.271701239887626,31.49508300004527,31.75816434007138,None,32.27354114004411,32.494795500067994,30.662002499913797,32.494795500067994,32.77420164006762,32.995446499902755,32.494795500067994,33.30100729991682,space,0.40529000014066696,33.47615369991399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.47615369991399,None,33.9548273999244,34.98203149996698,35.427555540017785,35.64976150006987,35.70677453991957,35.92900040000677,36.411393240001054,36.629745699930936,36.810777039872484,37.029700899962336,35.33805690007284,37.12530789989978,37.40233763996512,37.62643270008266,37.12530789989978,37.92929859994911,space,0.029018400236964226,38.10811090003699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.10811090003699,None,38.17602039990015,39.184350499883294,39.66164673995227,None,40.161923240078615,40.381355199962854,40.67818473991938,40.895074599888176,41.148461040016265,41.36868639988825,39.57436840003356,41.36868639988825,41.65020233988762,41.869030999951065,41.36868639988825,42.18351530004293,space,0.4796736999414861,42.36229379987344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.36229379987344,None,42.89525240007788,43.90713659999892,44.35637494004332,44.5784149998799,44.667021240014584,None,45.360614739963786,45.57459149998613,45.756183240003885,None,44.264278299873695,46.039630400016904,46.35574103998952,46.57336469995789,46.039630400016904,46.86044580000453,47.06014379998669,None,None,None,48.109049200080335,None,1650536225.0574503,1650536226.3442037,1.2867534160614014,189.4645708137998,2.0,0.0003824766710234111,1,"[0.6075313418215931, 0.7826977341766677, 0.6300873260962411, 0.45245061370939105]","[1598.5039882989092, 1282.8784817888393, 800.7089501043386, 4093.9892666420346]",None,"[9.26681740728439, 9.0, 3.464680763121044, 0.4940193753806348]",False,50.402007000055164,53.466150199994445,53.466150199994445,54.66901770001277,['space'],1,[0.49029260012321174],3.5094760204665363,4.5373761204537,None,1,['space'],0,[-6.848969999933615],,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
