tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,32.32488050009124,None,both,1000,30,0.0013930605843148849,False,1,"[0.6394122519386436, 0.6394122519386436, 0.6394122519386436, 0.6394122519386436]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",47.205368200084195,50.066464900039136,50.066464900039136,51.30190349998884,['space'],1,[0.5124887998681515],50.066464900039136,52.191505500115454,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.7968526674507423, 0.7968526674507423, 0.7968526674507423, 0.7968526674507423]","[1545.505104332272, 323.19208692031293, 647.7383737066757, 4850.8608353475]",None,"[30, 30, 30, 30]",57.754695900017396,61.07643140014261,61.07643140014261,62.30883630015887,['space'],1,[1.0399087998084724],61.07643140014261,63.377539900131524,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.4758881491939131, 0.4758881491939131, 0.4758881491939131, 0.4758881491939131]","[636.8531546127867, 443.48311556713963, 693.655465827126, 552.9827572345862]",None,"[30, 30, 30, 30]",68.77150190016255,71.11795680015348,71.11795680015348,72.35264659998938,None,1,,71.11795680015348,73.05586319998838,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.5759148575756095, 0.7441862273608112, 0.4496107053143963, 0.640307813106686]","[197.62377091045005, 6034.4623582678705, 166.16518450745554, 926.0360666023936]",None,"[30, 30, 30, 30]",77.27656100015156,79.99330620002002,79.99330620002002,81.22905860003084,['space'],1,[1.0015706999693066],79.99330620002002,82.13153170002624,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.44985265374057976, 0.44985265374057976, 0.44985265374057976, 0.44985265374057976]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",86.75081430003047,89.03639800008386,89.03639800008386,90.2707046000287,None,1,,89.03639800008386,90.94627410010435,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.28377510001883,None,space,39.711194599978626,95.28377510001883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0601003000047,136.07669130014256,136.53927415020297,None,137.0444651501486,None,137.53800975012126,None,138.03081585017497,138.2597294000443,136.44335440010764,138.2597294000443,138.54099995007272,138.75532630016096,138.2597294000443,139.08811800018884,space,1.2272884000558406,139.2407159002032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2407159002032,None,140.53367060003802,141.54283350007609,142.01676445004995,None,142.32579315004403,None,143.01144875020253,143.23136900016107,143.41355645020957,None,141.92422260018066,143.7020190001931,144.01262665020766,144.23158300016075,143.7020190001931,144.51754140015692,space,1.0211330999154598,144.72668300010264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.72668300010264,None,145.79323410009965,146.81578950001858,147.26643825012724,None,147.76269545003305,147.96951630013064,148.2402487501269,148.47077160002664,148.7486359501956,148.97064330009744,147.14736960013397,148.97064330009744,149.2435485501075,None,148.97064330009744,149.79801750020124,space,1.1759784000460058,149.9477510000579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.9477510000579,None,151.159272500081,152.17956720013171,152.62273265018592,152.84143130015582,152.90268395019228,None,153.61423295007552,None,154.02951315015088,154.24804130010307,152.53298720018938,154.30629279999994,154.63265815021003,154.85835270001553,154.30629279999994,155.110131500056,155.30828530015424,None,156.3421143000014,None,173.83596540009603,None,378.9291416275994,-8.0,3.2654564398085426e-05,0,"[0.6601293201031297, 0.6601293201031297, 0.6601293201031297, 0.6601293201031297]","[457.2104239240792, 5386.958564757102, 316.66388208443186, 446.11736496945775]",None,"[3.0, 2.566116844466812, 6.059135077977032, 3.0]",False,175.76779379998334,178.78285830002278,178.78285830002278,180.01765430020168,None,0,3.685500700492412,4.707561400486156,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.48213260015473,None,1467.4035876936086,7.295411624750171,0.00011375133084055245,1,"[0.5179428406675914, 0.5179428406675914, 0.5179428406675914, 0.5179428406675914]","[574.824529019109, 576.2332464352753, 246.74803559243094, 1752.2477103094946]",None,"[1.3517870611377325, 1.3517870611377325, 4.0, 8.426474349612413]",False,182.48455390008166,185.05520429997705,185.05520429997705,186.28874160000123,['space'],1,3.099866400239989,4.105344700394198,None,1,None,1,[0.606060599675402],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.62552770017646,None,378.9291416275994,-8.0,3.2654564398085426e-05,1,"[0.7785568911072407, 0.7785568911072407, 0.7785568911072407, 0.7785568911072407]","[238.71040097760402, 267.9433656340732, 300.75625902052906, 337.5874865420474]",Tone,"[3.5253033140191206, 4.941271169810042, 6.0, 6.0]",False,189.55968960002065,192.9199705000501,192.9199705000501,194.14949690015055,['space'],1,4.138470450649038,5.158631250727922,None,1,None,1,[0.560427000047639],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.73607710003853,None,,,,,"[0.7699509354182895, 0.429284226204529, 0.7245599706353485, 0.7539562659140683]","[199.99323972060643, 1078.7532580658328, 7169.859519687456, 1146.1540626259225]",None,"[2.895042193204213, 6.437138982256159, 4.774566040266244, 7.374753143792167]",True,196.7524129000958,199.7034935001284,199.7034935001284,200.93848830019124,None,1,3.719852300360799,4.7448580004274845,None,1,None,1,,0,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
