frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,right,57.17163180997595,None,57.106302900006995,57.428822099929675,right,1,5.038486199919134,54.67436489998363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
200,0,1,1,0,,,,,,,,,200,30,left,63.99807190983556,64.21348259993829,65.94484299980104,66.2464830998797,left,1,3.0926451000850648,63.53260639985092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
850,0,2,2,2,,,,,,,,,850,30,up,70.62768071000464,None,None,None,up,1,2.083438199944794,69.16642689984292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
1300,0,3,3,3,,,,,,,,,1300,30,left,76.63994630980305,None,None,None,left,1,1.1025132001377642,76.17917050002143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
5000,0,4,4,4,,,,,,,,,5000,30,up,85.04567471002228,85.26472699991427,None,None,up,1,1.8591211999300867,83.5816442000214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,103.92802941002883,None,102.87714879983105,103.19951609987766,103.87190179992467,104.17567089991644,None,None,up,1,1.5472688002046198,102.93468139995821,None,None,None,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,108.03193161003291,108.24806279991753,105.98216150002554,106.30765269999392,106.97961679985747,107.30223020003177,107.9712149000261,108.2795666998718,right,1,2.331287099979818,106.03810699982569,None,None,None,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,109.92031640997156,110.13594639999792,109.86085559986532,110.16295079980046,None,None,None,None,left,1,0.6093401999678463,109.91981470002793,None,None,None,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,113.05931510981172,113.27658739988692,112.0091852999758,112.31394769996405,113.0311484998092,113.33171529998071,None,None,up,1,1.5135635000187904,112.07115009985864,None,None,None,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,116.10856310995295,116.32939939992502,115.0576777998358,115.38210539985448,116.04711649985984,116.35961619997397,None,None,up,1,1.637018300127238,115.11642459989525,None,None,None,,,,,,,erfnpg,001,0,fr,2022-05-10_14h32.08.030,3-AFC_adaptive_staircase_mess,2022.1.1,35.54605131782861,
