tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,answer_too_late.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,23.09725850005634,None,time,1000,30,0.0013930605843148849,False,1,"[0.42980746876594983, 0.42980746876594983, 0.42980746876594983, 0.42980746876594983]","[915.049533877502, 661.0802564264017, 2294.5643561538627, 427.446968001355]",None,"[30, 30, 30, 30]",53.14125089999288,55.37090150010772,55.37090150010772,56.57365799997933,['space'],1,[1.1970001999288797],55.37090150010772,57.019412599969655,None,1,['space'],0,[1.2668480998836458],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.7018960311472179, 0.6788382856090064, 0.7948363324057378, 0.5197290099035488]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",64.96124370000325,68.05333220004104,68.05333220004104,69.29918850003742,['space'],1,[0.883386499946937],68.05333220004104,69.79701570002362,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,1,"[0.744395383329067, 0.6575109696896195, 0.404840492243441, 0.7690323587247001]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",73.21584940003231,75.95940040005371,75.95940040005371,77.19690280011855,None,1,,75.95940040005371,77.9512332000304,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.48482209105664786, 0.48482209105664786, 0.48482209105664786, 0.48482209105664786]","[698.456462866008, 622.253967444162, 554.3652619537443, 493.8833012561241]",Tone,"[30, 30, 30, 30]",83.40037170005962,85.77450100006536,85.77450100006536,86.99483560002409,['space'],1,[1.0652904999442399],85.77450100006536,87.48923199996352,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,0,"[0.7274694551914115, 0.6315264187865179, 0.7156494566865058, 0.4798512824360571]","[154.61294016862226, 179.06721655623411, 313.2757838544585, 4507.326932183978]",None,"[30, 30, 30, 30]",101.81100650015287,104.80869460012764,104.80869460012764,106.01678740000352,['space'],0,[0.5426570000126958],104.80869460012764,106.50968519994058,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.20193770015612,None,space,31.830020299879834,113.20193770015612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.07382249995135,146.1002968000248,146.55193416664068,None,147.05919806665432,None,147.55964716669794,None,148.06036666670505,None,146.47778349998407,148.28424150007777,148.56200256670516,None,148.28424150007777,149.10176500002854,space,1.9481353999581188,149.2758627999574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2758627999574,None,151.29369520000182,152.3151349001564,152.7707317667703,None,153.07267036667716,None,153.75625656667788,None,154.168208066669,154.38479909999296,152.66564469994046,154.47258700011298,154.77727066661853,None,154.47258700011298,155.2940350000281,space,1.8010148000903428,155.47033770009875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.47033770009875,None,157.3318163000513,158.37181090004742,158.79462766676832,None,159.29415756679762,159.51496020006016,159.81527726661105,160.04136430006474,160.2950737667891,None,158.72109870007262,160.5177989001386,160.7974941668256,None,160.5177989001386,161.34458329994231,space,1.209664999973029,161.51873810007237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.51873810007237,None,162.76829369994812,163.7962911000941,164.24862976681132,None,164.52385006664943,None,165.23767466663074,165.45613730000332,165.64943356678512,None,164.14000899996608,165.9409491000697,166.2237385668016,None,165.9409491000697,166.76929150009528,166.94394859997556,None,167.97607480012812,None,198.7759706999641,None,346.321658785051,1.1866726115627373,0.00010373684422501853,0,"[0.7638346531817533, 0.46655071485507277, 0.5230519114254184, 0.4515674067054198]","[4241.116145720248, 1345.8549363317427, 2500.577041995356, 5432.236748859264]",None,"[1.2789042272521218, 7.0, 8.865510346829453, 0.40123166226580054]",False,199.73820629995316,202.50540930009447,202.50540930009447,203.7336669000797,None,0,3.230126866372302,4.264152966439724,None,1,None,1,,,,,,,,,erfnpg,001,fr,0,0,2022-05-10_14h57.34.806,Cluster,2022.1.1,None,
