frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,right,41.994966710003794,None,41.96707270000479,42.27315570000792,right,1,5.064434900006745,39.521349600021495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,1,1,0,,,,,,,,,200,30,up,49.18530831001699,None,50.151315100025386,50.458988500002306,up,1,3.4899774999939837,47.7366135000193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,2,2,1,,,,,,,,,450,30,right,55.505692910013025,None,55.440542399999686,55.77485730001354,right,1,3.3510630000091624,53.04275230001076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,3,3,4,,,,,,,,,5000,30,left,58.873311110003854,59.0907079000026,60.81061040001805,61.13409030000912,left,1,3.2894038000085857,58.41629880000255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,4,4,2,,,,,,,,,850,30,right,65.83486330999877,66.05588960001478,65.77460760000395,66.08712470001774,right,1,3.309248800011119,63.37213550001616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,left,1000,50,0.013930605843148852,0,0,-1,5,71.56393371000304,71.78039630001877,71.50815440001315,71.8080036000174,72.52886360001867,72.84916730000987,73.51831480002147,73.84837710001739,left,1,2.888963200006401,71.56767710001441,None,74.08779160000267,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,40,0.004405244365040069,-1,0,-1,-10,77.00324411002221,None,75.94471710000653,76.27099430002272,76.94317260000389,77.24965680000605,77.94409150001593,78.2646165000042,up,1,2.7914641000097618,76.00225080002565,None,78.49786760000279,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,-1,0,-1,-10,80.34603991000331,80.55364990001544,80.28888800001005,80.6117659000156,81.30459030001657,81.62788159999764,82.2813879000023,82.60225050000008,left,1,2.8804688999953214,80.34602340002311,None,82.83518870000262,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,20,0.0004405244365040069,-1,0,-1,-10,84.7656172099989,84.9838467000227,84.70840480001061,85.01089580002008,85.71814660000382,86.03984140002285,86.70338280001306,87.02929340000264,left,1,2.763779999979306,84.76614380002138,None,87.26398640000843,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,90.03949061000021,90.25647870000103,88.98408010002458,89.30923070001882,89.9816897000128,90.28354510001373,90.98315480002202,91.30690370002412,up,1,2.3264017999754287,89.04289470001822,None,None,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,None,None,92.87223330000415,None,None,None,None,None,up,1,-0.7825167000119109,92.93622600001981,None,None,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,96.46966491001076,None,94.39323040001909,94.69339310002397,95.40072100001271,95.72186350001721,96.40978880002513,96.72386080000433,up,0,3.0312627000093926,94.45052600000054,None,96.9561477000243,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,up,1000,-5,2.4772509540239506e-05,1,1,1,5,100.00574481000076,None,98.94886800000677,99.27560530000483,99.94601110002259,100.26321050000843,100.95966050002608,101.28494330000831,right,0,2.9862553999992087,99.00752959999954,None,101.48835270002019,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,1,1,1,5,103.5392997100018,103.75943490001373,103.48132700001588,103.79152980001527,104.49543680000352,104.81708300000173,105.47624830002314,105.77768300002208,left,1,2.93299569998635,103.54093810002087,None,106.04105349999736,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,-1,2,-1,-10,109.01779180999729,None,107.95957630002522,108.2604911000235,108.96193330001552,109.27470200002426,109.94928320002509,110.27339380001649,up,1,2.9660902000032365,108.02003920002608,None,110.51034660000005,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,up,1000,-20,4.405244365040069e-06,-1,2,-1,-10,113.5185972100182,None,112.45435750001343,112.7595879000146,113.46022380000795,113.77478310000151,114.46721540001454,114.77193490002537,up,1,2.9203914999961853,112.51238480000757,None,115.00571850000415,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,right,1000,-30,1.3930605843148862e-06,-1,2,-1,-10,118.97953941002488,None,116.93517190002603,117.24109240001417,117.95131950001814,118.2792467000254,118.92284559999825,119.24012370000128,left,0,2.8872388000017963,116.99460880001425,None,119.48331120001967,None,gtyzck,001,0,fr,2022-04-27_11h27.59.736,3-AFC_adaptive_staircase_mess,2022.1.1,None,
