tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_none,answer_too_late.rt,Audiogram_time,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,19.977751099999296,None,time,1000,30,0.0013930605843148849,False,1,"[0.5391588720560144, 0.5391588720560144, 0.5391588720560144, 0.5391588720560144]","[565.1355310183823, 6970.677524654283, 1847.4527191594427, 396.06480265937375]",None,"[30, 30, 30, 30]",36.6422559999919,39.19115560001228,39.19115560001228,40.43327800001134,['space'],1,[0.46363410001504235],39.19115560001228,40.95952000000398,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.71445686199312, 0.71445686199312, 0.71445686199312, 0.71445686199312]","[605.8877862510752, 2126.528109568405, 448.6966268360772, 3557.7074626344515]",None,"[30, 30, 30, 30]",46.29362089998904,49.35305309999967,49.35305309999967,50.565935999999056,['space'],1,[0.44614509999519214],49.35305309999967,51.30791050000698,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,0,"[0.43524673905042843, 0.7063331363975499, 0.4199441495387515, 0.5975630356505693]","[870.7214695595451, 158.03283396397723, 5730.252310535929, 174.7914689855394]",None,"[30, 30, 30, 30]",54.215284400008386,56.72289639999508,56.72289639999508,57.94880139999441,['space'],0,[1.4291850000154227],56.72289639999508,58.533820200013,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.5571069131230603, 0.5571069131230603, 0.5571069131230603, 0.5571069131230603]","[147.41562086941767, 750.4667086752037, 852.3884797317187, 3113.627146343482]",None,"[30, 30, 30, 30]",61.28454799999599,63.87018739999621,63.87018739999621,65.09282520000124,['space'],1,[0.44135489998734556],63.87018739999621,65.64573449999443,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,0,"[0.6895917031673512, 0.6895917031673512, 0.6895917031673512, 0.6895917031673512]","[2645.887485613597, 460.35512202259116, 512.8005230160949, 2553.95728876061]",None,"[30, 30, 30, 30]",68.25700439998764,71.24300670000957,71.24300670000957,72.46352950000437,['space'],0,[0.5087943999969866],71.24300670000957,73.16131130000576,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.45707100001164,None,space,9.591193600004772,75.45707100001164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.10919540000032,86.13829659999465,86.58390276667002,None,87.08163136666214,None,87.5878165666693,None,88.09022976665098,None,86.50605709999218,88.31256140000187,88.59353916667557,None,88.31256140000187,89.15599959998508,space,1.1619180999987293,89.29394559998764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.29394559998764,None,90.49974920001114,91.52520159998676,91.97766816665923,None,92.28605136665671,None,92.98751726665456,None,93.37661656667866,None,91.89607449999312,93.68756839999696,93.9935475666755,None,93.68756839999696,94.50740529998438,space,0.7139706999878399,94.68492599998717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.68492599998717,None,95.43808039999567,96.47014299998409,96.92180686665621,None,97.42175766665993,None,97.9248109666553,98.15546219999669,98.40014206667935,None,96.80972699998529,98.64618469998823,98.92029476666745,None,98.64618469998823,99.45693819998996,space,0.7807518999907188,99.6266680000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6266680000117,None,100.45040309999604,101.46677400000044,101.91024086665517,None,102.21292436667524,None,102.90222366666809,None,103.31433176665838,None,101.8369348999986,103.63557240000227,103.9359871666568,None,103.63557240000227,104.4460265999951,104.61738320000586,None,105.66257129999576,None,120.63597999999183,None,1330.7131956439057,4.503785622989126,8.818466942235528e-05,1,"[0.42159454960491305, 0.42159454960491305, 0.42159454960491305, 0.42159454960491305]","[1954.2179328341151, 250.80286725662464, 2575.8439182275456, 4084.699300190604]",None,"[11.948081623836476, 10.756041600821511, 9.0, -2.0]",False,121.64355539999087,123.92882470000768,123.92882470000768,125.16762649998418,['space'],1,[0.025168699998175725],2.7219372666440904,3.7554338666668627,None,1,None,1,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
