16.9957 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
21.5632 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.5637 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([ 0.6078, -0.2784, -0.2784]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002643CEC9AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002643DBA4F70>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.5641 	EXP 	window1: mouseVisible = True
21.5642 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.5642 	EXP 	window1: recordFrameIntervals = False
21.9049 	EXP 	window1: recordFrameIntervals = True
21.9646 	WARNING 	t of last frame was 31.04ms (=1/32)
21.9985 	WARNING 	t of last frame was 33.94ms (=1/29)
22.0367 	WARNING 	t of last frame was 38.20ms (=1/26)
22.0710 	WARNING 	t of last frame was 34.32ms (=1/29)
22.1008 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
25.2433 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

27.6843 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
27.6843 	EXP 	window1: recordFrameIntervals = False
27.9951 	EXP 	window1: recordFrameIntervals = True
31.3133 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

31.4123 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
31.4142 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.4169 	EXP 	Created fixation_cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_cross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
31.4180 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.4795 	EXP 	Sound probe set volume 1.000
31.4812 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.4971 	EXP 	Created break_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='break_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
31.4986 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
31.5231 	EXP 	Created end_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='end_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
31.5444 	EXP 	instructions: autoDraw = True
36.9207 	DATA 	Keypress: space
36.9528 	EXP 	instructions: autoDraw = False
36.9528 	EXP 	blank_text: autoDraw = True
37.9212 	EXP 	Created sequence: fullRandom, trialTypes=1, nReps=999, seed=None
37.9238 	EXP 	New trial (rep=0, index=0): None
39.3371 	EXP 	blank_text: autoDraw = False
39.3371 	EXP 	text: height = 0.05
39.3371 	EXP 	text: height = 0.05
39.3371 	EXP 	text: text = 'RYTHME'
39.3371 	EXP 	text: autoDraw = True
40.3529 	EXP 	Created sequence: sequential, trialTypes=1, nReps=11, seed=None
40.3531 	EXP 	New trial (rep=0, index=0): None
40.3556 	EXP 	Sound probe started
40.3875 	EXP 	text: autoDraw = False
40.3875 	EXP 	text: autoDraw = False
40.5716 	EXP 	Sound probe reached end of file
40.5722 	EXP 	window1: recordFrameIntervals = False
40.5929 	EXP 	text_2: autoDraw = True
40.5941 	EXP 	window1: recordFrameIntervals = True
42.9725 	EXP 	New trial (rep=1, index=0): None
42.9739 	EXP 	Sound probe started
42.9954 	EXP 	text_2: autoDraw = False
42.9954 	EXP 	text_2: autoDraw = False
43.1919 	EXP 	Sound probe reached end of file
43.1938 	EXP 	window1: recordFrameIntervals = False
43.2218 	EXP 	text_2: autoDraw = True
43.2230 	EXP 	window1: recordFrameIntervals = True
45.5822 	EXP 	New trial (rep=2, index=0): None
45.5830 	EXP 	Sound probe started
45.6107 	EXP 	text_2: autoDraw = False
45.6107 	EXP 	text_2: autoDraw = False
45.7994 	EXP 	Sound probe reached end of file
45.8015 	EXP 	window1: recordFrameIntervals = False
45.8289 	EXP 	text_2: autoDraw = True
45.8301 	EXP 	window1: recordFrameIntervals = True
48.1877 	EXP 	New trial (rep=3, index=0): None
48.1887 	EXP 	Sound probe started
48.2153 	EXP 	text_2: autoDraw = False
48.2153 	EXP 	text_2: autoDraw = False
48.3995 	EXP 	Sound probe reached end of file
48.3999 	EXP 	window1: recordFrameIntervals = False
48.4279 	EXP 	text_2: autoDraw = True
48.4290 	EXP 	window1: recordFrameIntervals = True
50.5677 	DATA 	Keypress: space
50.7886 	EXP 	New trial (rep=4, index=0): None
50.7897 	EXP 	Sound probe started
50.8143 	EXP 	text_2: autoDraw = False
50.8143 	EXP 	text_2: autoDraw = False
50.9997 	EXP 	Sound probe reached end of file
51.0001 	EXP 	window1: recordFrameIntervals = False
51.0330 	EXP 	text_2: autoDraw = True
51.0342 	EXP 	window1: recordFrameIntervals = True
53.3893 	EXP 	New trial (rep=5, index=0): None
53.3903 	EXP 	Sound probe started
53.4170 	EXP 	text_2: autoDraw = False
53.4170 	EXP 	text_2: autoDraw = False
53.6048 	EXP 	Sound probe reached end of file
53.6052 	EXP 	window1: recordFrameIntervals = False
53.6353 	EXP 	text_2: autoDraw = True
53.6370 	EXP 	window1: recordFrameIntervals = True
55.9942 	EXP 	New trial (rep=6, index=0): None
55.9953 	EXP 	Sound probe started
56.0209 	EXP 	text_2: autoDraw = False
56.0209 	EXP 	text_2: autoDraw = False
56.2115 	EXP 	Sound probe reached end of file
56.2142 	EXP 	window1: recordFrameIntervals = False
56.2394 	EXP 	text_2: autoDraw = True
56.2406 	EXP 	window1: recordFrameIntervals = True
58.3816 	DATA 	Keypress: space
58.6035 	EXP 	New trial (rep=7, index=0): None
58.6045 	EXP 	Sound probe started
58.6313 	EXP 	text_2: autoDraw = False
58.6313 	EXP 	text_2: autoDraw = False
58.8207 	EXP 	Sound probe reached end of file
58.8212 	EXP 	window1: recordFrameIntervals = False
58.8488 	EXP 	text_2: autoDraw = True
58.8501 	EXP 	window1: recordFrameIntervals = True
61.2143 	EXP 	New trial (rep=8, index=0): None
61.2154 	EXP 	Sound probe started
61.2434 	EXP 	text_2: autoDraw = False
61.2434 	EXP 	text_2: autoDraw = False
61.4283 	EXP 	Sound probe reached end of file
61.4288 	EXP 	window1: recordFrameIntervals = False
61.4586 	EXP 	text_2: autoDraw = True
61.4597 	EXP 	window1: recordFrameIntervals = True
63.8176 	EXP 	New trial (rep=9, index=0): None
63.8186 	EXP 	Sound probe started
63.8439 	EXP 	text_2: autoDraw = False
63.8439 	EXP 	text_2: autoDraw = False
64.0284 	EXP 	Sound probe reached end of file
64.0288 	EXP 	window1: recordFrameIntervals = False
64.0603 	EXP 	text_2: autoDraw = True
64.0616 	EXP 	window1: recordFrameIntervals = True
66.4268 	EXP 	New trial (rep=10, index=0): None
66.4281 	EXP 	Sound probe started
66.4484 	EXP 	text_2: autoDraw = False
66.4484 	EXP 	text_2: autoDraw = False
66.6398 	EXP 	Sound probe stopped
66.6411 	EXP 	window1: recordFrameIntervals = False
66.6605 	EXP 	text_2: autoDraw = True
66.6617 	EXP 	window1: recordFrameIntervals = True
69.0606 	EXP 	text_2: autoDraw = False
69.0606 	EXP 	text_2: autoDraw = False
69.0606 	EXP 	break_txt: autoDraw = True
72.3125 	EXP 	New trial (rep=1, index=0): None
73.4647 	DATA 	Keypress: space
73.4817 	EXP 	break_txt: autoDraw = False
73.4817 	EXP 	text: height = 0.05
73.4817 	EXP 	text: height = 0.05
73.4817 	EXP 	text: text = 'X'
73.4817 	EXP 	text: autoDraw = True
74.4940 	EXP 	Created sequence: sequential, trialTypes=1, nReps=11, seed=None
74.4942 	EXP 	New trial (rep=0, index=0): None
74.4955 	EXP 	Sound probe started
74.5260 	EXP 	text: autoDraw = False
74.5260 	EXP 	text: autoDraw = False
74.7074 	EXP 	Sound probe reached end of file
74.7080 	EXP 	window1: recordFrameIntervals = False
74.7424 	EXP 	text_2: autoDraw = True
74.7435 	EXP 	window1: recordFrameIntervals = True
76.9063 	EXP 	New trial (rep=1, index=0): None
76.9074 	EXP 	Sound probe started
76.9291 	EXP 	text_2: autoDraw = False
76.9291 	EXP 	text_2: autoDraw = False
77.1272 	EXP 	Sound probe reached end of file
77.1277 	EXP 	window1: recordFrameIntervals = False
77.1473 	EXP 	text_2: autoDraw = True
