sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,31.544443599996157,None,36.95280499997898,None,"[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666]",39.3371027999965,None,2.3662689047164847,time,562.0,2.2838818178182034,8.035085427971771e-05,0,26,[],0.011463966657174751,None,None,40.3875207999954,None,0.211690866650315,2.5779597713667997,40.59288089998881,None,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.3662689047164847,time,281.0,6.226332818485522,0.0002757364016693691,0,27,[],7.546666893176734e-05,None,None,42.99535849998938,42.99535849998938,0.21071486666915007,2.5769837713856347,43.221771099983016,42.99535849998938,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.3662689047164847,time,,,,1,27,[],0.011506666662171483,None,None,45.61073270000634,45.61073270000634,0.220558966655517,2.5868278713720017,45.82893369998783,45.61073270000634,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.3662689047164847,time,446.0,6.253553676512963,0.00015244196808798425,0,28,[],0.013353466638363898,None,None,48.215277899987996,48.215277899987996,0.22249226665007882,2.5887611713665635,48.42793350000284,48.215277899987996,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.3662689047164847,time,708.0,2.297214742376731,5.77438517509261e-05,0,29,[],0.012119366641854867,None,['space'],50.81426179999835,50.81426179999835,0.22132016663090326,2.587589071347388,51.032957499992335,50.81426179999835,[-1.7582202999910805],,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.3662689047164847,time,354.0,1.0,9.929457867117957e-05,0,30,[],0.01164206667453982,None,None,53.417030799988424,53.417030799988424,0.2257774666941259,2.5920463714106106,53.63529939998989,53.417030799988424,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.3662689047164847,time,1191.0,4.1695033521803815,8.41054893038825e-05,0,31,[],0.01196796665317379,None,None,56.02086709998548,56.02086709998548,0.21919796665315516,2.58546687136964,56.23940969997784,56.02086709998548,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.3662689047164847,time,501.0,3.6106351606576563,0.00010803200546636851,0,32,[],0.01175616669934243,None,['space'],58.631286699994234,58.631286699994234,0.22757766669383273,2.5938465714103174,58.84883859998081,58.631286699994234,[-1.687622099998407],,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.3662689047164847,time,177.0,0.6692920612866239,0.0003771797967456667,0,33,[],0.0117901666671969,None,None,61.243377699982375,61.243377699982375,0.22441766667179763,2.5906865713882823,61.45855749998009,61.243377699982375,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.3662689047164847,time,223.0,1.2031442425799157,0.00025312268451287015,0,34,[],0.011939266667468473,None,None,63.84388739999849,63.84388739999849,0.2215269666921813,2.587795871408666,64.0603129999945,63.84388739999849,,,,,,,,,,,gtyzck,001,fr,0,2022-04-27_11h49.33.830,Continuous,2022.1.1,None,
