frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,up,64.38737816666641,None,None,None,up,1,1.8838469000183977,62.90779279998969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,1,1,0,,,,,,,,,200,30,left,68.5134415666728,None,None,None,left,1,1.0311165000020992,68.04158499999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,2,2,4,,,,,,,,,5000,30,left,72.17479446667518,None,None,None,left,1,0.8976046000025235,71.69457059999695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,3,3,3,,,,,,,,,1300,30,left,75.01877356667343,75.24628140000277,None,None,left,1,1.0608448999992106,74.54785080000875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,4,4,2,,,,,,,,,850,30,left,78.08888986666376,None,None,None,left,1,0.9759526000125334,77.60924399999203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,94.9498996666555,None,93.92641519999597,94.25561870000092,94.90397449999,95.23420770000666,None,None,up,1,1.4667463999940082,93.95688650000375,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,99.00145156667374,None,96.96758019999834,97.297939400014,97.96946799999569,98.29919789999258,98.9558406000142,99.28151219998836,right,1,2.445042999985162,96.99491380000836,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,100.98880756667155,None,100.94363920000615,101.27445379999699,None,None,None,None,left,1,0.5756499000126496,101.00070750000305,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,104.14908056665833,None,103.10155319998739,103.4316175999993,104.1020709000004,104.4325503,None,None,up,1,1.3331207000010181,103.1626557999989,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,106.07915326668105,106.30767969999579,106.03082779998658,106.3698497999867,None,None,None,None,left,1,0.5226114000251982,106.09296060001361,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,109.17978656667789,None,108.12577559999772,108.44183789999806,109.13321400000132,109.4727155000146,None,None,up,1,1.4348210000025574,108.18058119999478,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,112.16151586667208,None,111.14361649999046,111.47384399999282,112.14484920000541,112.4803940000129,113.12993679998908,113.45306080000591,up,1,4.081939399999101,111.1741866999946,None,113.6837658000004,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,116.82646766666245,None,116.78013649999048,117.11361950001447,117.78239929999108,118.11522700000205,118.7947118000011,119.12385810000706,right,0,3.286658199998783,116.84136280001258,None,119.3329187000054,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,-5,2.4772509540239506e-05,1,1,1,5,122.70164126667466,None,121.6604493999912,121.9857125999988,122.65470519999508,122.9883911999932,None,None,up,1,1.6083046999992803,121.71937569999136,None,None,None,,,,,,,hnxrev,001,0,fr,2022-07-25_14h12.36.342,3-AFC_adaptive_staircase_mess,2022.1.1,None,
