tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,15.802330099977553,None,both,1000,30,0.0013930605843148849,False,1,"[0.4653492500465004, 0.4653492500465004, 0.4653492500465004, 0.4653492500465004]","[2519.8420997897465, 2000.0000000000002, 1587.4010519681997, 1259.9210498948732]",Major_3rd,"[30, 30, 30, 30]",54.83171549998224,57.14327659999253,57.14327659999253,58.36132539997925,['space'],1,[1.1582919000065885],57.14327659999253,58.82656259997748,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.5754033302454877, 0.5754033302454877, 0.5754033302454877, 0.5754033302454877]","[1142.531690541048, 2045.7881027848357, 7170.472791992638, 7512.347832868741]",None,"[30, 30, 30, 30]",64.45717889998923,67.12627599999541,67.12627599999541,68.3294405999768,['space'],1,[1.0792285999923479],67.12627599999541,68.90129029998207,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,1,"[0.724158042465699, 0.724158042465699, 0.724158042465699, 0.724158042465699]","[3779.7631496846193, 4242.640687119285, 4762.203155904598, 5345.392308842036]",Tone,"[30, 30, 30, 30]",71.98813630000222,75.1010915999941,75.1010915999941,76.31566339998972,None,1,,75.1010915999941,77.03802069998346,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.5170247238216754, 0.6538450815938233, 0.44286161851395245, 0.7308514951709376]","[575.9256732312326, 717.4818791285167, 167.967716740175, 201.08167058397774]",None,"[30, 30, 30, 30]",80.26754569998593,82.80372619998525,82.80372619998525,84.00605639998685,['space'],1,[1.329979700007243],82.80372619998525,84.74260939998203,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.6303882416279593, 0.6303882416279593, 0.6303882416279593, 0.6303882416279593]","[1760.19459331829, 1796.560952018314, 3873.926095645811, 1446.954258057069]",None,"[30, 30, 30, 30]",87.52889129999676,90.36017639999045,90.36017639999045,91.56835069999215,None,1,,90.36017639999045,92.19607949999045,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44861329998821,None,space,38.765799699991476,94.44861329998821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2690362999856,134.29402109998045,134.7202967999765,None,135.22600449998572,135.44272659998387,135.7248844999849,135.94380859998637,136.22966909997922,136.44056749998708,134.63512999998056,136.44056749998708,136.72932020000007,None,136.44056749998708,137.24218599998858,space,3.6199955999909434,137.44192359998124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.44192359998124,None,141.12555070000235,142.12774029999855,142.57975089999672,142.79588049999438,142.8792118999845,143.0957594999927,143.5817780999787,None,143.97996079998848,144.19593329998315,142.48224240000127,144.2837163999793,144.59991949998948,144.8210842999979,144.2837163999793,145.11041289998684,space,0.8379824000003282,145.2801832999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2801832999976,None,146.17681519998587,147.2033467000001,147.63676249999844,147.852267499984,148.1467108999932,None,148.6386427999969,None,149.13484579998476,None,147.54478379999637,149.3586463999818,149.64929459999257,None,149.3586463999818,150.18053569999756,space,1.6365142999857198,150.34636529997806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.34636529997806,None,152.04635359998792,153.07394799997564,153.50328299998364,153.71637789998204,153.8070492999832,None,154.4928954999923,154.71330789997592,154.91391289998137,155.13192769998568,153.41734230000293,155.1870391999837,155.51046059998043,None,155.1870391999837,156.00688979998813,156.20296979998238,None,157.24211669998476,None,165.9602606999979,None,841.4027098018007,-3.0,2.799558571518149e-05,1,"[0.7410839711535991, 0.4113034526489769, 0.494098220237591, 0.6597576345871952]","[4240.403942071504, 2830.1300898283826, 1888.8852181943723, 1260.6796345992548]",Perfect_5th,"[-1.8405943648524419, 4.908739591731656, 4.0574235575589865, 4.876532467017045]",False,166.94752059999155,169.61294609998004,169.61294609998004,170.8252075999917,['space'],1,[0.3938013000006322],3.3316154000058305,4.366277700028149,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
