sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,61.981851599994116,None,71.79675109998789,None,"[0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334]",73.7237349000061,None,1.3409380018337023,none,149.0,-0.8934548605962183,0.0004592928259861116,0,25,[],0.011965566664002836,None,None,74.7748265999835,None,0.21170016666292213,1.5526381684966244,74.99748849999742,None,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.098083880705339,none,354.0,-1.0,7.887248739356936e-05,0,26,[],0.012129566661315039,None,None,76.35802739998326,76.35802739998326,0.21251336665591225,2.310597247361251,76.5706346000079,76.35802739998326,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.499934447809526,none,223.0,-0.8094634049207768,0.00020077086282919017,0,27,[],0.012090066651580855,None,['space'],78.69714929998736,78.69714929998736,0.21487076664925553,2.7148052144587815,78.90947300000698,78.69714929998736,[-1.7797909999790136],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.7250853860185473,none,1501.0,-2.0134966609422014,3.837550276125166e-05,0,28,[],0.010585266660200432,None,['space'],81.43766959998175,81.43766959998175,0.21243946664617397,1.9375248526647213,81.65345320000779,81.43766959998175,[-2.264164399995934],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.6211381603720751,none,133.0,-0.8621417703972996,0.0005899369110560186,0,29,[],0.01200656668515876,None,['space'],83.40563439999823,83.40563439999823,0.214124266669387,1.8352624270414621,83.61675459999242,83.40563439999823,[-1.4653023999999277],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.3194285696869723,none,281.0,-0.9322439053123597,0.00012093869210466763,0,30,[],0.011743366660084575,None,['space'],85.26709660000051,85.26709660000051,0.21634466666728258,1.535773236354255,85.48009789999924,85.26709660000051,[-1.4303508999873884],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.4980462722333594,none,1002.0,-0.9450853012563023,3.958582215463909e-05,0,31,[],0.011543866654392332,None,['space'],86.82609829999274,86.82609829999274,0.21011386666214094,2.7081601388955003,87.04088089999277,86.82609829999274,[-1.1729746999917552],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.501317167857438,none,,,,1,31,[],0.005874666676390916,0.20067756669595838,"['space', 'space']",89.56471139998757,89.56471139998757,0.20067756669595838,2.7019947345533963,89.7790890999895,89.56471139998757,"[-2.3036878000129946, -0.2146016999904532]",,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.995036039825105,none,501.0,-1.005607301726565,6.349511514926273e-05,0,32,[],0.013003766682231799,None,None,92.30594540000311,92.30594540000311,0.2184212667052634,3.213457306530368,92.51659019998624,92.30594540000311,,,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.211413054677818,none,446.0,0.22915160767385578,7.618762642258014e-05,0,33,[],0.011685466684866697,None,['space'],95.54200159999891,95.54200159999891,0.21276346666854806,2.424176521346366,95.7560880999954,95.54200159999891,[-2.768873499997426],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,1.9517913899081447,none,795.0,-2.797107033443823,2.796922387465322e-05,0,34,[],0.011563666659640148,None,['space'],97.9972931999946,97.9972931999946,0.21379496666486375,2.1655863565730087,98.2160300000105,97.9972931999946,[-2.0963063000235707],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,2.63124136371661,none,631.0,-1.818367367446387,4.1429209470825735e-05,0,35,[],0.011315066658426076,None,['space'],100.18771840000409,100.18771840000409,0.21359086665324867,2.8448322303698586,100.39726870000595,100.18771840000409,[-1.7427196000062395],,,,,,,,hnxrev,001,french,0,2022-07-25_14h54.29.387,Continuous,2022.1.1,None,
