frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,right,49.19709736008663,49.4130139000481,49.163233400089666,49.473487599985674,right,1,2.971397199900821,46.71051270002499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
850,0,1,1,2,,,,,,,,,850,30,left,54.204157360061075,54.414710200042464,None,None,left,1,1.0670492000645027,53.76672690000851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
200,0,2,2,0,,,,,,,,,200,30,left,58.81445256008301,59.02727530000266,None,None,left,1,1.0056133000180125,58.37270860001445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
1300,0,3,3,3,,,,,,,,,1300,30,right,64.58360276003368,64.80097019998357,64.54973880003672,64.85798189998604,right,1,2.8116460000164807,62.13431900006253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
5000,0,4,4,4,,,,,,,,,5000,30,left,68.79905246004928,None,None,None,left,1,1.0488735999679193,68.34522830008063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,109.32539606005885,None,109.29153210006189,109.60082190006506,None,None,None,None,left,1,0.3908934999490157,109.32342590007465,None,None,None,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,112.24877186007798,112.46826710004825,111.19631340005435,111.5004132000031,112.18357510003261,112.49684690008871,None,None,up,1,1.3197966000298038,111.2268497000914,None,None,None,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,116.07601365998853,116.28708670008928,114.0385086000897,114.33943570009433,115.02641689998563,115.35496180003975,116.01264119998086,116.31483859999571,right,1,2.3510549999773502,114.06784340005834,None,None,None,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,119.93256586003118,None,117.89432199997827,118.19380350003485,118.87382890004665,119.17860230000224,119.86801279999781,120.19329090008978,right,1,2.381528199999593,117.92424050008412,None,None,None,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,123.83566376001109,124.04820910003036,121.7606898000231,122.06468000006862,122.77248240006156,123.07729180005845,123.77070400002412,124.08079180005006,right,1,2.7028559000464156,121.81146400002763,None,124.32706050004344,None,,,,,,,hoavur,001,0,fr,2022-05-04_15h25.06.816,3-AFC_adaptive_staircase_mess,2022.1.1,29.971931285462844,
