tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,14.543991000042297,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.5458959296892235, 0.4515517664888009, 0.5007998496329347, 0.4676794792493267]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",36.21577609993983,38.64700460003223,38.64700460003223,39.883330999989994,['space'],1,[0.38992399990092963],38.64700460003223,40.34770889999345,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.6330853584214556, 0.648608258441609, 0.5142024296867742, 0.506550017311777]","[877.8452298617033, 3838.5883512551577, 213.20506117049126, 6428.976289224276]",None,"[30, 30, 30, 30]",50.73133510001935,53.44356689997949,53.44356689997949,54.66289110004436,['space'],1,[0.4256445999490097],53.44356689997949,55.173200299963355,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.5712801846498352, 0.5712801846498352, 0.5712801846498352, 0.5712801846498352]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",61.15612679999322,63.806048800004646,63.806048800004646,65.00895960000344,['space'],0,[0.38376130000688136],63.806048800004646,65.60583090002183,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.4025003065102063, 0.4025003065102063, 0.4025003065102063, 0.4025003065102063]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",72.06874749995768,74.21560280001722,74.21560280001722,75.41746040002909,['space'],1,[0.6616106999572366],74.21560280001722,75.85015279997606,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.6973634473501682, 0.6973634473501682, 0.6973634473501682, 0.6973634473501682]","[1182.784069606888, 1467.5069797677093, 3355.664193193024, 520.8147443989341]",None,"[30, 30, 30, 30]",78.90791269997135,81.92702950001694,81.92702950001694,83.1606419000309,None,1,,81.92702950001694,83.85502430004999,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.33291110000573,None,space,28.712711500003934,87.33291110000573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1064329999499,117.12525989999995,117.56193640001584,None,118.07820700004231,118.29436910001095,118.55879559996538,118.7730185999535,119.07160829997156,None,117.47589749994222,119.26128089998383,119.57230969995726,119.78375509998295,119.26128089998383,120.07544939999934,space,1.3609577000606805,120.25196819996927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.25196819996927,None,121.68150029995013,122.70112280000467,123.14123459998518,None,123.43569319997914,123.65074780001305,124.13629930000752,124.34991039999295,124.54117650003172,None,123.0496034999378,124.83983800001442,125.14038590004202,None,124.83983800001442,125.63867010001559,space,1.8274537000106648,125.83440629998222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.83440629998222,None,127.71572510001715,128.73966530000325,129.18064639996737,None,129.67067240003962,129.88885989994742,130.18387750000693,130.40062540001236,130.6724097999977,None,129.0628657999914,130.8687162999995,131.16855930001475,131.39032829995267,130.8687162999995,131.68874510005116,space,1.3001878000795841,131.86522100004368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.86522100004368,None,133.21553829999175,134.24550900002941,134.6639867000049,134.8822261999594,134.96853800001554,135.1930317999795,135.66806880000513,135.8935784000205,136.07504919997882,136.28859350003768,134.57779190002475,136.3840294999536,136.6786177000031,None,136.3840294999536,137.21560899994802,137.3655952999834,None,138.38409910001792,None,154.41502690000925,None,1217.6101858380089,1.224440241281819,6.120144214705816e-05,1,"[0.486574540475067, 0.5301465280018772, 0.5388212137405866, 0.5881434616853207]","[471.1422395886718, 318.9536868532036, 816.5315487345873, 1138.5714766749309]",None,"[6.44997255490173, 4.674472989159394, 5.505543549071022, 6.596688252632579]",False,155.41510890005156,158.00343599996995,158.00343599996995,159.21157359995414,['space'],1,[0.2105327999452129],3.1634241001447663,4.187721200170927,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
