frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,up,82.68588026666636,None,83.66887439999982,None,up,1,2.7366243999999824,81.21379690000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,1,1,2,,,,,,,,,850,30,right,91.21823776666658,None,91.20157109999991,91.52712549999978,right,1,3.091363000000001,88.7620764999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,2,2,0,,,,,,,,,200,30,up,97.66720436666652,None,98.64722690000008,98.95413980000012,up,1,4.832368299999871,96.20644420000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,3,3,4,,,,,,,,,5000,30,left,102.5848288666664,None,None,None,left,1,1.5477642999999262,102.1140817999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,4,4,1,,,,,,,,,450,30,right,109.29784486666655,109.52439509999977,109.25397810000004,109.57935670000006,right,1,3.140832000000046,106.82650220000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,up,1000,50,0.013930605843148852,0,0,-1,5,133.31713876666643,133.54458579999982,132.28753310000002,132.60402489999979,133.30047209999975,133.63546880000013,None,None,up,1,1.6061362999998892,132.3448324000001,None,None,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,-1,0,-1,-10,135.51218676666647,None,135.4677899999997,135.7910710000001,None,None,None,None,left,1,0.7306096999996043,135.5238801999999,None,None,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,-1,0,-1,-10,138.82076066666676,None,137.75779890000013,138.0722194,138.7609236999997,139.0916285999997,None,None,up,1,1.7380699000000277,137.81158400000004,None,None,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,20,0.0004405244365040069,-1,0,-1,-10,142.08722966666645,None,141.07017510000014,141.38429739999992,142.07056299999977,142.39051519999975,None,None,up,1,1.684386199999608,141.0974799999999,None,None,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,146.3254046666664,None,144.3044915999999,144.62532699999974,145.30075119999992,145.63195899999982,146.30873799999972,146.6214673999998,right,1,2.6573758999998063,144.33298539999987,None,146.8520079,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,149.5625119666668,None,148.51640670000006,148.8290075,149.50509499999998,149.8398342999999,150.51028499999984,150.82858439999973,up,1,4.49611109999978,148.5431625000001,None,151.05401729999994,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,155.5678833666664,None,154.54276679999975,154.86988010000005,155.5512166999997,155.88168229999974,156.53076079999983,156.84627779999983,right,0,3.5784629999998288,154.6115178,None,157.0991415999997,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,up,1000,-5,2.4772509540239506e-05,1,1,1,5,160.7400141666665,None,159.72272070000008,160.03933490000009,160.72334749999982,161.04250189999993,161.71384080000007,162.02935949999983,right,0,3.0327534999996715,159.75006769999982,None,162.2526654999997,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,1,1,1,5,166.34095786666674,None,164.30112009999993,164.6181744999999,165.29495289999977,165.61205599999994,166.29656139999997,166.64246400000002,up,0,3.214353399999709,164.3201524000001,None,166.8444973999999,None,ikieoz,001,0,fr,2022-04-25_15h36.59.495,3-AFC_adaptive_staircase_mess,2022.1.1,None,
