tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,29.512112499999603,None,time,1000,30,0.0013930605843148849,False,1,"[0.7419566410556165, 0.7419566410556165, 0.7419566410556165, 0.7419566410556165]","[1200.0965479481138, 722.1766718832937, 240.95062548904787, 923.9110743679131]",None,"[30, 30, 30, 30]",50.49047849999988,53.65168569999969,53.65168569999969,54.88960580000003,['space'],1,[0.6312173999995139],53.65168569999969,55.632090699999935,None,1,['space'],0,[1.1990746000001309],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.5501728339624933, 0.6427526161250454, 0.5464488449980455, 0.6049404005440461]","[1574.901312368591, 1767.7669529663685, 1984.2513149602491, 2227.246795350848]",Tone,"[30, 30, 30, 30]",61.618598799999745,64.28032629999962,64.28032629999962,65.5071753000002,['space'],1,[0.40186419999918144],64.28032629999962,66.10654819999945,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,0,"[0.6303459350203807, 0.6303459350203807, 0.6303459350203807, 0.6303459350203807]","[4383.912183451926, 835.8242175972225, 5375.305187375974, 4013.8985238084488]",None,"[30, 30, 30, 30]",71.10560139999961,73.92499080000016,73.92499080000016,75.16687110000021,['space'],0,[0.4213042999999743],73.92499080000016,75.79379499999959,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.672056746538099, 0.672056746538099, 0.672056746538099, 0.672056746538099]","[312.206255741346, 452.61811391828707, 317.09753441503574, 6795.599321367641]",None,"[30, 30, 30, 30]",81.27081939999971,84.23675989999992,84.23675989999992,85.46143119999942,['space'],1,[0.47823239999979705],84.23675989999992,86.13443349999943,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.5898296837018524, 0.5898296837018524, 0.5898296837018524, 0.5898296837018524]","[5907.400491731914, 1729.650222320919, 614.6003921360344, 4670.931611756974]",None,"[30, 30, 30, 30]",90.21488299999965,92.91116479999982,92.91116479999982,94.14834700000029,None,1,,92.91116479999982,94.7474916000001,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82048510000004,None,space,25.31798879999951,98.82048510000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1818475,125.20700099999976,125.67601326666615,None,126.17804716666639,None,126.6769303666663,None,127.1769746666662,None,125.57388480000009,127.40888619999987,127.68182596666635,None,127.40888619999987,128.2275066000002,space,2.1100790000000416,128.3961422000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.3961422000002,None,130.56526639999993,131.5925255000002,132.06107986666692,132.2824595000002,132.35317026666624,None,133.0486159666664,None,133.45406496666627,None,131.9585030999997,133.77953290000005,134.0504041666666,None,133.77953290000005,134.60544519999985,space,2.277485099999467,134.7728992000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7728992000002,None,137.09263680000004,138.11773429999994,138.55571186666683,None,139.06264466666678,139.2874026999998,139.56447566666637,None,140.05685886666677,None,138.48354000000018,140.28854440000032,140.56522066666665,None,140.28854440000032,141.10998349999954,space,2.0065623999998934,141.28356939999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.28356939999958,None,143.3469557999997,144.37857729999996,144.81352446666668,None,145.11536426666615,145.3329907999996,145.83074066666657,None,146.2233077666663,146.45112169999993,144.72308369999973,146.5345312999998,146.83138656666623,147.05694659999972,146.5345312999998,147.3479709000003,147.51959739999984,None,148.55257729999994,None,183.47684519999984,None,1679.8272930165888,12.346371216546501,0.00025005281603425987,0,"[0.6412895676470007, 0.6412895676470007, 0.6412895676470007, 0.6412895676470007]","[2666.5596120594264, 2375.6345402285433, 2116.4497666595234, 1885.5423841253896]",Tone,"[15.727744022958504, 17.0, 17.75146695127146, 18.58621091439418]",False,184.45260229999985,187.39254970000002,187.39254970000002,188.62509090000003,None,0,3.5864637666654744,4.603204366665523,None,1,['space'],0,[0.4410256999990452],,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
