sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,35.79364609999993,None,57.05605219999961,None,"[0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333]",63.85037219999958,None,2.9306544494585953,none,1932.0,12.572953712953256,0.0003050825456701301,0,58,[],0.0048111666665136,None,None,64.89303049999944,None,0.2104206666663231,3.1410751161249184,65.11664070000006,None,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,1,0,1,0,,,,,,,,1.8203836090746157,none,1533.0,7.005675391487111,0.00011445187902875155,0,59,[],0.011675466666929424,None,None,68.04172229999949,68.04172229999949,0.2267049666670573,2.047088575741673,68.26001349999933,68.04172229999949,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,2,0,2,0,,,,,,,,2.114825235362264,none,1084.0,9.555181263916912,0.00014290748725145485,0,60,[],0.014023833333340008,None,None,70.0804376999995,70.0804376999995,0.21535283333378175,2.330178068696046,70.29739269999936,70.0804376999995,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,3,0,3,0,,,,,,,,2.2594502679233255,none,1217.0,4.4452667057927275,8.863278603611695e-05,0,61,[],0.005165166666301957,None,None,72.41319740000017,72.41319740000017,0.20777396666653658,2.467224234589862,72.63107639999998,72.41319740000017,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,4,0,4,0,,,,,,,,2.8384862779157474,none,,,,1,61,[],0.011906366667062684,None,None,74.89021109999976,74.89021109999976,0.23079426666754443,3.069280544583292,75.11699559999943,74.89021109999976,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,5,0,5,0,,,,,,,,2.959258125905735,none,645.0,8.137741985518554,0.00012721719261021676,0,62,[],0.013070466667159053,None,None,77.94033450000006,77.94033450000006,0.22385546666737355,3.1831135925731084,78.15930260000005,77.94033450000006,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,6,0,6,0,,,,,,,,2.892589372196235,none,6885.0,5.513889898015181,0.0002787370572515147,0,63,[],0.011945766666030977,None,None,81.10651030000008,81.10651030000008,0.21565596666550846,3.1082453388617433,81.32191239999975,81.10651030000008,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,7,0,7,0,,,,,,,,1.2707040884081735,none,4595.0,0.0,0.0001248796844851434,0,64,[],0.011612166666964185,None,['space'],84.21377589999975,84.21377589999975,0.22558146666688117,1.4962855550750547,84.43172229999982,84.21377589999975,[-0.7654292000006535],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,8,0,8,0,,,,,,,,1.34248728913556,none,3647.0,7.421160000195348,0.0001826933170884382,0,65,[],0.005642466666358814,None,None,85.69308829999954,85.69308829999954,0.21730156666671974,1.5597888558022797,85.9197979999999,85.69308829999954,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
0,0,0,0,9,0,9,0,,,,,,,,1.6685749607003708,none,966.0,1.6627487584948604,5.217646260093141e-05,0,66,[],0.011753566665902326,None,None,87.25309920000018,87.25309920000018,0.22746096666651283,1.8960359273668836,87.47619339999983,87.25309920000018,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,0,0,0,0,,,,,,96.47012199999972,None,2.4943961491138236,frequency,5657.0,12.0,0.0005116406129311919,0,62,[],0.013077566666652274,None,None,97.51837849999993,None,0.23031946666651493,2.7247156157803385,97.73412769999959,None,,89.13173009999991,None,0.5833333333333334,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,1,0,1,0,,,,,,,,1.5840847061189092,frequency,3776.0,11.847521964887965,0.00031297522227518936,0,63,[],0.010824266666531912,None,None,100.2206228999994,100.2206228999994,0.219114866666132,1.8031995727850412,100.43434519999937,100.2206228999994,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,2,0,2,0,,,,,,,,1.730499065181059,frequency,2520.0,10.06074743997065,0.0002695736649093506,0,64,[],0.0037588666664305492,None,['space'],102.01453570000012,102.01453570000012,0.21206786666607513,1.9425669318471341,102.23331659999985,102.01453570000012,[0.13845279999986815],,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,3,0,3,0,,,,,,,,1.6323669041644362,frequency,1682.0,12.090445595791516,0.00024318726185939,0,65,[],0.010965866666083457,None,None,103.9586631000002,103.9586631000002,0.2235598666666192,1.8559267708310554,104.1749921999999,103.9586631000002,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,4,0,4,0,,,,,,,,2.0523607836255833,frequency,1123.0,11.640096495089415,0.00018790789752741704,0,66,[],0.0044006666666973615,None,None,105.79854319999959,105.79854319999959,0.20916606666651205,2.2615268502920953,106.01869569999963,105.79854319999959,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,5,0,5,0,,,,,,,,2.4203278663522854,frequency,,,,1,66,[],0.011658066666313971,None,None,108.0686012999995,108.0686012999995,0.22010706666605984,2.640434933018345,108.28320619999977,108.0686012999995,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,6,0,6,0,,,,,,,,1.4867999682018704,frequency,501.0,16.186613072581327,0.000459569643342174,0,67,[],0.01188076666676352,None,None,110.70030859999952,110.70030859999952,0.22345786666755885,1.7102578348694293,110.9154695999996,110.70030859999952,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,7,0,7,0,,,,,,,,2.191883959974743,frequency,334.0,18.499599464270677,0.0007882546934445733,0,68,[],0.01012076666665962,None,None,112.39837159999934,112.39837159999934,0.21901076666654262,2.4108947266412857,112.61461809999946,112.39837159999934,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
