frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,right,None,None,None,None,left,0,1.4173077000305057,96.39345850003883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,1,1,1,,,,,,,,,450,30,right,105.79482626665073,None,105.74922950007021,106.0918493999634,right,1,2.9689247000496835,103.32217850000598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,2,2,2,,,,,,,,,850,30,right,112.26566546672645,None,112.2191289998591,112.5633534998633,right,1,2.897940000053495,109.79333700006828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,3,3,3,,,,,,,,,1300,30,left,115.49683466653029,None,None,None,left,1,1.1650574000086635,115.03016399987973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,4,4,0,,,,,,,,,200,30,up,119.63584046654093,None,None,None,up,1,2.347239200025797,118.1518051000312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,right,1000,30,0.0013930605843148849,0,0,-1,10,161.229609966573,None,159.1658592999447,159.49823260004632,160.1734953999985,160.50897899991833,161.1821719999425,161.51539000007324,right,1,2.537706400034949,159.22584409988485,None,161.72457409999333,None,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,164.36491956661146,None,163.30687429988757,163.63455619988963,164.31540219997987,164.65411589993164,None,None,up,1,1.4700356000103056,163.36546420003287,None,None,None,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,168.3894376666906,None,166.3470727999229,166.6824542998802,167.33886969997548,167.6639101000037,168.3419224000536,168.65985469985753,right,1,2.380673699779436,166.40704989992082,None,None,None,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,171.3522837665553,None,170.30943849985488,170.64853699994273,171.33561709988862,171.6516575999558,None,None,up,1,1.5206078998744488,170.37116630002856,None,None,None,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,174.44367306662414,None,173.38112049992196,173.7141356000211,174.39501559990458,174.71417589997873,None,None,up,1,1.5716128000058234,173.43996219988912,None,None,None,,,,,,,klxufm,001,0,fr,2022-05-09_17h40.48.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
