13.8440 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
18.3117 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.3124 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4353, -0.5216,  0.0902]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000212C19EDAF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000212C369AEB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.3129 	EXP 	window1: mouseVisible = True
18.3130 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.3130 	EXP 	window1: recordFrameIntervals = False
18.6414 	EXP 	window1: recordFrameIntervals = True
18.7028 	WARNING 	t of last frame was 30.69ms (=1/32)
18.7359 	WARNING 	t of last frame was 33.09ms (=1/30)
18.7723 	WARNING 	t of last frame was 36.37ms (=1/27)
18.8095 	WARNING 	t of last frame was 37.21ms (=1/26)
18.8444 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
21.5734 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

