tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_both,Audiogram_frequency,Audiogram_none,Audiogram_time,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,16.095943899825215,None,none,1000,30,0.0013930605843148849,False,1,"[0.6450270939687504, 0.419551600493748, 0.7350645576445092, 0.6612010713860346]","[845.724790551694, 5582.164820362068, 2696.0243494841116, 351.42264039866694]",None,"[30, 30, 30, 30]",76.67965469998308,79.38242559996434,79.38242559996434,80.58871379983611,['space'],1,[0.42752929986454546],79.38242559996434,81.24827999994159,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.7614772580780726, 0.6371644270596292, 0.5202428543688368, 0.6588631271503199]","[496.0628287400624, 743.2544468767007, 1113.6233976754243, 1668.549817712543]",Perfect_5th,"[30, 30, 30, 30]",91.84305169992149,94.68685800000094,94.68685800000094,95.9215013999492,['space'],1,[0.4833791998680681],94.68685800000094,96.55315079982392,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,1,"[0.4223754159622613, 0.6895892554557621, 0.5764026655146092, 0.5570355996837267]","[157.9755332879509, 331.6393837183853, 729.9781576687246, 193.53002786826093]",None,"[30, 30, 30, 30]",100.34569909982383,102.9671341998037,102.9671341998037,104.1858469999861,None,1,,102.9671341998037,104.72854659985751,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.5542747264889392, 0.6443103104988261, 0.6233824606948138, 0.5013858803828661]","[258.65137320158993, 531.9857282655989, 135.3871360143111, 209.23297598172294]",None,"[30, 30, 30, 30]",110.05180729995482,112.8055665998254,112.8055665998254,114.03865120001137,['space'],1,[0.860176800051704],112.8055665998254,114.52613509981893,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,1,"[0.6951718815775121, 0.6199358065753497, 0.5052527941233464, 0.4816740207065488]","[177.78728594250865, 3980.555514456321, 776.6968863529357, 3572.7053704354894]",None,"[30, 30, 30, 30]",118.23193909996189,120.97583729983307,120.97583729983307,122.21047769999132,None,1,,120.97583729983307,122.6746735998895,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.24102750001475,None,f,133.24904490006156,126.24102750001475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.5604422998149,260.58555519999936,261.01685614991004,261.23669709987007,261.52628664989027,261.7484635999426,262.038989849994,262.2499207998626,262.5403954499867,262.7497886000201,260.93041719985195,262.71681050001644,263.0103708500043,263.23280429979786,262.71681050001644,263.5275739999488,l,1.4835759000852704,263.7345187999308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.7345187999308,None,265.2728684998583,266.2978961998597,266.7570298499428,266.97534839995205,267.05950874988923,None,267.7477143499069,267.97174880001694,268.1494025498629,268.37273649987765,266.6408841998782,268.4613304999657,268.75124384989033,268.96904499991797,268.4613304999657,269.2622571999673,l,1.8115579998120666,269.439294999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.439294999931,None,271.3021337999962,272.31432669982314,272.75287274983714,272.9771564998664,273.2714481499512,273.4885078999214,273.7766148498282,None,274.2552360497881,274.4784891998861,272.6628534998745,274.4784891998861,274.77324354988525,274.9889875999652,274.4784891998861,275.27881419984624,l,0.9305813000537455,275.45483889989555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.45483889989555,None,276.4467384999152,277.4723443000112,277.90713694985027,278.1207340999972,278.20576025000776,278.4212847999297,278.9158404498827,279.12857259996235,279.29776124996135,None,277.8210797999054,279.60274419980124,279.8954955499154,280.1175643999595,279.60274419980124,280.41283369995654,280.61680419999175,None,281.6437159997877,None,323.40410499996506,None,3909.356915526799,-3.8490921623233767,5.2869347146830316e-05,1,"[0.6854468185940743, 0.6854468185940743, 0.6854468185940743, 0.6854468185940743]","[6205.717280226397, 5528.66557009505, 4925.481069424308, 4388.1047709746235]",Tone,"[-1.4269691556203679, -0.9694354748693517, 0.27134708569755706, 1.6083902085372372]",False,324.39988859998994,327.48521469999105,327.48521469999105,328.7089297999628,['space'],1,[0.3250085001345724],3.758047199808061,4.7874220996163785,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
