sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.86837220005691,None,57.347011800156906,None,0.16666666666666666,59.35305409994908,None,1.2162048424170089,both,708.0,-0.6997486487091552,4.0893810501644284e-05,0,26,[],0.028573049930855632,None,None,60.36082830000669,None,0.22533124987967312,1.441536092296682,60.57104860013351,None,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,1,0,1,0,,,,,,,,1.2162048424170089,both,631.0,-1.575409129693789,4.260441028143882e-05,0,27,[],0.02218874986283481,None,None,61.79152359999716,61.79152359999716,0.22534454986453056,1.4415493922815394,62.00327880005352,61.79152359999716,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,2,0,2,0,,,,,,,,1.2162048424170089,both,562.0,-1.0609174954137723,5.4670183654136756e-05,0,28,[],0.028299349825829268,None,None,63.21468869992532,63.21468869992532,0.2350108497776091,1.451215692194618,63.43791410000995,63.21468869992532,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,3,0,3,0,,,,,,,,1.2162048424170089,both,501.0,0.8705448307856843,7.880393820075432e-05,0,29,[],0.028519350104033947,None,None,64.64394089998677,64.64394089998677,0.23281254991889,1.4490173923358989,64.8526141999755,64.64394089998677,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,4,0,4,0,,,,,,,,1.2162048424170089,both,446.0,-1.4208503331295408,6.300635365582079e-05,0,30,[],0.028233350021764636,None,['space'],66.06332880002446,66.06332880002446,0.23243844998069108,1.4486432923977,66.28019249998033,66.06332880002446,[-1.0418118999805301],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,5,0,5,0,,,,,,,,1.2162048424170089,both,397.0,-1.9061811539865157,6.20950418195747e-05,0,31,[],0.02832595002837479,None,['space'],67.49692549998872,67.49692549998872,0.2295082500204444,1.4457130924374533,67.71113499999046,67.49692549998872,[-1.0831003999337554],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,6,0,6,0,,,,,,,,1.2162048424170089,both,354.0,-2.0,7.02951783824607e-05,0,32,[],0.02831694995984435,None,['space'],68.92328630015254,68.92328630015254,0.23216504999436438,1.4483698924113733,69.14637610013597,68.92328630015254,[-1.0369005999527872],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,7,0,7,0,,,,,,,,1.2162048424170089,both,315.0,-2.363964573087464,7.512280155074095e-05,0,33,[],0.02819414995610714,None,['space'],70.35443990002386,70.35443990002386,0.2367788499686867,1.4529836923856956,70.57271019998007,70.35443990002386,[-1.0608971999026835],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,8,0,8,0,,,,,,,,1.2162048424170089,both,,,,1,33,[],0.028234749799594283,None,['space'],71.7846409000922,71.7846409000922,0.23312464985065162,1.4493294922676605,72.00046529993415,71.7846409000922,[-0.6508700998965651],,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
0,0,0,0,9,0,9,0,,,,,,,,1.2162048424170089,both,250.0,-2.4819539548895775,0.0001258555310739155,0,34,[],0.029492649948224425,None,None,73.2084514000453,73.2084514000453,0.23225854989141226,1.4484633923084211,73.42365669994615,73.2084514000453,,,,,,,,,klxufm,001,fr,0,2022-05-09_17h25.11.568,Continuous,2022.1.1,35.54447198847977,
