frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
850,0,0,0,2,,,,,,,,,850,30,left,32.89860022999928,33.112358600017615,None,None,left,1,1.4449095000163652,32.41694910003571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
450,0,1,1,1,,,,,,,,,450,30,right,40.82860583003494,41.040488700033166,40.77329380001174,41.09503870003391,right,1,2.847970800008625,38.35873200005153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
1300,0,2,2,3,,,,,,,,,1300,30,right,46.010028230032184,46.22523770004045,45.9426109000342,46.251813900016714,right,1,2.996573999989778,43.55444680002984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
200,0,3,3,0,,,,,,,,,200,30,left,49.622368330025346,49.83834760001628,None,None,left,1,1.0947267999872565,49.16720670001814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
5000,0,4,4,4,,,,,,,,,5000,30,up,54.817105130007256,55.03500340000028,None,None,up,1,1.8600036000134423,53.36187850002898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,65.64085173002096,None,65.58685560000595,65.88955360004911,None,None,None,None,left,1,0.6169729999965057,65.64498760004062,None,None,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,67.80048543000012,68.00993060000474,67.71234820003156,68.03680100000929,None,None,None,None,left,1,0.5091743000084534,67.8016022000229,None,None,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,70.84631703002961,None,69.78348920005374,70.10995370004093,70.7922957999981,71.09973290003836,None,None,up,1,1.6176090999506414,69.8442760000471,None,None,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,73.98638883000822,74.20164929999737,72.93085689999862,73.24806460004766,73.93121310003335,74.25970570003847,None,None,up,1,1.3874348000390455,72.98629030003212,None,None,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,76.88556263002684,77.09904560004361,75.85297010000795,76.17429860000266,76.83001170004718,77.15855530003319,77.82552410004428,78.15619330003392,up,1,5.65934399998514,75.88206309999805,None,78.38594860001467,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,85.07197663002299,None,83.0419054000522,83.36258700001054,84.02357160003157,84.3445826000534,85.01684880000539,85.3359771000105,right,1,4.0230639999499545,83.07052930002101,None,85.58948870003223,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,90.63252253004467,None,88.60321800003294,88.90846790000796,89.5993095000158,89.90792930003954,90.57262540003285,90.88315250002779,right,1,2.6662117999512702,88.63568880001549,None,91.1212627000059,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,93.83715093002539,None,92.79197620000923,93.11873490002472,93.77742440003203,94.08699470001739,94.79777230002219,95.12091540003894,up,1,2.454215399979148,92.84863410005346,None,95.3463416300423,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,-20,4.405244365040069e-06,-1,0,-1,-10,97.83633523004247,98.0568388000247,96.7989430000307,97.12262640002882,97.77898000000278,98.08765450003557,98.8046694000368,99.12552450003568,left,0,4.522431499965023,96.8271786000114,None,99.33079190005083,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,right,1000,-15,7.833755350540743e-06,1,1,1,5,104.88301563001588,None,102.82542460004333,103.1598489000462,103.82448430004297,104.15572540002177,104.8284554000129,105.13318600005005,up,0,4.50348940002732,102.89546030003112,None,105.39305020001484,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,1,1,1,5,109.96326803003322,110.18044830003055,108.89267300005304,109.22077320003882,109.90637140005128,110.20737570000347,110.90287660004105,111.22702250001021,right,0,5.002929799957201,108.95531360001769,None,111.4605991000426,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,up,1000,-5,2.4772509540239506e-05,1,1,1,5,116.48043942999212,116.68712010001764,115.4488692000159,115.76347340003122,116.45331569999689,116.76972750003915,117.4287680000416,117.7548426000285,left,0,3.791943700052798,115.47810870001558,None,117.9870761000202,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,1,1,1,5,120.80092573003495,None,120.74545670003863,121.04772820003564,121.76216130005196,122.08350020000944,122.7498153000488,123.06839220004622,right,0,4.049572499992792,120.80526870000176,None,123.30453070002841,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,right,1000,5,7.833755350540742e-05,1,1,1,5,128.40520643001074,128.62070210004458,126.34456310002133,126.67278429999715,127.35978490003617,127.68372120003914,128.34946210001362,128.67732960003195,left,0,3.567283500044141,126.40667050000047,None,128.9114341000095,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,1,1,1,5,132.50999943004572,132.73218320001615,131.46118760004174,131.7848212000099,132.45179780002218,132.75939390005078,133.45877140003722,133.75950620003277,up,1,2.4687510000076145,131.4896546000382,None,133.9860665299988,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,1,1,1,5,136.46827762999456,136.67762120004045,135.41765710001346,135.73976940003922,136.44115389999934,136.75871360005112,137.43165760004194,None,up,1,2.0659835999831557,135.47641960001783,None,None,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,2,-1,-5.0,140.0781102300447,140.29690910002682,139.01958630001172,139.34939630003646,140.0187996000168,140.32726470002672,141.0325589000131,141.3345559000154,left,0,4.603960300039034,139.0817782000522,None,141.59272549999878,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,up,1000,2.5,5.874487774697646e-05,1,3,1,2.5,146.2153953300498,None,145.19346500001848,145.5245979000465,146.18827160005458,146.497752700001,147.1735169000458,147.50128960004076,up,1,3.2426868000184186,145.2271568000433,None,147.73877610004274,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,left,1000,2.5,5.874487774697646e-05,1,3,1,2.5,150.00269972999232,150.21523870003875,149.9755759999971,150.2790630000527,150.96768000000156,151.27881400001934,151.97349590004887,152.28730270004598,right,0,4.219449799973518,150.00985520001268,None,152.5041492000455,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,left,1000,5.0,7.833755350540742e-05,1,3,1,2.5,155.7627608300012,155.9813334000064,155.735637100006,156.0431201000465,156.72793069999898,157.05451410001842,157.72844950004946,158.05070060002618,left,1,3.0054868000443093,155.76831640000455,None,158.26483729999745,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,right,1000,5.0,7.833755350540742e-05,1,3,1,2.5,162.30686792999623,162.52275540004484,160.26611389999744,160.59004750003805,161.27894360001665,161.60962610004935,162.24840800004313,162.55487260001246,right,1,2.7763784999842755,160.33339730004082,None,162.823943000054,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,-1,4,-1,-5.0,166.67301743000863,None,164.6119488000404,164.91537560004508,165.61667350004427,165.93940250005107,166.6142631000257,166.9334385000402,up,0,3.0253128000185825,164.67667740001343,None,167.14998919999925,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,right,1000,2.5,5.874487774697646e-05,1,5,1,2.5,171.2558417299937,None,169.22325020004064,169.54713459999766,170.20994900004007,170.51488309999695,171.1954160000314,171.51613580004778,right,1,2.708066399965901,169.2501648000325,None,171.7472401999985,None,,,,,,,lkbxgs,001,0,fr,2022-04-29_11h34.18.271,3-AFC_adaptive_staircase_mess,2022.1.1,37.59049441413406,
