tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,answer_too_late.rt,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,22.51522830000613,None,time,1000,30,0.0013930605843148849,False,1,"[0.578525493104081, 0.578525493104081, 0.578525493104081, 0.578525493104081]","[129.3524060468257, 1110.1896976252992, 310.14921735577235, 420.258307192852]",None,"[30, 30, 30, 30]",43.149028400017414,45.807716300012544,45.807716300012544,47.044270500016864,['space'],1,[0.984195799974259],45.807716300012544,47.61155960004544,None,1,"['space', 'space']",0,"[0.6664720000117086, 2.298297100001946]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.7916644989881566, 0.7883315532268846, 0.7575530582173635, 0.4791856493204605]","[4968.910121023561, 1319.5197348060417, 3731.834535208474, 1371.3352392120382]",None,"[30, 30, 30, 30]",54.865154600003734,58.11627679999219,58.11627679999219,59.34022080001887,['space'],1,[0.8834689999930561],58.11627679999219,59.81870010000421,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,1,"[0.4209749328531132, 0.4209749328531132, 0.4209749328531132, 0.4209749328531132]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",63.84306290000677,66.04014699999243,66.04014699999243,67.24990500003332,None,1,,66.04014699999243,67.67806750000454,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.6353648033320431, 0.6353648033320431, 0.6353648033320431, 0.6353648033320431]","[946.3735232416512, 1836.9356485255817, 1600.553666831418, 2341.2147312760976]",None,"[30, 30, 30, 30]",71.63195300003281,74.45345020003151,74.45345020003151,75.67395389999729,['space'],1,[1.1227204999886453],74.45345020003151,76.29199670004891,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,1,"[0.6899228122224985, 0.7031138016374038, 0.5271177930127127, 0.5708778704718884]","[904.4847353394943, 511.6498121086666, 836.1498386239176, 243.1035023017198]",None,"[30, 30, 30, 30]",79.2096493000281,82.05575330002466,82.05575330002466,83.27409150003223,None,1,,82.05575330002466,83.84351640002569,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.28239060001215,None,space,30.82900480000535,86.28239060001215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.17421200004173,118.17254980001599,118.6568932800379,118.86311080004089,119.14627618004451,119.35536040004808,119.63783878000103,119.85359460004838,120.13807728001265,120.35457030002726,118.5425209000241,120.35457030002726,120.63863008003099,120.85151080001378,120.35457030002726,121.16868080000859,space,0.3633624999783933,121.34057620004751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.34057620004751,None,121.74691220000386,122.75676660001045,123.212071080046,123.42494340002304,123.50660378002212,123.720087099995,124.20300048001226,124.41202570003225,124.6243809800304,124.83750590001,123.12818110000808,124.92163120000623,125.21035927999182,125.42716560000554,124.92163120000623,125.73809009999968,space,1.8251928000245243,125.91039530001581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.91039530001581,None,127.79007670003921,128.8096072000335,129.26749638001783,129.48772040003678,129.74448407999589,129.95975010003895,130.2475080800301,130.4564401000389,130.75382258003228,130.97051980003016,129.15268310002284,130.97051980003016,131.2545999800146,131.4708532000077,130.97051980003016,131.78070250002202,space,1.7346434999490157,131.95321020000847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.95321020000847,None,133.72602340002777,134.73652700003004,135.191251380014,135.4040208000224,135.48501018003444,135.6977999000228,136.1820774800086,136.39046110003255,136.5740043800266,136.7829938000068,135.07825270004105,136.8948865000275,137.18381188000203,137.3915463000303,136.8948865000275,137.71839860000182,137.88963290001266,None,138.9230279000476,None,174.25874320004368,None,260.03778546884917,11.0,0.000556519832408508,1,"[0.5853889433094447, 0.561728367422663, 0.717074604168665, 0.7248681224458057]","[1310.5083187210012, 874.659366525079, 583.7650906303955, 389.616454223317]",Perfect_5th,"[9.0, 14.293514526086224, 10.0, 15.0]",False,175.24997599999188,178.1269878000021,178.1269878000021,179.34503050002968,['space'],1,[0.8636445000302047],3.6178995199734345,4.637326019932516,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.92654600000242,None,406.12619817811805,5.0,0.00013557841268703428,1,"[0.5490578683572203, 0.47181446349460177, 0.7159768822504102, 0.7667408606432506]","[161.17128855494758, 203.06309908905908, 255.84347299919395, 322.34257710989505]",Major_3rd,"[15.0, 15.542516398817245, 17.0, 17.0]",False,181.47412600001553,184.25182440003846,184.25182440003846,185.46454220003216,['space'],1,[0.8015366999898106],3.5246971199521795,4.548672219971195,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
