tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_late.rt,answer_too_early.rt,Audiogram_both,Audiogram_time,Audiogram_none,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,14.904510000022128,None,both,1000,30,0.0013930605843148849,False,1,"[0.46306709196124607, 0.46306709196124607, 0.46306709196124607, 0.46306709196124607]","[396.85026299205003, 500.00000000000017, 629.9605249474367, 793.7005259840998]",Major_3rd,"[30, 30, 30, 30]",34.7461252999492,37.05919419997372,37.05919419997372,38.28720159991644,['space'],1,[0.46973560005426407],37.05919419997372,38.73170490004122,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.5975644490333352, 0.5975644490333352, 0.5975644490333352, 0.5975644490333352]","[1574.901312368591, 1767.7669529663685, 1984.2513149602491, 2227.246795350848]",Tone,"[30, 30, 30, 30]",47.2369359000586,49.947165600024164,49.947165600024164,51.1741100999061,['space'],1,[0.4140352001413703],49.947165600024164,51.755404700059444,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,1,"[0.5553204589068048, 0.6680192830462972, 0.6429908320971759, 0.608067473155153]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",54.87091189995408,57.671411799965426,57.671411799965426,58.893129099858925,None,1,,57.671411799965426,59.48308959999122,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.6828701343645975, 0.6828701343645975, 0.6828701343645975, 0.6828701343645975]","[1146.7125892763156, 2686.3958421399716, 169.85238764582, 658.8956128939498]",None,"[30, 30, 30, 30]",65.76101699983701,68.74295399989933,68.74295399989933,69.95456249988638,['space'],1,[1.0739248001482338],68.74295399989933,70.65013560000807,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.6554778346397746, 0.6554778346397746, 0.6554778346397746, 0.6554778346397746]","[396.85026299205003, 353.5533905932739, 314.98026247371837, 280.6155120773433]",Tone,"[30, 30, 30, 30]",74.48774169990793,77.37638629996218,77.37638629996218,78.5856798000168,None,1,,77.37638629996218,79.23617210006341,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.21603069989942,None,space,17.84139610012062,85.21603069989942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.10437639988959,104.12143639987335,104.55598653003108,None,105.08531502995174,None,105.57584263000172,105.79185279994272,106.07176773005631,None,104.46952569996938,106.26327449991368,106.58467612985987,106.8082296999637,106.26327449991368,107.07680239994079,space,2.0279976001475006,107.28515059989877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.28515059989877,None,109.3731753998436,110.39760420005769,110.83965262991842,None,111.1325047299033,None,111.83150962984655,None,112.2278940299293,112.44814100000076,110.72324569988996,112.53943190001883,112.83002612984274,113.04839299991727,112.53943190001883,113.34583460004069,space,1.2406187001615763,113.5518296000082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.5518296000082,None,114.85169070004486,115.87716569984332,116.30145492998417,None,116.81972242996562,None,117.30055132985581,None,117.8208911299007,None,116.21435020002536,118.00719859986566,118.32068392995279,None,118.00719859986566,118.82788280001841,space,1.21618920029141,118.99280989984982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.99280989984982,None,120.2461856000591,121.24875949998386,121.69539212982636,None,122.01593053003307,122.23580570006743,122.70623942988459,122.92841339996085,123.10610233002808,123.33179219998419,121.60856610001065,123.38726569991559,123.70546583004761,None,123.38726569991559,124.21228919993155,124.39099429990165,None,125.42199019994587,None,145.7232516000513,None,1797.1135303758315,14.0,0.00032903357235522686,1,"[0.7247095155727817, 0.7247095155727817, 0.7247095155727817, 0.7247095155727817]","[3264.234161472737, 153.12342036847312, 624.7084649058229, 2868.580088109458]",None,"[8.0, 6.432035943248767, 18.86074235851716, 10.669625497967333]",False,146.72724070004188,149.92682019993663,149.92682019993663,151.1415069999639,['space'],1,[0.36915540019981563],3.9058031397871673,4.9147041398100555,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
