frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,left,42.06262916670336,None,None,None,left,1,1.018426200025715,41.59345869999379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,1,1,4,,,,,,,,,5000,30,up,None,None,None,None,left,0,1.234656500048004,46.32995309995022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,2,2,2,,,,,,,,,850,30,left,50.99541036662801,None,None,None,left,1,1.1270157999824733,50.533736199955456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,3,3,0,,,,,,,,,200,30,up,56.33975786663747,None,None,None,up,1,2.1921972000272945,54.876063799951226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,4,4,1,,,,,,,,,450,30,up,60.83580456668666,None,61.79745379998349,None,up,1,2.4071230000117794,59.36555310001131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,70.69261286670032,None,70.64749300002586,70.97684080002364,None,None,None,None,left,1,0.4902102000778541,70.70516729995143,None,None,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,72.7782939666106,None,72.73214690003078,73.07783319998998,None,None,None,None,left,1,0.43661989993415773,72.7913335999474,None,None,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,74.78133346670462,None,74.76466680003796,75.09699120000005,None,None,None,None,left,1,0.3603556000161916,74.79623740003444,None,None,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,None,None,76.67301619995851,76.99869449995458,None,None,None,None,left,0,0.5140029999893159,76.73088249994908,None,None,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,15,0.000247725095402395,1,1,1,5,80.8188539666046,None,78.78201570000965,79.09779689996503,79.77911899995524,80.11669609998353,80.7724426999921,81.11746630002744,right,1,2.732225100044161,78.84793109993916,None,81.33001080004033,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,15,0.000247725095402395,1,1,1,5,83.11409916665094,None,83.09743249998428,83.41963240003679,None,None,None,None,left,1,0.796133799944073,83.12789380003233,None,None,None,,,,,,,moiern,001,0,fr,2022-07-08_14h43.02.292,3-AFC_adaptive_staircase_mess,2022.1.1,None,
