tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_frequency,Audiogram_both,Audiogram_time,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,16.3774904999882,None,time,1000,30,0.0013930605843148849,False,1,"[0.5547277021241026, 0.5547277021241026, 0.5547277021241026, 0.5547277021241026]","[2440.300625546325, 584.6216127932289, 3462.245230310287, 2461.6361741005644]",None,"[30, 30, 30, 30]",40.403169699944556,42.99386249994859,42.99386249994859,44.21935809997376,['space'],1,[0.5149947999743745],42.99386249994859,44.758693799958564,None,1,['space'],0,[0.82416329998523],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.441136158321733, 0.6281984218557075, 0.5207653574057497, 0.5000574801291121]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",49.95918869995512,52.462358199991286,52.462358199991286,53.67380059999414,['space'],1,[0.6134636999340728],52.462358199991286,54.176399199990556,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.6968713292869175, 0.6968713292869175, 0.6968713292869175, 0.6968713292869175]","[945.1711973007141, 1562.652017028731, 779.8574370156143, 3578.6622814425905]",None,"[30, 30, 30, 30]",57.44299199990928,60.460152499959804,60.460152499959804,61.6719829000067,None,1,,60.460152499959804,62.38044529990293,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.7837687155926788, 0.7837687155926788, 0.7837687155926788, 0.7837687155926788]","[698.456462866008, 622.253967444162, 554.3652619537443, 493.8833012561241]",Tone,"[30, 30, 30, 30]",65.36666689999402,68.63995260000229,68.63995260000229,69.86733519996051,['space'],1,[1.1469185000751168],68.63995260000229,70.65452559990808,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.7738959454261085, 0.7738959454261085, 0.7738959454261085, 0.7738959454261085]","[629.9605249474366, 500.00000000000006, 396.8502629920499, 314.9802624737183]",Major_3rd,"[30, 30, 30, 30]",73.64022379997186,76.88589099992532,76.88589099992532,78.12043129990343,None,1,,76.88589099992532,78.87455579999369,None,1,['space'],0,[0.2027788000414148],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.08102689997759,None,space,19.010571900056675,81.08102689997759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15340379998088,101.17599459993653,101.61685083991615,101.83488049998414,102.10581823996036,102.32690629991703,102.6274820399587,102.85403769998811,103.10940493991366,103.32697689998895,101.52926719991956,103.32697689998895,103.6288993399241,None,103.32697689998895,104.13412979990244,space,1.1202073999447748,104.31516569992527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.31516569992527,None,105.49206179997418,106.51750139996875,106.96090213999851,None,107.25216734000715,None,107.94357283994323,108.16757319995668,108.3460434399196,108.57094809995033,106.87398699996993,108.65529289992992,108.95663443998201,None,108.65529289992992,109.48724539997056,space,1.834462400060147,109.67271269997582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.67271269997582,None,111.56863080000039,112.5935082999058,113.03360183989862,None,113.53381563989679,None,114.02069503999083,114.23305949999485,114.52082843995886,114.73400920000859,112.94356189994141,114.73400920000859,115.04013463993324,None,114.73400920000859,115.53785630001221,space,1.5057338000042364,115.73810359998606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.73810359998606,None,117.29838689998724,118.32760660001077,118.73947573999176,None,119.04414403996198,None,119.74546363995178,119.963857499999,120.16755133994157,None,118.6522588999942,120.46135499991942,120.75743523995625,120.97769719990902,120.46135499991942,121.27650919998996,121.4563971000025,None,122.47511699993629,None,152.43657289992552,None,6108.699419939105,0.017769004954904744,0.00012124023437857898,0,"[0.7797676973860905, 0.7797676973860905, 0.7797676973860905, 0.7797676973860905]","[1212.1194856711081, 1816.1272034011447, 2721.1162413641914, 4077.067721440044]",Perfect_5th,"[6.683787031380474, 4.0, 3.474299885712254, 3.5351726824326306]",False,153.399551599985,156.75098139990587,156.75098139990587,157.96863549994305,None,0,4.139214419876225,5.159573819837533,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
