tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,21.081006100052036,None,both,1000,30,0.0013930605843148849,False,1,"[0.5133320600359317, 0.5133320600359317, 0.5133320600359317, 0.5133320600359317]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",72.39834379998501,74.87058170000091,74.87058170000091,76.10500250000041,['space'],1,[0.827902700053528],74.87058170000091,76.61923359998036,None,1,['space'],0,[0.5944857000140473],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.483095505573489, 0.7740353717392967, 0.7521070423607914, 0.4999072620477427]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",81.77726000000257,84.70453390001785,84.70453390001785,85.93205850000959,"['space', 'space']",1,"[0.8161894999211654, 1.4085238999687135]",84.70453390001785,86.425270000007,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,0,"[0.42946697194260625, 0.6188313857650776, 0.6104417969495233, 0.7051900054072364]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",89.38818580005318,91.97860370005947,91.97860370005947,93.21081439999398,['space'],0,[0.7743116000201553],91.97860370005947,93.90810810006224,None,1,['space'],0,[-0.3949304000707343],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.555312941570352, 0.5646348751105711, 0.7500833606009867, 0.469439399355089]","[5795.1878072394275, 4063.0131696851518, 448.0802241028551, 1108.9855001171695]",None,"[30, 30, 30, 30]",96.96556359995157,99.75296660000458,99.75296660000458,100.98854199994821,['space'],1,[0.8246337999589741],99.75296660000458,101.44827479997184,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.7386927854530055, 0.7386927854530055, 0.7386927854530055, 0.7386927854530055]","[396.85026299205003, 353.5533905932739, 314.98026247371837, 280.6155120773433]",Tone,"[30, 30, 30, 30]",104.65300439996645,107.80707600002643,107.80707600002643,109.04357109998818,None,1,,107.80707600002643,109.76126099994872,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.10220279998612,None,space,16.074248200049624,112.10220279998612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.2317761000013,129.2491196000483,129.6990238666224,None,130.20134176669333,None,130.70112746669136,None,131.20152766671188,None,129.6247286000289,131.4260651000077,131.70250346669152,None,131.4260651000077,132.24297340004705,space,1.0207361000357196,132.42019620002247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.42019620002247,None,133.48470989998896,134.5168490000069,134.9678413667173,None,135.2676355667102,None,135.9522693666552,None,136.36069766671088,None,134.86436340003274,136.66917660005856,136.96263066662166,None,136.66917660005856,137.50680229999125,space,0.9490002000238746,137.67605570005253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.67605570005253,None,138.66785089997575,139.6698637000518,140.1327289667136,None,140.64498906670295,None,141.14942636661388,None,141.65227996668935,None,140.05672120000236,141.87561540002935,142.15571376664255,None,141.87561540002935,142.69131410005502,space,1.417658600024879,142.87214660004247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.87214660004247,None,144.34980019996874,145.3696110000601,145.81719626667135,None,146.1126325666594,None,146.82364816667203,None,147.23152776662417,None,145.74185210000724,147.54356939997524,147.81917596672818,None,147.54356939997524,148.36312919994816,148.54051019996405,None,149.5652460999554,None,157.31059650005773,None,2886.340039847686,3.8789194726919067,9.672661414824065e-05,0,"[0.7950576642226705, 0.7517272883520841, 0.759105948096832, 0.7545560507873109]","[688.5768311007097, 1159.2200218500657, 191.670967814368, 1332.242134786479]",None,"[9.0, 5.0, 10.543619371000801, 0.0]",False,158.32478649995755,161.65162839996628,161.65162839996628,162.87520530004986,None,0,4.0849805667530745,5.097063466673717,None,1,['space'],0,[0.6699874000623822],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
