frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,right,56.92263785006944,None,56.89318760007154,57.21787020005286,right,1,2.936377300065942,54.462138100061566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
1300,0,1,1,3,,,,,,,,,1300,30,right,65.4775114499731,65.70100030000322,65.4480611999752,65.76349140005186,right,1,2.913182600052096,63.03041620005388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
200,0,2,2,0,,,,,,,,,200,30,right,70.75429724997375,70.97975659999065,70.72484699997585,71.03956559998915,right,1,3.007609299966134,68.31254720001016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
5000,0,3,3,4,,,,,,,,,5000,30,left,73.95711834998801,74.17864739999641,None,None,left,1,0.9321023999946192,73.48245040001348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
850,0,4,4,2,,,,,,,,,850,30,right,79.58360435001086,None,79.55415410001297,79.87751170003321,right,1,2.897144200047478,77.13435619999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,94.45461735003627,94.6709396999795,93.39033910003491,93.72412869997788,94.3967744000256,94.69709330005571,None,None,up,1,1.6115016000112519,93.45123660005629,None,None,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,98.61553235005121,98.8368723000167,96.56312810000964,96.8627294000471,97.57920440007001,97.8918021999998,98.55549090006389,98.86830750002991,right,1,2.32961990009062,96.62192389997654,None,None,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,100.47790275004226,None,100.41993019997608,100.73958300007507,None,None,None,None,left,1,0.6223841999890283,100.48092700005509,None,None,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,103.64240945004858,None,102.59406700008549,102.89595000003465,103.58324010006618,103.88970529998187,None,None,up,1,1.4530496000079438,102.65051619999576,None,None,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,107.63066044999286,107.85015110007953,105.58216440002434,105.88024960004259,106.58642339997459,106.90148800006136,107.60121019999497,107.91052120004315,left,0,4.5803595000179484,105.64189329999499,None,108.14680670003872,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,right,1000,5,7.833755350540742e-05,1,1,1,5,113.76345305007416,113.99005969997961,111.70480860001408,112.0056312000379,112.71586790005676,113.0412458999781,113.70588909997605,114.0201742000645,right,1,2.4709103999193758,111.76791749999393,None,114.26147500006482,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,1,1,1,5,115.76515105008147,115.9912142000394,115.7079319000477,116.0214981000172,None,None,None,None,left,1,0.8755169999785721,115.76388500002213,None,None,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,-5,2.4772509540239506e-05,-1,2,-1,-5.0,120.17857165008317,120.39645600004587,118.11023520003073,118.41356930008624,119.12650670006406,119.44923540006857,120.11628439999186,120.42703250003979,up,0,3.3097603999776766,118.16969340003561,None,120.66544910008088,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,-2.5,3.303467240037979e-05,1,3,1,2.5,123.01453135001938,123.2329021000769,122.98508110002149,123.29392000008374,123.97127400001045,124.28539149998687,124.96863979997579,125.28739190008491,left,1,2.8915212999563664,123.01906860002782,None,125.52950150007382,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,-2.5,3.303467240037979e-05,1,3,1,2.5,128.43915304997935,None,127.37973100005183,127.69034750002902,128.38151970005129,128.69928609998897,129.38114830001723,129.69086079997942,right,0,2.5528284000465646,127.43843249999918,None,129.95834270003252,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,left,1000,0.0,4.405244365040069e-05,1,3,1,2.5,131.52580655007623,None,131.4640671000816,131.794667600072,132.45722910005134,132.78091660002246,133.47090940002818,133.79446930007543,up,0,4.261755299987271,131.52924290008377,None,133.99928940006066,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,right,1000,2.5,5.874487774697646e-05,1,3,1,2.5,139.32955014999024,139.55470390000846,137.26242030004505,137.56568090000656,138.28201189998072,138.58136439998634,139.27110400004312,139.58302919997368,right,1,3.0721964999102056,137.31856360007077,None,139.81870130007155,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,up,1000,2.5,5.874487774697646e-05,1,3,1,2.5,142.96691125005017,143.1835772000486,141.9116724000778,142.23825469997246,142.90431090001948,143.2149744000053,143.90296510001644,144.23096930002794,left,0,3.7337109999498352,141.96997990005184,None,144.4697847000789,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,up,1000,5.0,7.833755350540742e-05,1,3,1,2.5,148.23919905002694,148.4565068000229,147.19868849997874,147.5063401000807,148.17616320005618,148.4878231000621,149.17845710006077,149.51129509997554,up,1,2.84349919995293,147.22803250001743,None,149.7463601999916,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,left,1000,5.0,7.833755350540742e-05,1,3,1,2.5,151.6106054500211,151.8271778000053,151.5479239000706,151.8580679000588,152.5485358000733,152.86880940000992,153.56252959999256,153.88221890002023,left,1,2.888088300009258,151.6142582000466,None,154.09380660008173,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,left,1000,0.0,4.405244365040069e-05,-1,4,-1,-5.0,156.04791055005043,156.26576199999545,155.98559110006317,156.29657680005766,156.98570319998544,157.30270660005044,157.98736220004503,158.32079700008035,right,0,3.9871734000043944,156.05192360002548,None,158.53577389998827,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,up,1000,2.5,5.874487774697646e-05,1,5,1,2.5,162.57893205005675,162.80576450005174,161.5239096999867,161.8562354000751,162.54948180005886,162.86681510007475,163.52693260007072,163.85875190002844,right,0,3.3852545999689028,161.59031460003462,None,164.09615390002728,None,,,,,,,nfsmrp,001,0,fr,2022-06-21_17h04.01.963,3-AFC_adaptive_staircase_mess,2022.1.1,34.127607907684414,
