tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,30.503081499948166,None,time,1000,30,0.0013930605843148849,False,1,"[0.44296894241449436, 0.44296894241449436, 0.44296894241449436, 0.44296894241449436]","[879.0550230463076, 2172.729713359471, 384.4485233077653, 145.53041264202682]",None,"[30, 30, 30, 30]",89.03755350003485,91.30818749999162,91.30818749999162,92.54345609992743,['space'],1,[0.44935699994675815],91.30818749999162,92.96215899998788,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.41796310825842914, 0.41796310825842914, 0.41796310825842914, 0.41796310825842914]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",101.67766159994062,103.85563619993627,103.85563619993627,105.09077370003797,['space'],1,[0.3740498000988737],103.85563619993627,105.50714759994298,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,0,"[0.5905851946981737, 0.5905851946981737, 0.5905851946981737, 0.5905851946981737]","[6218.256757595888, 1407.8038892143024, 272.6585123196253, 1788.209765649642]",None,"[30, 30, 30, 30]",109.64779399998952,112.3633695000317,112.3633695000317,113.59804009995423,['space'],0,[0.4345522999064997],112.3633695000317,114.19423150003422,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.7839307233320938, 0.7839307233320938, 0.7839307233320938, 0.7839307233320938]","[964.0593604468492, 836.861583427024, 389.6488073033126, 2522.1638728101166]",None,"[30, 30, 30, 30]",119.15954160003457,122.44078129995614,122.44078129995614,123.67794520000461,['space'],1,[1.205038100015372],122.44078129995614,124.43962199997623,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.4578924149470475, 0.4578924149470475, 0.4578924149470475, 0.4578924149470475]","[396.85026299205003, 353.5533905932739, 314.98026247371837, 280.6155120773433]",Tone,"[30, 30, 30, 30]",127.60254600003827,129.9134774999693,129.9134774999693,131.15030330000445,None,1,,129.9134774999693,131.5987930999836,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.45624690002296,None,space,31.470491799991578,134.45624690002296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.97877089993563,167.0233467000071,167.4417003666206,None,167.943094966646,None,168.44777956669375,None,168.94530446659,None,167.3633524000179,169.17859559995122,169.44586316665325,None,169.17859559995122,169.9979570999276,space,2.474684700020589,170.16216519998852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.16216519998852,None,172.67942509998102,173.70232719997875,174.15002756665152,None,174.45899266662698,None,175.15184716665343,None,175.55546736665227,175.7863543999847,174.066770000034,175.8779602999566,176.15045796666917,None,175.8779602999566,176.7074583999347,space,2.1712177000008523,176.87322519998997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.87322519998997,None,179.11106459994335,180.14056660002097,180.59471366665483,None,181.0898465666144,None,181.59287196660105,None,182.08500466664944,182.31718429992907,180.50690369994845,182.31718429992907,182.59198606660746,None,182.31718429992907,183.14465809997637,space,2.484095499967225,183.3125784000149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.3125784000149,None,185.8529889000347,186.88062329997774,187.33292246662702,None,187.60550356662523,None,188.33613916667335,None,188.73188486666575,None,187.24892959999852,189.0493562000338,189.33235136670217,None,189.0493562000338,189.88860920001753,190.0506295999512,None,191.0875423999969,None,217.9513640999794,None,159.66663153366795,0.0,0.0004140892430932962,0,"[0.5135392077101655, 0.5135392077101655, 0.5135392077101655, 0.5135392077101655]","[804.6694001403073, 537.0523923691884, 358.43946855587774, 239.2296439679562]",Perfect_5th,"[11.612439159137557, 12.543365251228744, 9.111763019987018, 2.3518981835911785]",False,218.9308215000201,221.51525129994843,221.51525129994843,222.75649049994536,None,0,3.085684966761619,4.124942866736092,None,1,None,1,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
