sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.473315299954265,None,89.72618769994006,None,0.3333333333333333,91.57981179992203,None,1.986156836229005,frequency,1516.0,1.2598363904904035,5.7404774298596304e-05,0,26,[],0.02359833987429738,None,None,92.61779449996538,None,0.21978913992643356,2.2059459761554385,92.82992229994852,None,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.6294984936641788,frequency,1203.0,0.30087484414715604,5.439531538224861e-05,0,27,[],0.023725240025669336,None,None,94.83598009997513,94.83598009997513,0.23010243999306113,2.85960093365724,95.05038519995287,94.83598009997513,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.2082342696335813,frequency,955.0,-0.09293847303601144,4.2318227073561984e-05,0,28,[],0.022584639838896692,None,None,97.69965650001541,97.69965650001541,0.22551193984691054,2.433746209480492,97.91949839994777,97.69965650001541,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.6576559263190087,frequency,758.0,-4.952132134907751,2.2775024330894322e-05,0,29,[],0.024015839910134673,None,None,100.14496780000627,100.14496780000627,0.22836953995283693,2.8860254662718456,100.35615060001146,100.14496780000627,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.2880331611959048,frequency,602.0,-6.624160466195928,2.590242670113451e-05,0,30,[],0.023822639835998416,None,None,103.03741049999371,103.03741049999371,0.22944783989805728,1.5174810010939621,103.25390809995588,103.03741049999371,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.5758865611102777,frequency,478.0,-4.984191055217789,4.088279199108753e-05,0,31,[],0.023725339910015464,None,None,104.56522429990582,104.56522429990582,0.22688043990638107,1.8027670010166588,104.77733800001442,104.56522429990582,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.1574288270511155,frequency,379.0,-8.0,3.264724102951903e-05,0,32,[],0.022684939904138446,None,None,106.37545089994092,106.37545089994092,0.22506463981699198,2.3824934668681075,106.59565849998035,106.37545089994092,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.260381088915062,frequency,301.0,0.444628116193738,0.00011941169501581642,0,33,[],0.023630139883607626,None,None,108.77748869999778,108.77748869999778,0.22923433990217745,2.4896154288172396,108.99846749997232,108.77748869999778,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.946484501644864,frequency,239.0,0.08193449552950027,0.0001908254137835148,0,34,[],0.02341183996759355,None,['space'],111.28019879991189,111.28019879991189,0.2279182398924604,3.1744027415373246,111.49527499999385,111.28019879991189,[-1.8834395000012591],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.6801031155692625,frequency,190.0,-5.813122591801527,0.00015457964744183104,0,35,[],0.02357964008115232,None,['space'],114.46635120001156,114.46635120001156,0.22940974007360637,1.9095128556428689,114.67502730002161,114.46635120001156,[-2.733201300026849],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.829826344981301,frequency,151.0,-1.0243284443698208,0.0004365994622058307,0,36,[],0.023637940059415996,None,None,116.37610779993702,116.37610779993702,0.22852404008153826,3.0583503850628393,116.59094069991261,116.37610779993702,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,1.180027980455841,frequency,,,,1,36,[],0.023321039858274162,None,['space'],119.44902739999816,119.44902739999816,0.2275722399353981,1.407600220391239,119.66114019998349,119.44902739999816,[-2.50868209998589],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,0.16666666666666666,123.56902809999883,None,1.6139679796237003,frequency,7818.0,2.1474309192298806,0.00022539222261512025,0,37,[],0.02468023996334523,None,None,124.58342069992796,None,0.22330104000866413,1.8372690196323644,124.79638509999495,None,,120.86833089997526,None,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.9948730173815135,frequency,6965.0,2.4536599092514417,0.0001991836907986353,0,38,[],0.01554033998399973,None,None,126.43559489992913,126.43559489992913,0.21025003993418068,2.205123057315694,126.65218109998386,126.43559489992913,,,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.1428076700179255,frequency,6205.0,1.5224395669930266,0.0001495796479811562,0,39,[],0.023436139919795096,None,['space'],128.6732803999912,128.6732803999912,0.22939523996319622,1.3722029099811217,128.89503889996558,128.6732803999912,[-1.484686000039801],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.397289388342165,frequency,5528.0,1.0,0.00014953741009252546,0,40,[],0.023310540011152625,None,['space'],130.0597037000116,130.0597037000116,0.22919653996359557,1.6264859283057607,130.26846699998714,130.0597037000116,[-1.0151081000221893],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.051077262385746,frequency,4925.0,1.0,0.0001655937853633201,0,41,[],0.02332003996707499,None,['space'],131.69500529998913,131.69500529998913,0.22696153994183987,1.278038802327586,131.90923280001152,131.69500529998913,[-1.2428087999578565],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.9503342857553116,frequency,4388.0,-0.43474823249129346,0.0001052355509598749,0,42,[],0.018926039920188487,0.21576793992426246,['space'],132.98794449993875,132.98794449993875,0.21576793992426246,3.166102225679574,133.2096055999864,132.98794449993875,[-1.0082939000567421],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.808136030838127,frequency,3909.0,-0.41409855198722423,7.850920589466861e-05,0,43,[],0.016138439998030663,0.21340603998396546,['space'],136.17732369992882,136.17732369992882,0.21340603998396546,3.0215420708220924,136.3948914000066,136.17732369992882,[-2.7888436999637634],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.329748776135692,frequency,3483.0,-0.5841125019479849,6.999574415955767e-05,0,44,[],0.018734939978457987,0.2155344400089234,['space'],139.2281872999156,139.2281872999156,0.2155344400089234,2.5452832161446155,139.44742209999822,139.2281872999156,[-2.640459599904716],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.5179486738883987,frequency,3103.0,0.5579212669713045,6.885507246940197e-05,0,45,[],0.022507639951072633,None,['space'],141.7957026999211,141.7957026999211,0.22555353993084282,1.7435022138192415,142.016622099909,141.7957026999211,[-2.167114599957131],,,,,,,,nfsmrp,001,fr,0,2022-06-21_16h28.39.554,Continuous,2022.1.1,None,
