frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,right,42.2423736898927,42.45879669999704,42.17930279998109,42.47655909997411,right,1,2.9332499001175165,39.742022099904716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
850,0,1,1,2,,,,,,,,,850,30,left,47.18028758990113,47.38596550002694,None,None,left,1,1.2332516002934426,46.73940439987928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
200,0,2,2,0,,,,,,,,,200,30,left,50.909855689969845,51.12530259997584,None,None,left,1,0.9874730000738055,50.44070839998312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
5000,0,3,3,4,,,,,,,,,5000,30,right,55.73316088982392,55.9587858999148,55.66552309994586,55.98902039998211,right,1,2.7622132000979036,53.27369649987668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
1300,0,4,4,3,,,,,,,,,1300,30,right,60.430200389935635,None,60.36143499985337,60.66089820000343,right,1,2.8053349000401795,57.96693959995173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,70.94473319000099,71.15599559992552,69.90784560004249,70.2150294999592,70.91126640001312,71.21867059986107,None,None,up,1,1.3894943001214415,69.94288159999996,None,None,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,74.86643118981738,75.09014709992334,72.84309159987606,73.14422299992293,73.83524489984848,74.16665109992027,74.8329643998295,75.14738440001383,right,1,2.299428200116381,72.87220009998418,None,None,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,77.66931448981632,77.88179109990597,76.62868819991127,76.93046379997395,77.63584769982845,77.94474059995264,None,None,up,1,1.380515000084415,76.68735549994744,None,None,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,80.6182740899967,None,79.54380139987916,79.84461349993944,80.54917080001906,80.85210209991783,None,None,up,1,1.4013775000348687,79.61068079993129,None,None,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,82.55198769003619,None,82.48294749995694,82.78625619993545,83.48423999990337,83.7862469998654,84.4888788999524,84.81739769992419,left,1,6.427129400195554,82.55317700002342,None,85.05397489992902,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,92.51697008998599,92.72728569991887,90.4513055998832,90.75482399994507,91.4531465000473,91.75628009997308,92.45067079993896,92.76124099991284,up,0,5.074723100289702,90.51366989989765,None,93.02039449987933,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,5,7.833755350540742e-05,1,1,1,5,98.12640338984784,98.33828160003759,97.06359489983879,97.39631760003977,98.06092939991504,98.36985319992527,99.04908929998055,99.36215809988789,up,1,2.9728519001509994,97.09571989998221,None,99.61714640003629,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,1,1,1,5,101.60053018981125,101.81584709999152,101.5333012000192,101.84426139993593,None,None,None,None,left,1,0.7383332001045346,101.60238689999096,None,None,None,,,,,,,nlhglm,001,0,fr,2022-05-09_15h22.30.358,3-AFC_adaptive_staircase_mess,2022.1.1,35.20443744206413,
