tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,15.233957699965686,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.4838276586293387, 0.6868606483604509, 0.7106037349229974, 0.588335640300013]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",37.85896630003117,40.65520190005191,40.65520190005191,41.864993300056085,['space'],1,[0.6251055998727679],40.65520190005191,42.45797420013696,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.4087588533318782, 0.5392870144190611, 0.7480023779188418, 0.7802147168033118]","[149.11196275208405, 6302.140249111314, 7578.864073884458, 3388.325101576257]",None,"[30, 30, 30, 30]",47.864973600022495,50.49600489996374,50.49600489996374,51.7247107999865,['space'],1,[1.1026913998648524],50.49600489996374,52.494736100081354,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,1,"[0.48926364854853993, 0.48926364854853993, 0.48926364854853993, 0.48926364854853993]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",58.9829510001,61.389672100078315,61.389672100078315,62.60080430004746,None,1,,61.389672100078315,63.0931631999556,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.6787907386646795, 0.6787907386646795, 0.6787907386646795, 0.6787907386646795]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",67.68453980004415,70.63238080008887,70.63238080008887,71.85307660000399,['space'],1,[1.1909487997181714],70.63238080008887,72.52737849997357,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,1,"[0.6631463119812369, 0.7021176169183949, 0.5932600902382426, 0.7459516305754739]","[4501.799923676303, 1644.0950808079, 143.67341547217546, 1083.2112526856965]",None,"[30, 30, 30, 30]",76.99107769993134,79.88334820000455,79.88334820000455,81.11189409997314,None,1,,79.88334820000455,81.83299909997731,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08304019994102,None,space,28.780119799776003,86.08304019994102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.91472110012546,115.93356820009649,116.39566345009953,None,116.90526185007766,None,117.3840673499275,117.61002529994585,117.9016949500423,118.11834060004912,116.30932310014032,118.11834060004912,118.40571485003457,118.62556049996056,118.11834060004912,118.94803080009297,space,2.3571364998351783,119.08179600001313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.08179600001313,None,121.50292260013521,122.51297760009766,122.98072554995306,123.19295260007493,123.27579825008289,123.48723380011506,123.98509594993666,None,124.3814933501184,None,122.89500349992886,124.67216940014623,124.97764964993112,125.19021390005946,124.67216940014623,125.47902050008997,space,1.741492899833247,125.68108110013418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.68108110013418,None,127.47596390009858,128.50599800003693,128.9669271501247,129.185444700066,129.45077775008977,129.67150739999488,129.96272235000507,None,130.45877405009233,None,128.8490649999585,130.66756670014001,130.95855385004543,131.17253500013612,130.66756670014001,131.4944452000782,space,1.2799349997658283,131.6633932001423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.6633932001423,None,132.97936860006303,133.98046220000833,134.44276144993492,134.66418990003876,134.72038635015488,134.93779919994995,135.42673855004833,135.64885220001452,135.8489432501141,136.0659799000714,134.33112139999866,136.121203500079,136.44026854992845,136.65283229993656,136.121203500079,136.93281100015156,137.14147839997895,None,138.14140060008503,None,171.19124520011246,None,6460.963350202785,-5.999999999999999,6.760372292367654e-05,1,"[0.6230916196452086, 0.6230916196452086, 0.6230916196452086, 0.6230916196452086]","[2564.0350047099714, 3230.481675101393, 4070.1518637598956, 5128.070009419942]",Major_3rd,"[10.64413019887376, 8.0, 5.0, 3.452465288090184]",False,172.20209280005656,175.0862889001146,175.0862889001146,176.30215270002373,['space'],1,[0.4121785999741405],3.5001355002168566,4.519460800103843,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
