sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.025116899982095,None,35.05399530008435,None,0.16666666666666666,36.99266369990073,None,1.8125787460200633,both,354.0,1.2263187207788544,0.00010191578955947554,0,25,[],0.005741866771131754,None,None,38.04129279986955,None,0.22751086670905352,2.040089612729117,38.26221389998682,None,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.8125787460200633,both,315.0,1.9294178771973867,0.00012315183807726742,0,26,[],0.012230066815391183,None,None,40.09609579993412,40.09609579993412,0.216735566733405,2.0293143127534683,40.309425899991766,40.09609579993412,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.8125787460200633,both,281.0,1.7241110506669104,0.00016420372894558185,0,27,[],0.011926366714760661,None,None,42.14250839990564,42.14250839990564,0.22191806673072278,2.034496812750786,42.355297999922186,42.14250839990564,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.8125787460200633,both,250.0,1.006496228907721,0.00018805930023812312,0,28,[],0.010768066626042128,0.20576236676424742,None,44.203957699937746,44.203957699937746,0.20576236676424742,2.0183411127843107,44.41166640003212,44.203957699937746,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.8125787460200633,both,223.0,3.086193723459298,0.00031440072716483887,0,29,[],0.011522466549649835,None,None,46.245755299925804,46.245755299925804,0.21898626652546227,2.0315650125455256,46.464312199968845,46.245755299925804,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.8125787460200633,both,199.0,6.082740190945452,0.0005420323494683007,0,30,[],0.011757466709241271,None,None,48.29674250003882,48.29674250003882,0.2269126665778458,2.039491412597909,48.518989299889654,48.29674250003882,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.8125787460200633,both,177.0,0.0,0.00034920770625886783,0,31,[],0.011503666639328003,None,['space'],50.36669809999876,50.36669809999876,0.218793066451326,2.0313718124713893,50.577251999871805,50.36669809999876,[-1.530975799774751],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.8125787460200633,both,158.0,3.1791577503092405,0.0006185021718011212,0,32,[],0.011921566678211093,None,None,52.41096149990335,52.41096149990335,0.21778446668758988,2.030363212707653,52.62456879997626,52.41096149990335,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.8125787460200633,both,141.0,2.8834651109176304,0.000808736395287189,0,33,[],0.012061066692695022,None,None,54.463273599976674,54.463273599976674,0.2220749668776989,2.034653712897762,54.67951130005531,54.463273599976674,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.8125787460200633,both,126.0,0.35979819526201595,0.0007440066866178032,0,34,[],0.011258066399022937,None,['space'],56.51333920005709,56.51333920005709,0.23237096657976508,2.0449497125998284,56.73750779987313,56.51333920005709,[-1.4537005999591202],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
