8.8241 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
13.1660 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.1664 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([ 0.6078, -0.2784, -0.2784]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B43EA97B20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B4407450D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1667 	EXP 	window1: mouseVisible = True
13.1667 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.1667 	EXP 	window1: recordFrameIntervals = False
13.4796 	EXP 	window1: recordFrameIntervals = True
13.5579 	WARNING 	t of last frame was 31.06ms (=1/32)
13.5918 	WARNING 	t of last frame was 33.94ms (=1/29)
13.6218 	WARNING 	t of last frame was 30.00ms (=1/33)
13.6566 	WARNING 	t of last frame was 34.76ms (=1/28)
13.6894 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
16.4459 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.3217 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.3217 	EXP 	window1: recordFrameIntervals = False
18.6125 	EXP 	window1: recordFrameIntervals = True
21.7813 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.8908 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.8927 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.8984 	EXP 	Created fixation_cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_cross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.8995 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.9641 	EXP 	Sound probe set volume 1.000
21.9657 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.9812 	EXP 	Created break_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='break_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.9826 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.0055 	EXP 	Created end_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='end_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.0251 	EXP 	instructions: autoDraw = True
35.0237 	DATA 	Keypress: space
35.0540 	EXP 	instructions: autoDraw = False
35.0540 	EXP 	blank_text: autoDraw = True
36.0244 	EXP 	Created sequence: fullRandom, trialTypes=1, nReps=999, seed=None
36.0271 	EXP 	New trial (rep=0, index=0): None
36.9927 	EXP 	blank_text: autoDraw = False
36.9927 	EXP 	text: height = 0.05
36.9927 	EXP 	text: height = 0.05
36.9927 	EXP 	text: text = 'RYTHME\n\nHAUTEUR'
36.9927 	EXP 	text: autoDraw = True
38.0004 	EXP 	Created sequence: sequential, trialTypes=1, nReps=11, seed=None
38.0005 	EXP 	New trial (rep=0, index=0): None
38.0129 	EXP 	Sound probe started
38.0413 	EXP 	text: autoDraw = False
38.0413 	EXP 	text: autoDraw = False
38.2316 	EXP 	Sound probe reached end of file
38.2321 	EXP 	window1: recordFrameIntervals = False
38.2622 	EXP 	text_2: autoDraw = True
38.2636 	EXP 	window1: recordFrameIntervals = True
40.0671 	EXP 	New trial (rep=1, index=0): None
40.0680 	EXP 	Sound probe started
40.0961 	EXP 	text_2: autoDraw = False
40.0961 	EXP 	text_2: autoDraw = False
40.2798 	EXP 	Sound probe reached end of file
40.2818 	EXP 	window1: recordFrameIntervals = False
40.3094 	EXP 	text_2: autoDraw = True
40.3106 	EXP 	window1: recordFrameIntervals = True
42.1162 	EXP 	New trial (rep=2, index=0): None
42.1173 	EXP 	Sound probe started
42.1425 	EXP 	text_2: autoDraw = False
42.1425 	EXP 	text_2: autoDraw = False
42.3319 	EXP 	Sound probe reached end of file
42.3336 	EXP 	window1: recordFrameIntervals = False
42.3553 	EXP 	text_2: autoDraw = True
42.3565 	EXP 	window1: recordFrameIntervals = True
