frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,left,102.36028881997336,102.5828453998547,None,None,left,1,0.8906452001538128,101.86884339991957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
450,0,1,1,1,,,,,,,,,450,30,right,109.4167518198723,None,109.35625539999455,109.69127810001373,right,1,3.3392837001010776,106.94785119988956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
850,0,2,2,2,,,,,,,,,850,30,right,117.16604561985005,117.37937979982235,117.10938619985245,117.4323711998295,right,1,2.7245700999628752,114.72373089985922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
5000,0,3,3,4,,,,,,,,,5000,30,right,123.68882221982349,123.9006285998039,123.66150169982575,123.98344350000843,right,1,2.8047796001192182,121.2342842000071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
200,0,4,4,0,,,,,,,,,200,30,up,127.93328671993223,128.1531853999477,None,None,up,1,1.7807391001842916,126.4666035999544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,right,1000,30,0.0013930605843148849,0,0,-1,10,139.41339681993705,139.63256369996816,137.33649489982054,137.64095939998515,138.34997979993932,138.6712723998353,139.35754759982228,139.6622694998514,right,1,2.338393600191921,137.40460389992222,None,None,None,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,142.31016372002196,None,141.27491159993224,141.59449179982767,142.24146039993502,142.54160969983786,None,None,up,1,1.2561503001488745,141.3032853999175,None,None,None,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,145.09106162001845,145.30824179993942,144.03262649988756,144.34855739981867,145.03525279997848,145.3344779999461,None,None,up,1,1.2628853002097458,144.08871729997918,None,None,None,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,148.8933343200246,149.11081799981184,146.84246399998665,147.1625447999686,147.84491209988482,148.16316489991732,148.8388183999341,149.1376332999207,right,1,2.248838300118223,146.90265179984272,None,None,None,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,150.66358831988182,None,150.63626779988408,150.9518240999896,None,None,None,None,left,1,0.4853897001594305,150.6652321999427,None,None,None,,,,,,,nunamh,001,0,fr,2022-05-17_10h55.11.857,3-AFC_adaptive_staircase_mess,2022.1.1,36.37645407459936,
