tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,22.73740589991212,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.7579010634283218, 0.41950057350043407, 0.6800680924533231, 0.5423233469231111]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",43.15104710008018,45.93118830001913,45.93118830001913,47.13928180001676,['space'],1,[0.5198262000922114],45.93118830001913,47.70035049994476,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.502588611597292, 0.502588611597292, 0.502588611597292, 0.502588611597292]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",54.25758139998652,56.70663870009594,56.70663870009594,57.90944870002568,['space'],1,[0.3742588998284191],56.70663870009594,58.428608800051734,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,1,"[0.7484876497897321, 0.7299555532808595, 0.4949730844740962, 0.5057210243007007]","[252.27307683762984, 283.2732156119742, 7319.550648386844, 1014.9013695582211]",None,"[30, 30, 30, 30]",61.39332129992545,64.30361540010199,64.30361540010199,65.52995879994705,None,1,,64.30361540010199,66.02586579998024,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.677407915534167, 0.677407915534167, 0.677407915534167, 0.677407915534167]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",73.24840530008078,76.20076190005057,76.20076190005057,77.40680289990269,['space'],1,[0.9284606999717653],76.20076190005057,78.1025404999964,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.5707001245442536, 0.5707001245442536, 0.5707001245442536, 0.5707001245442536]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",80.86749400012195,83.48912960011512,83.48912960011512,84.69648299994878,None,1,,83.48912960011512,85.27356799994595,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31009229994379,None,space,49.467296099988744,88.31009229994379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.82650940003805,138.83336609997787,139.29261205000802,139.50460750004277,139.78607605006545,139.9971710999962,140.28244045008904,None,140.78095304993911,None,139.20629899995402,141.0031681000255,141.2870207499247,141.4984870001208,141.0031681000255,141.8059938000515,space,1.4550872000399977,141.98596749990247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.98596749990247,None,143.49545480008237,144.50782250007614,144.96810814999043,145.19452479993924,145.25347914993762,145.4693011001218,145.9618338500615,146.17501579993404,146.3742348500993,146.59120450005867,144.85575579991564,146.67567200004123,146.9600217501167,147.17197909997776,146.67567200004123,147.48549250001088,space,1.6875495000276715,147.65746170002967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.65746170002967,None,149.38863419997506,150.402985899942,150.8645480499137,151.08108390006237,151.36783974994904,151.58121669990942,151.86550244996323,152.08938680007122,152.3454264500644,152.5606883999426,150.7540770000778,152.5606883999426,152.84488295000045,153.06099610007368,152.5606883999426,153.37325559998862,space,1.8592061998788267,153.54967459989712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.54967459989712,None,155.4644422000274,156.47157149994746,156.90763804996385,157.11884519993328,157.22809985005296,None,157.91800204995087,None,158.31216884991153,None,156.82208580011502,158.61697470000945,158.9311659499537,159.14650940010324,158.61697470000945,159.43515860009938,159.60767100006342,None,160.6422417999711,None,186.40964079997502,None,165.97737881842167,6.208275013174096,0.0007957121474083559,0,"[0.5746522002427529, 0.5746522002427529, 0.5746522002427529, 0.5746522002427529]","[1525.6170955744726, 717.7725929051032, 356.0774471892924, 843.1889964922439]",None,"[10.562014860488507, 5.236218676588652, 12.784698087435721, 5.81671246552616]",False,187.4197043001186,190.16680189990439,190.16680189990439,191.38906159996986,None,0,3.3361612500157207,4.339495550142601,None,1,['space'],0,[0.3941920001525432],,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
