frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,up,74.39279186664886,None,75.37144519999856,75.70201069998438,up,1,9.780529000010574,72.91863870000816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,1,1,0,,,,,,,,,200,30,right,89.11588796665116,None,89.06877809998696,89.40691069999593,right,1,3.6569190999725834,86.64328590000514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,2,2,1,,,,,,,,,450,30,up,95.14747486665534,None,96.10407790000318,96.42616790000466,up,1,2.8398513999709394,93.66740639999625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,3,3,2,,,,,,,,,850,30,right,101.74509406666427,None,101.7284273999976,102.06347989998176,right,1,3.441308500012383,99.29068800000823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,4,4,3,,,,,,,,,1300,30,right,107.46081426667321,None,107.41272870000103,107.73683619999792,right,1,3.526219899998978,104.98194150000927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,right,1000,50,0.013930605843148852,0,0,-1,5,139.76640936665743,None,137.71520539998892,138.041490100004,138.71602799999528,139.04536059999373,139.72019039999577,140.0601970999851,right,1,3.2628029999905266,137.77224510000087,None,140.27857799999765,None,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,50,0.013930605843148852,0,0,-1,5,142.6218468666523,None,142.57891219999874,142.91525540000293,143.56949419999728,143.90452310000546,144.57821249999688,144.91719889998785,left,1,3.0251871999935247,142.6343782999902,None,145.12878470000578,None,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,40,0.004405244365040069,-1,0,-1,-10,149.2101136666645,None,147.18252639999264,147.51522599998862,148.1650013999897,148.49952409998514,149.16375559999142,149.50102229998447,right,1,2.8954437999927904,147.21169930000906,None,149.7139681999979,None,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,40,0.004405244365040069,-1,0,-1,-10,152.66904876666766,None,151.64280649999273,151.97532800000045,152.62377629999537,152.9542211999942,153.6365400000068,153.97687290000613,up,1,2.8842639999929816,151.67112069998984,None,154.1965082999959,None,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,-1,0,-1,-10,158.12946576666243,None,156.09130020000157,156.42882919998374,157.07896680000704,157.40385269999388,158.08430399998906,158.40220779998344,right,1,3.075650799990399,156.12026470000274,None,158.64284960000077,None,ofgjwt,001,0,fr,2022-04-27_16h09.07.986,3-AFC_adaptive_staircase_mess,2022.1.1,None,
