practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.rt,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,140.95098139997572,None,567,40,0.006099267302654233,1.0088220666511916,None,None,0,142.96504439998535,143.97097769999527,['space'],0,[0.6258279999892693],141.96332419998362,142.97627499999362,None,1,143.97097769999527,None,145.00528019998455,None,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0091999666474294,None,['space'],1,153.27956549997907,154.30960829998367,None,1,,152.27823239998543,153.3084537999821,None,1,154.30960829998367,None,155.34557639999548,None,[0.3815175000054296],,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0124842666846234,None,['space'],1,156.71285299997544,157.71780309997848,None,1,,155.7116704999935,156.71285299997544,None,1,157.71780309997848,None,158.77007519998006,None,[0.6930263000249397],,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,0,0,0,0,163.21664249998867,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.013052499998593703,None,['space'],1,[0.31593290000455454],164.30530409998028,165.32116639998276,None,1,165.32116639998276,None,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.007486099988454953,None,['space'],1,[0.28375950001645833],167.40944609997678,168.42137629998615,None,1,168.42137629998615,167.40944609997678,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.00470409999252297,None,['space'],1,[0.2843679999932647],169.63310579999234,170.64843429997563,None,1,170.64843429997563,169.63310579999234,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01178203331073746,None,None,0,,171.8172069999855,172.81045019999146,None,1,172.81045019999146,171.8172069999855,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.009777900006156415,None,['space'],1,[0.5692856000096072],175.3638951999892,176.36492659998476,None,1,176.36492659998476,175.3638951999892,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.00959190001594834,None,None,0,,177.76322959997924,178.7723021999991,None,1,178.7723021999991,177.76322959997924,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.01229590000002645,None,None,0,,181.42043909998029,182.42115609999746,None,1,182.42115609999746,181.42043909998029,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.01546640001470223,None,['space'],1,[0.4326754999929108],185.50060609998764,186.5266958999855,None,1,186.5266958999855,185.50060609998764,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.006128300010459498,0.1959746000065934,None,0,,189.46423399998457,190.4969314999762,None,1,190.4969314999762,189.46423399998457,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.014273500011768192,None,['space'],1,[0.382492300006561],192.4626556999865,193.4649484999827,None,1,193.4649484999827,192.4626556999865,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011349733307724819,None,None,0,,195.50811019999674,196.52058939999552,None,1,196.52058939999552,195.50811019999674,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
