tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,answer_too_early.rt,Catch trial answer,answer_too_late.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,24.852181300026132,None,none,1000,30,0.0013930605843148849,False,1,"[0.5925080426331585, 0.45656658039527065, 0.7665171309702145, 0.4933795614011005]","[6701.603397031935, 922.5091778799288, 1300.5302944242032, 733.4768231784648]",None,"[30, 30, 30, 30]",61.32132640000782,64.07310420001158,64.07310420001158,65.28616540000075,['space'],1,[0.8489293999737129],64.07310420001158,65.77521300001536,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.4205089613817471, 0.48242757051513796, 0.7550271392754792, 0.4517921984767099]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",74.4686993000214,77.05950270002359,77.05950270002359,78.2719959000242,['space'],1,[0.583272899966687],77.05950270002359,78.73354560000007,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,0,"[0.427621736556519, 0.7417516362776253, 0.6192245984822932, 0.597620625125029]","[3779.7631496846193, 4242.640687119285, 4762.203155904598, 5345.392308842036]",Tone,"[30, 30, 30, 30]",81.37597570000798,84.0950426000054,84.0950426000054,85.31050690001575,['space'],0,[0.5082319999637548],84.0950426000054,85.91977410000982,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.47881149800044853, 0.47881149800044853, 0.47881149800044853, 0.47881149800044853]","[782.6319197476098, 4621.689635647393, 1769.8030149019344, 861.1339930577208]",None,"[30, 30, 30, 30]",91.2024963000149,93.56674340000609,93.56674340000609,94.7967640000279,['space'],1,[1.1001368999714032],93.56674340000609,95.24805680001737,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.45884379456388624, 0.45884379456388624, 0.45884379456388624, 0.45884379456388624]","[629.7999616093368, 3427.2978235858823, 151.1904037113727, 769.1132648891995]",None,"[30, 30, 30, 30]",98.00874700001441,100.30708680002135,100.30708680002135,101.5178415000264,None,1,,100.30708680002135,101.98331740000867,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.16778960000374,None,space,65.28154869997525,106.16778960000374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.49376350000966,172.51595070000621,172.9489281000104,None,173.46875700000675,173.6856048000045,173.94776079999866,174.17735080001876,174.4469636000111,None,172.86562850000337,174.6691449000209,174.95352290001466,None,174.6691449000209,175.47619990000385,space,7.285855799971614,175.6521236000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.6521236000117,None,183.00545330002205,184.01438760000747,184.46106330000913,None,184.76542990001036,None,185.45990260001855,None,185.86374950002647,None,184.36966470000334,186.1735896000173,186.47040770000314,None,186.1735896000173,186.9935228000104,space,3.2473229999595787,187.16425170001457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.16425170001457,None,190.48014760002843,191.50783080002293,191.94445920000436,None,192.43063680002234,192.65024200000335,192.93489100002336,None,193.430888100015,None,191.83138790001976,193.65260940001463,193.92701070000186,194.14473090000683,193.65260940001463,194.48172870001872,space,2.770780799968634,194.6319714000274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.6319714000274,None,197.43955160002224,198.45124850000138,198.89733200000484,199.114275800006,199.19770860000864,199.42292100001941,199.91892340000487,200.13753680000082,200.30774300002378,200.52335610002046,198.8085837000108,200.62180079999962,200.89528580002371,201.12540420002188,200.62180079999962,201.4343433000031,201.60959920001915,None,202.63455200000317,None,255.58082010000362,None,215.07733539186785,5.767674517343375,0.00045826524959263065,0,"[0.518734248347967, 0.7492653244011879, 0.6141090793168815, 0.7975448268811681]","[341.41398845556836, 304.1652846702464, 270.9804622155139, 241.416146428878]",Tone,"[12.633888727792076, 12.692802249890509, 12.411447692845933, 12.0]",False,256.5699679000245,259.47600640001474,259.47600640001474,260.6806411000143,None,0,3.6990112000203226,4.722982500010403,None,1,None,1,,,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
