13.7829 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
17.6068 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.6071 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([ 0.6078, -0.2784, -0.2784]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023D01E29AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023D03AE4FD0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.6074 	EXP 	window1: mouseVisible = True
17.6074 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.6075 	EXP 	window1: recordFrameIntervals = False
17.8771 	EXP 	window1: recordFrameIntervals = True
17.9556 	WARNING 	t of last frame was 35.34ms (=1/28)
17.9853 	WARNING 	t of last frame was 29.77ms (=1/33)
18.0143 	WARNING 	t of last frame was 28.95ms (=1/34)
18.0401 	WARNING 	t of last frame was 25.85ms (=1/38)
18.0917 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
20.5541 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.2305 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.2305 	EXP 	window1: recordFrameIntervals = False
22.4901 	EXP 	window1: recordFrameIntervals = True
25.2625 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

25.3481 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.3499 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
25.3525 	EXP 	Created fixation_cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_cross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
25.3535 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
25.4087 	EXP 	Sound probe set volume 1.000
25.4106 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
25.4263 	EXP 	Created break_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='break_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.4277 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
25.4506 	EXP 	Created end_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='end_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
25.4682 	EXP 	instructions: autoDraw = True
47.6497 	DATA 	Keypress: space
47.6793 	EXP 	instructions: autoDraw = False
47.6793 	EXP 	blank_text: autoDraw = True
48.6576 	EXP 	Created sequence: fullRandom, trialTypes=1, nReps=999, seed=None
48.6599 	EXP 	New trial (rep=0, index=0): None
49.6475 	EXP 	blank_text: autoDraw = False
49.6475 	EXP 	text: height = 0.05
49.6475 	EXP 	text: height = 0.05
49.6475 	EXP 	text: text = 'RYTHME\n\nHAUTEUR'
49.6475 	EXP 	text: autoDraw = True
50.6472 	EXP 	Created sequence: sequential, trialTypes=1, nReps=15, seed=None
50.6477 	EXP 	New trial (rep=0, index=0): None
50.6523 	EXP 	Sound probe started
50.6718 	EXP 	text: autoDraw = False
50.6718 	EXP 	text: autoDraw = False
50.8575 	EXP 	Sound probe stopped
50.8580 	EXP 	window1: recordFrameIntervals = False
50.8834 	EXP 	text_2: autoDraw = True
50.8848 	EXP 	window1: recordFrameIntervals = True
53.5982 	DATA 	Keypress: space
53.8247 	EXP 	New trial (rep=1, index=0): None
53.8258 	EXP 	Sound probe started
53.8444 	EXP 	text_2: autoDraw = False
53.8444 	EXP 	text_2: autoDraw = False
54.0258 	EXP 	Sound probe stopped
54.0262 	EXP 	window1: recordFrameIntervals = False
54.0558 	EXP 	text_2: autoDraw = True
54.0571 	EXP 	window1: recordFrameIntervals = True
56.9873 	EXP 	New trial (rep=2, index=0): None
56.9907 	EXP 	Sound probe started
57.0110 	EXP 	text_2: autoDraw = False
57.0110 	EXP 	text_2: autoDraw = False
57.1975 	EXP 	Sound probe stopped
57.1980 	EXP 	window1: recordFrameIntervals = False
57.2237 	EXP 	text_2: autoDraw = True
57.2250 	EXP 	window1: recordFrameIntervals = True
60.1651 	EXP 	New trial (rep=3, index=0): None
60.1661 	EXP 	Sound probe started
60.1850 	EXP 	text_2: autoDraw = False
60.1850 	EXP 	text_2: autoDraw = False
60.3656 	EXP 	Sound probe stopped
60.3660 	EXP 	window1: recordFrameIntervals = False
60.3960 	EXP 	text_2: autoDraw = True
60.3972 	EXP 	window1: recordFrameIntervals = True
63.3252 	EXP 	New trial (rep=4, index=0): None
63.3279 	EXP 	Sound probe started
63.3509 	EXP 	text_2: autoDraw = False
63.3509 	EXP 	text_2: autoDraw = False
63.5376 	EXP 	Sound probe stopped
63.5380 	EXP 	window1: recordFrameIntervals = False
63.5633 	EXP 	text_2: autoDraw = True
63.5646 	EXP 	window1: recordFrameIntervals = True
66.2780 	DATA 	Keypress: space
66.5045 	EXP 	New trial (rep=5, index=0): None
66.5056 	EXP 	Sound probe started
66.5242 	EXP 	text_2: autoDraw = False
66.5242 	EXP 	text_2: autoDraw = False
66.7057 	EXP 	Sound probe stopped
66.7061 	EXP 	window1: recordFrameIntervals = False
66.7362 	EXP 	text_2: autoDraw = True
66.7374 	EXP 	window1: recordFrameIntervals = True
69.4450 	DATA 	Keypress: space
69.6671 	EXP 	New trial (rep=6, index=0): None
69.6703 	EXP 	Sound probe started
69.6918 	EXP 	text_2: autoDraw = False
69.6918 	EXP 	text_2: autoDraw = False
69.8775 	EXP 	Sound probe stopped
69.8780 	EXP 	window1: recordFrameIntervals = False
69.9034 	EXP 	text_2: autoDraw = True
69.9046 	EXP 	window1: recordFrameIntervals = True
72.6170 	DATA 	Keypress: space
72.8400 	EXP 	New trial (rep=7, index=0): None
72.8436 	EXP 	Sound probe started
72.8624 	EXP 	text_2: autoDraw = False
72.8624 	EXP 	text_2: autoDraw = False
73.0618 	EXP 	Sound probe reached end of file
73.0622 	EXP 	window1: recordFrameIntervals = False
73.0813 	EXP 	text_2: autoDraw = True
73.0858 	EXP 	window1: recordFrameIntervals = True
75.8009 	DATA 	Keypress: space
76.0209 	EXP 	New trial (rep=8, index=0): None
76.0218 	EXP 	Sound probe started
76.0479 	EXP 	text_2: autoDraw = False
76.0479 	EXP 	text_2: autoDraw = False
76.2336 	EXP 	Sound probe reached end of file
76.2341 	EXP 	window1: recordFrameIntervals = False
76.2542 	EXP 	text_2: autoDraw = True
76.2554 	EXP 	window1: recordFrameIntervals = True
78.9731 	DATA 	Keypress: space
79.1935 	EXP 	New trial (rep=9, index=0): None
79.1972 	EXP 	Sound probe started
79.2188 	EXP 	text_2: autoDraw = False
79.2188 	EXP 	text_2: autoDraw = False
79.4136 	EXP 	Sound probe reached end of file
79.4141 	EXP 	window1: recordFrameIntervals = False
79.4340 	EXP 	text_2: autoDraw = True
79.4355 	EXP 	window1: recordFrameIntervals = True
82.1529 	DATA 	Keypress: space
82.3731 	EXP 	New trial (rep=10, index=0): None
82.3742 	EXP 	Sound probe started
82.3985 	EXP 	text_2: autoDraw = False
82.3985 	EXP 	text_2: autoDraw = False
82.5855 	EXP 	Sound probe stopped
82.5859 	EXP 	window1: recordFrameIntervals = False
82.6167 	EXP 	text_2: autoDraw = True
82.6180 	EXP 	window1: recordFrameIntervals = True
85.3256 	DATA 	Keypress: space
85.5463 	EXP 	New trial (rep=11, index=0): None
85.5473 	EXP 	Sound probe started
85.5736 	EXP 	text_2: autoDraw = False
85.5736 	EXP 	text_2: autoDraw = False
85.7658 	EXP 	Sound probe reached end of file
85.7680 	EXP 	window1: recordFrameIntervals = False
85.7891 	EXP 	text_2: autoDraw = True
85.7903 	EXP 	window1: recordFrameIntervals = True
88.5068 	DATA 	Keypress: space
88.7275 	EXP 	New trial (rep=12, index=0): None
88.7285 	EXP 	Sound probe started
88.7538 	EXP 	text_2: autoDraw = False
88.7538 	EXP 	text_2: autoDraw = False
88.9455 	EXP 	Sound probe reached end of file
88.9459 	EXP 	window1: recordFrameIntervals = False
88.9652 	EXP 	text_2: autoDraw = True
88.9664 	EXP 	window1: recordFrameIntervals = True
91.6849 	DATA 	Keypress: space
91.9049 	EXP 	New trial (rep=13, index=0): None
