frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
200,0,0,0,0,,,,,,,,,200,30,left,98.06663056667118,None,100.03881470000488,100.38838809999288,left,1,3.333319900004426,97.58741759997793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,1,1,2,,,,,,,,,850,30,left,104.83132946666252,105.0568405999802,106.78169819997856,107.09637590000057,left,1,3.2664751000120305,104.35729970000102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,2,2,3,,,,,,,,,1300,30,up,111.56746706666696,None,112.5178810999787,112.83762320000096,up,1,3.1159922999795526,110.09275319997687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,3,3,4,,,,,,,,,5000,30,up,116.95193056666564,None,117.89539286666356,None,up,1,2.392766200006008,115.48629699999583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,4,4,1,,,,,,,,,450,30,right,122.67946256665552,None,122.63548789999913,122.96148979998543,right,1,2.8483605999790598,120.21636009999202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,right,1000,50,0.013930605843148852,0,0,-1,5,171.6189240666611,None,169.60570569999982,169.92200349998893,170.60039629999665,170.9199042999826,171.60225739999441,171.9284595999925,right,1,2.4230763999803457,169.63238409999758,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,50,0.013930605843148852,0,0,-1,5,173.6043370666487,None,173.58767039998202,173.9147894999769,None,None,None,None,left,1,0.47229419997893274,173.61565500000142,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,40,0.004405244365040069,-1,0,-1,-10,177.65252446665934,None,175.58915919999708,175.90719959998387,176.6066104999918,176.93175560000236,177.60711109999102,177.94812089999323,right,1,2.31367569998838,175.6453094999888,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,-1,0,-1,-10,179.5193583666444,None,179.47169959999155,179.7957991999865,None,None,None,None,left,1,0.4788737999915611,179.52921359997708,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,-1,0,-1,-10,183.56877846667,None,181.5201390000002,181.83992850000504,182.51971120000235,182.83884809998563,183.5215901999909,183.86063349997858,right,1,2.3322866999951657,181.5797448999947,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,-1,0,-1,-10,185.46195576666312,185.69018000000506,185.41798589998507,185.74500599998282,None,None,None,None,left,1,0.5342778000049293,185.47406429998227,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,20,0.0004405244365040069,-1,0,-1,-10,187.57050906666362,None,187.524422699993,187.84090769998147,None,None,None,None,left,1,0.459296799992444,187.5814776000043,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,up,1000,20,0.0004405244365040069,-1,0,-1,-10,190.57919516665086,None,189.53301119999378,189.84898459998658,190.5330699000042,190.86703910000506,None,None,up,1,1.4244487000105437,189.59115739999106,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,193.60705776664352,None,192.53250229998957,192.84956649999367,193.5310274999938,193.8580725999782,None,None,up,1,1.334551999985706,192.59324200000265,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,196.50561816664802,None,195.44356329998118,195.76105739999912,196.46009209999465,196.7881112000032,None,None,up,1,1.436394400021527,195.49993930000346,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
