tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,16.939575099997455,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.6592361012365853, 0.4542614226290315, 0.7127568945182422, 0.5739255457353316]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",55.4337640000158,58.194576000008965,58.194576000008965,59.40952620000462,['space'],1,[0.5909385999839287],58.194576000008965,59.98275530000683,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.4503536365052107, 0.6039223447017205, 0.7030687439963739, 0.46715459996255776]","[905.7255378334585, 4173.606839576803, 1526.1558149864177, 5785.358614876449]",None,"[30, 30, 30, 30]",63.10832410000148,65.79201810000814,65.79201810000814,67.00141640001675,['space'],1,[0.8018816999974661],65.79201810000814,67.49011730001075,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.5113049184352781, 0.5113049184352781, 0.5113049184352781, 0.5113049184352781]","[3779.7631496846193, 4242.640687119285, 4762.203155904598, 5345.392308842036]",Tone,"[30, 30, 30, 30]",70.85880829999223,73.32823430001736,73.32823430001736,74.55304560001241,['space'],0,[0.49787239998113364],73.32823430001736,75.06513000000268,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.7599367505090644, 0.7599367505090644, 0.7599367505090644, 0.7599367505090644]","[277.182630976872, 311.12698372208087, 349.2282314330038, 391.99543598174927]",Tone,"[30, 30, 30, 30]",78.09289610001724,81.2997985999973,81.2997985999973,82.51372089999495,['space'],1,[1.1985604999936186],81.2997985999973,83.28756280001835,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.6314180912186602, 0.6810272038969225, 0.6248525787121528, 0.6580991805867988]","[629.9605249474366, 500.00000000000006, 396.8502629920499, 314.9802624737183]",Major_3rd,"[30, 30, 30, 30]",86.81463290000102,89.68365880000056,89.68365880000056,90.920223299996,None,1,,89.68365880000056,91.55769310001051,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.14341630000854,None,space,2.210642900026869,102.14341630000854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.40951550001046,105.4310281999933,105.8809625666802,None,106.39538166666559,None,106.88119086667236,None,107.39835196666924,None,105.80148900000495,107.58799329999601,107.89924006667958,None,107.58799329999601,108.41160670001409,space,1.72356850001961,108.59719749999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.59719749999931,None,110.38429560000077,111.41193329999805,111.86784086667855,None,112.16785626666775,None,112.85901846667208,None,113.25055486668522,None,111.76423870000872,113.5760702000116,113.85988156666669,None,113.5760702000116,114.4125173999928,space,2.8100020000129007,114.56789390000631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.56789390000631,None,117.42496150001534,118.45409559999825,118.90251836667109,None,119.41453756665966,None,119.89096736666785,None,120.41618456665698,None,118.82943859999068,120.6063694000186,120.91195896667001,None,120.6063694000186,121.42334909999045,space,1.0025947999965865,121.62401050000335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.62401050000335,None,122.68397469999036,123.70262640001602,124.15811016667091,None,124.45001036668351,None,125.137487366683,None,125.56335616668026,None,124.05173740000464,125.85537830000976,126.13865466666563,None,125.85537830000976,126.69083929999033,126.8607716000115,None,127.90207499999087,None,157.99882209999487,None,1103.0501121035268,-1.0,4.3103331562241384e-05,1,"[0.7744917749076571, 0.7744917749076571, 0.7744917749076571, 0.7744917749076571]","[5559.024221312532, 3710.2035404522544, 2476.263776439216, 1652.707789114331]",Perfect_5th,"[0.0, 1.5900489658360026, 6.781753329484543, 9.0]",False,158.98569830000633,162.3501695000159,162.3501695000159,163.5776901000063,['space'],1,[0.3173956999962684],4.122843866673065,5.138856966688763,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
