sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.617522099986672,None,46.2915102999832,None,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334]",48.30015769999591,None,1.2689103038108334,time,1000.0,-1.9554450316517855,3.517205574042524e-05,0,26,[],0.012406066642142832,None,None,49.327233099989826,None,0.22861916664987803,1.4975294704607114,49.54382799999439,None,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,1,0,1,0,,,,,,,,1.2689103038108334,time,794.0,-1.973495478541642,3.078735159773041e-05,0,27,[],0.012138566671637818,None,None,50.807437999988906,50.807437999988906,0.21115766669390723,1.4800679705047406,51.01486530000693,50.807437999988906,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,2,0,2,0,,,,,,,,1.2689103038108334,time,198.0,-1.8885614098838572,0.00021943139022438738,0,28,[],0.012245966703630984,None,None,52.283748299989384,52.283748299989384,0.21222566670621745,1.4811359705170508,52.50086860000738,52.283748299989384,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,3,0,3,0,,,,,,,,1.2689103038108334,time,1498.0,-1.9191452864261356,3.8766710523012064e-05,0,29,[],0.012195166666060686,None,None,53.765482499991776,53.765482499991776,0.21024436666630208,1.4791546704771354,53.97735559998546,53.765482499991776,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,4,0,4,0,,,,,,,,1.2689103038108334,time,140.0,-2.1980199035821615,0.0004574517202918496,0,30,[],0.012212566682137549,None,None,55.245708000002196,55.245708000002196,0.21092246667831205,1.4798327704891454,55.45414129999699,55.245708000002196,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,5,0,5,0,,,,,,,,1.2689103038108334,time,530.0,-0.832809751077525,6.0660547855019304e-05,0,31,[],0.012092966644559056,None,None,56.72354489998543,56.72354489998543,0.21212216664571315,1.4810324704565465,56.938890199991874,56.72354489998543,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,6,0,6,0,,,,,,,,1.2689103038108334,time,250.0,-0.9574418345816615,0.00015000229807279376,0,32,[],0.011733466642908752,None,None,58.205311300000176,58.205311300000176,0.2110985666513443,1.4800088704621777,58.420228300004965,58.205311300000176,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,7,0,7,0,,,,,,,,1.2689103038108334,time,315.0,-0.32926322418921683,9.495259606520847e-05,0,33,[],0.011460266658104956,None,None,59.68396789999679,59.68396789999679,0.20765366667183116,1.4765639704826645,59.894224899995606,59.68396789999679,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,8,0,8,0,,,,,,,,1.2689103038108334,time,176.0,-2.0075007402017166,0.00028003653518836975,0,34,[],0.011876866687089205,None,None,61.163490899984026,61.163490899984026,0.2114820666902233,1.4803923705010567,61.376907500001835,61.163490899984026,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,9,0,9,0,,,,,,,,1.2689103038108334,time,,,,1,34,[],0.012250666652107611,None,None,62.64502480000374,62.64502480000374,0.2114007666532416,1.480311070464075,62.85497939999914,62.64502480000374,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,10,0,10,0,,,,,,,,1.2689103038108334,time,2827.0,-1.8575467145187912,5.294910937657249e-05,0,35,[],0.013084866688586771,None,None,64.1220931999851,64.1220931999851,0.2112466666731052,1.4801569704839386,64.33362359998864,64.1220931999851,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
0,0,0,0,11,0,11,0,,,,,,,,1.2689103038108334,time,354.0,-2.0,7.02951783824607e-05,0,36,[],0.01198726665461436,None,['space'],65.6059285000083,65.6059285000083,0.2124812666734215,1.4813915704842548,65.81549509998877,65.6059285000083,[-0.571011299995007],,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,0,0,0,0,,,,,,71.49326789999031,None,1.412713326626062,both,140.0,-2.073919138089,0.00046403453501254945,0,26,[],0.012937566643813625,None,None,72.52603390000877,None,0.22138046665349975,1.6340937932795618,72.74552930000937,None,,67.08656739999424,None,0.3333333333333333,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,1,0,1,0,,,,,,,,1.412713326626062,both,177.0,-2.0134696407269828,0.0002769557186806397,0,27,[],0.011340666649630293,None,None,74.14959620000445,74.14959620000445,0.20941056666197255,1.6221238932880346,74.36200190000818,74.14959620000445,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,2,0,2,0,,,,,,,,1.412713326626062,both,223.0,-1.7474125729014354,0.00018022010028175814,0,28,[],0.011721666698576882,None,None,75.7751394000079,75.7751394000079,0.21692846668884158,1.6296417933149037,75.99154940000153,75.7751394000079,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,3,0,3,0,,,,,,,,1.412713326626062,both,281.0,-0.6284005532522068,0.00012524414583404506,0,29,[],0.011709266633260995,None,None,77.39775020000525,77.39775020000525,0.20981566663249396,1.622528993258556,77.60709060000954,77.39775020000525,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,4,0,4,0,,,,,,,,1.412713326626062,both,354.0,-2.0,7.02951783824607e-05,0,30,[],0.011760266643250361,None,None,79.01649469998665,79.01649469998665,0.2104998666618485,1.6232131932879106,79.22781340000802,79.01649469998665,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,5,0,5,0,,,,,,,,1.412713326626062,both,446.0,-0.482357342621169,7.019545543038048e-05,0,31,[],0.011153166648000479,None,None,80.63935650000349,80.63935650000349,0.22406476666219532,1.6367780932882574,80.8562765000097,80.63935650000349,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,6,0,6,0,,,,,,,,1.412713326626062,both,,,,1,31,[],0.01164626664831303,None,None,82.2626811999944,82.2626811999944,0.21278076665475965,1.6254940932808217,82.47478819999378,82.2626811999944,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,7,0,7,0,,,,,,,,1.412713326626062,both,708.0,-1.8894948949129402,3.5659090971715816e-05,0,32,[],0.012587366654770449,0.2103725666529499,None,83.88832949998323,83.88832949998323,0.2103725666529499,1.623085893279012,84.09898680000333,83.88832949998323,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,8,0,8,0,,,,,,,,1.412713326626062,both,892.0,-2.067289233204781,3.2302643038141334e-05,0,33,[],0.011414666631026193,None,['space'],85.511774899991,85.511774899991,0.2084294666419737,1.6211427932680358,85.72230249998393,85.511774899991,[-1.0840931000129785],,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,9,0,9,0,,,,,,,,1.412713326626062,both,1124.0,-1.9748502235011913,3.922534525638003e-05,0,34,[],0.011137666646391153,None,None,87.13597259999369,87.13597259999369,0.21090586663922295,1.623619193265285,87.35038439999335,87.13597259999369,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
1,0,1,0,10,0,10,0,,,,,,,,1.412713326626062,both,1416.0,-0.9494942619686244,4.5170230818693446e-05,0,35,[],0.011386466649128124,None,None,88.75745430000825,88.75745430000825,0.21404596665524878,1.6267592932813109,88.97036639999715,88.75745430000825,,,,,qmbami,001,fr,0,2022-04-27_14h42.41.817,Continuous,2022.1.1,36.41701708811619,
