frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,right,77.0558753499965,None,76.9880514999968,77.28676350000023,right,1,2.829556600001524,74.57366949999414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
850,0,1,1,2,,,,,,,,,850,30,right,84.4578946499998,None,84.42283619999944,84.72299939999357,right,1,2.792173699999694,82.01983739998832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
200,0,2,2,0,,,,,,,,,200,30,right,90.05926805000054,90.27179559999786,90.02420960000018,90.33359239999845,right,1,2.8536634000047343,87.62286479999602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
1300,0,3,3,3,,,,,,,,,1300,30,up,94.253137349998,94.46371649998764,None,None,up,1,1.8316160000103991,92.7955559999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
450,0,4,4,1,,,,,,,,,450,30,right,99.17612594999373,99.39659639999445,99.1116187999869,99.42394989999593,right,1,3.055772200008505,96.7310002999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,107.53583484998963,107.75566439999966,107.47150249998958,107.78769369999645,None,None,None,None,left,1,0.4494977000140352,107.53029999999853,None,None,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,110.49648934998841,110.7072807999939,109.44018049999431,109.74207899998873,110.43141689999902,110.73732659999223,None,None,up,1,1.3889462999941316,109.5023596999963,None,None,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,112.43885594999593,112.6526073999994,112.40379749999556,112.71508039999753,None,None,None,None,left,1,0.45815679999941494,112.4329846999899,None,None,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,115.42609534999356,None,114.38145439999062,114.67969999999332,115.3910368999932,115.70198899999377,None,None,up,1,1.3473143000010168,114.43989009999495,None,None,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,119.31568114999682,119.5348926000006,117.26089249999495,117.55931229999987,118.23932649999915,118.56320459999552,119.25107119999302,119.56359429999429,right,1,2.575720300010289,117.29197979999299,None,119.80517680000048,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,122.39395734999853,122.61160419999214,121.3438010999962,121.64335289999144,122.32921689999057,122.63948789999995,None,None,up,1,1.4388213000056567,121.37326259999827,None,None,None,,,,,,,quicsb,001,0,fr,2022-07-21_15h45.36.707,3-AFC_adaptive_staircase_mess,2022.1.1,30.73114306389485,
