tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_late.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,13.97389259999909,None,both,1000,30,0.0013930605843148849,False,1,"[0.6664396226209417, 0.6664396226209417, 0.6664396226209417, 0.6664396226209417]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",57.16199100000085,60.098784000001615,60.098784000001615,61.30317630000354,['space'],1,[1.0478255999914836],60.098784000001615,61.967828299995745,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.4034347751252336, 0.4552421990067448, 0.5428548545851813, 0.6675316658487198]","[147.25798690858852, 1284.9680945493367, 4345.660081064968, 292.4795131126644]",None,"[30, 30, 30, 30]",65.85929579999356,68.2065614000021,68.2065614000021,69.42121649999171,None,0,,68.2065614000021,70.09572430000117,['space'],0,None,1,[0.0018233000009786338],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.4549792241658797, 0.4549792241658797, 0.4549792241658797, 0.4549792241658797]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",78.53902749999543,80.84148479999567,80.84148479999567,82.04767129999527,None,1,,80.84148479999567,82.51642529999663,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.6020189695942214, 0.6020189695942214, 0.6020189695942214, 0.6020189695942214]","[7496.308214904978, 456.45532540708933, 4522.328397591564, 341.28105529952404]",None,"[30, 30, 30, 30]",85.74535179999657,88.49622109999473,88.49622109999473,89.73125519999303,['space'],1,[1.1221122999995714],88.49622109999473,90.31991739998921,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.7021570580750193, 0.7021570580750193, 0.7021570580750193, 0.7021570580750193]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",93.01943479999318,96.06762159999926,96.06762159999926,97.27327920000243,None,1,,96.06762159999926,97.990452500002,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.31120479998935,None,space,54.162144300004,101.31120479998935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.54693979999865,156.55560149998928,157.00348948999454,157.21797929999593,157.5242212899975,157.7491796999966,158.01785118999396,None,158.5168716900007,None,156.9164907999948,158.73844429999008,159.0306340899915,None,158.73844429999008,159.56938570000057,space,1.8257726000010734,159.72036099999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.72036099999968,None,161.61254210000334,162.63565799999924,163.06917508999322,None,163.37814758999593,None,164.06930928999645,None,164.46952598999633,None,162.98091980000027,164.77618059999077,165.07641798999248,None,164.77618059999077,165.59208599998965,space,2.963334700005362,165.77434150000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.77434150000045,None,168.7886479000008,169.81140540000342,170.25331138999172,None,170.74268678999942,None,171.26263148998987,None,171.74544938999315,None,170.13601170000038,171.940042599992,172.23469828999805,172.45696029999817,171.940042599992,172.744941500001,space,3.0535111999924993,172.94796189999033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.94796189999033,None,176.06093249999685,177.0743536999944,177.5033815900024,None,177.81132998999237,None,178.51582598999812,None,178.91856369000016,None,177.41562839999096,179.206059499993,179.50594958999864,None,179.206059499993,180.020631899999,180.22576439999102,None,181.2613898999989,None,203.55351040000096,None,7369.334646963221,-4.110633339793331,0.00010118434925443618,1,"[0.5566099567097111, 0.5566099567097111, 0.5566099567097111, 0.5566099567097111]","[193.276368614186, 2110.850133250267, 2462.844419182246, 2503.3112423789253]",None,"[8.322220697402269, 10.268044040814377, 11.272511997982248, 11.272511997982248]",False,204.52374520000012,207.20761869999114,207.20761869999114,208.4189733999956,['space'],1,[0.2731525999988662],3.249668220014428,4.282378720017732,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
