frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,left,73.89513856667715,None,None,None,left,1,0.9354813999962062,73.3916937999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,1,1,2,,,,,,,,,850,30,left,77.7028266667078,77.92458890005946,None,None,left,1,0.9539667998906225,77.22992880013771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,2,2,3,,,,,,,,,1300,30,right,None,None,84.57813966676282,None,left,0,2.388760899892077,82.15624619997106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,3,3,0,,,,,,,,,200,30,up,None,None,None,None,left,0,1.0785304999444634,85.93757960014045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,4,4,1,,,,,,,,,450,30,left,92.60036646674077,None,None,None,left,1,0.9337196000851691,92.11516600009054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,right,1000,30,0.0013930605843148849,0,0,-1,10,114.1126907666369,None,112.08706700010225,112.40369269996881,113.0840360999573,113.40428639994934,114.09602409997024,114.4189597000368,right,1,2.2739858999848366,112.13466620002873,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,117.97069686680722,118.1875285001006,115.92468459997326,116.24346849997528,116.92591570015065,117.24416660005227,117.92318919999525,118.24221810000017,right,1,2.2710319000761956,115.95343280001543,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,121.7972330668165,None,119.77343700011261,120.09018800011836,120.77465660008602,121.0911705000326,121.78056640014984,122.10803410015069,right,1,2.293811900075525,119.80228410009295,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,124.67209556681725,None,123.60320400004275,123.9186482001096,124.6151815999765,124.95002880017273,None,None,up,1,1.48294089990668,123.6612401001621,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,128.6949088667209,None,126.64626770000905,126.96298520010896,127.64778570015915,127.9651773001533,128.64907429995947,128.97638410003856,right,1,2.4171895999461412,126.70278130006045,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,131.6866084668475,131.9183857999742,130.63946480001323,130.9578266001772,131.6411055000499,131.97648039995693,None,None,up,1,1.6012989000882953,130.68665649998002,None,None,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,133.83441226679523,None,133.79217489995062,134.1114725000225,134.78878460009582,135.10784740000963,135.78905749996193,136.10930330003612,left,1,4.4738503999542445,133.84649160015397,None,136.34429250005633,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,139.87321676669333,None,139.82682320009917,140.15334570012055,140.83369070012122,141.14970510010608,141.8353422000073,142.15129740000702,right,0,2.989088100148365,139.88390809996054,None,142.38092530006543,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,-5,2.4772509540239506e-05,1,1,1,5,144.41018926684436,None,144.3646543000359,144.6913654000964,145.37930020014755,145.69176910002716,146.37763989996165,146.69816310005262,up,0,2.7550665999297053,144.42092379997484,None,146.92711749998853,None,,,,,,,quvvsxs,001,0,fr,2022-05-17_12h22.21.993,3-AFC_adaptive_staircase_mess,2022.1.1,None,
