tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,answer_too_early.rt,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_both,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,19.829097699839622,None,none,1000,30,0.0013930605843148849,False,1,"[0.6953339275984903, 0.5041826191786244, 0.7365306498724005, 0.7369447977178885]","[1039.2667812262464, 139.44034666590315, 1019.3632477904508, 749.9565517118278]",None,"[30, 30, 30, 30]",46.82508529978804,49.683550499845296,49.683550499845296,50.89454559981823,"['space', 'space']",1,"[0.48323190002702177, 1.3233004999347031]",49.683550499845296,51.62726619979367,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.7309884951781596, 0.7309884951781596, 0.7309884951781596, 0.7309884951781596]","[827.9142107953614, 1515.5311433788597, 432.7416822918133, 512.2144833886815]",None,"[30, 30, 30, 30]",58.824593199882656,61.9596492999699,61.9596492999699,63.18504069978371,['space'],1,[0.9517742998432368],61.9596492999699,63.91371619980782,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,1,"[0.6109853212834462, 0.449595504358133, 0.6262814643807821, 0.5149697656623216]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",67.16450499999337,69.78733339998871,69.78733339998871,71.00049739982933,None,1,,69.78733339998871,71.5279216999188,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.4056181126943527, 0.4056181126943527, 0.4056181126943527, 0.4056181126943527]","[1090.2364871233972, 505.2831264167009, 3664.08576710599, 365.9171342906573]",None,"[30, 30, 30, 30]",76.1693986998871,78.3151347998064,78.3151347998064,79.52208899985999,['space'],1,[0.7227585001382977],78.3151347998064,79.93927079997957,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.5904612208692575, 0.7075273552571738, 0.5847572880247016, 0.750535118589315]","[396.85026299205003, 353.5533905932739, 314.98026247371837, 280.6155120773433]",Tone,"[30, 30, 30, 30]",82.82805149978958,85.63084749993868,85.63084749993868,86.8537957998924,None,1,,85.63084749993868,87.6085086998064,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.05840349989012,None,space,56.33170609991066,90.05840349989012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.43110729986802,147.4561526000034,147.91274387000595,148.12414460000582,148.4088302700082,148.62764459988102,148.91790646996816,149.12899349979125,149.40888516984415,149.62447489984334,147.8269683998078,149.62447489984334,149.90958896984813,150.12831099983305,149.62447489984334,150.42471900000237,space,1.993807999882847,150.6199275997933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.6199275997933,None,152.6559924997855,153.65977049991488,154.12166586990935,154.3370962999761,154.43482776994352,154.6466581998393,155.12925356982743,155.3374677998945,155.5372034698492,None,154.00245699984953,155.8279973999597,156.10990916991142,156.32380359992385,155.8279973999597,156.64623309997842,space,0.824101900216192,156.8053326997906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8053326997906,None,157.6696519998368,158.70630799978971,159.14225536987652,None,159.63342516992708,159.84524019993842,160.15384516988416,160.3702859999612,160.6542841699673,160.8697609999217,159.05335389985703,160.8697609999217,161.15454536986073,161.36913949996233,160.8697609999217,161.66877159988508,space,1.6839012000709772,161.8360462000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8360462000128,None,163.57258389983326,164.57065609982237,165.02437396983152,None,165.32505706984085,165.54134609992616,166.02695056989324,166.24239009991288,166.44126246992965,166.6477494998835,164.93584339995869,166.72940209996887,167.04515436997173,167.26019639987499,166.72940209996887,167.54451219993643,167.7471210998483,None,168.78387299994938,None,173.8597434000112,None,7897.985149245324,-2.3824090945664764,0.0001356400999085043,0,"[0.4611395971804157, 0.4611395971804157, 0.4611395971804157, 0.4611395971804157]","[4975.418870645642, 5584.718856742014, 6268.634967170621, 7036.304845354095]",Tone,"[2.253106289190758, 1.0815060227410527, 1.0192658574643438, 2.0]",False,174.83601729990914,177.2410539998673,177.2410539998673,178.44964789994992,None,0,2.8811704302206635,3.8834084302652627,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7483280999586,None,1917.4556790994486,0.0,7.108465041158996e-05,1,"[0.5875089695920864, 0.4117537725973188, 0.5967667265528184, 0.5159851878517425]","[567.6854563196052, 5132.843062738238, 3034.3117204164046, 5351.6474371332915]",None,"[10.146867375390293, 2.0, 6.301877561509345, 1.504103727551139]",False,179.75847000000067,182.36397499986924,182.36397499986924,183.58062239992432,['space'],1,3.1639620300848037,4.1573235301766545,None,1,None,1,[0.18229099991731346],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.93595179985277,None,151.39779921739637,3.1576145975989864,0.0007015167723184188,0,"[0.684385773752223, 0.684385773752223, 0.684385773752223, 0.684385773752223]","[1448.1964074068526, 2922.7885820968204, 7824.3295612307265, 4177.399987403758]",None,"[7.089383911605467, 6.0, 3.6175909054335236, 4.2409436738925885]",False,184.94159809988923,188.03875759989023,188.03875759989023,189.26101149991155,None,0,3.7779599302448332,4.783755130367354,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7467844998464,None,1701.4188707959804,0.5661564456007218,6.54606335524185e-05,0,"[0.6237385897007361, 0.4549203408791256, 0.4781350640865354, 0.7753154198881641]","[1071.8267250021104, 1203.0848211785958, 1350.4170526700425, 1515.7918910119224]",Tone,"[5.839735171374016, 6.50896343074093, 7.0, 7.124052080247171]",False,190.74662449979223,193.3435962998774,193.3435962998774,194.5546392998658,None,0,3.3600005304906517,4.363180430373177,None,1,['space'],0,,[0.6301460999529809],,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
