9.1300 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
13.2528 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.2532 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([ 0.6078, -0.2784, -0.2784]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022D600C6B20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022D60DA60A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2535 	EXP 	window1: mouseVisible = True
13.2535 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.2535 	EXP 	window1: recordFrameIntervals = False
13.5416 	EXP 	window1: recordFrameIntervals = True
13.6269 	WARNING 	t of last frame was 40.09ms (=1/24)
13.6543 	WARNING 	t of last frame was 27.38ms (=1/36)
13.6841 	WARNING 	t of last frame was 29.83ms (=1/33)
13.7082 	WARNING 	t of last frame was 24.09ms (=1/41)
13.7367 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
16.3876 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.1643 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.1643 	EXP 	window1: recordFrameIntervals = False
18.4378 	EXP 	window1: recordFrameIntervals = True
21.3835 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.4767 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.4785 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.4813 	EXP 	Created fixation_cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation_cross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.4825 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.5398 	EXP 	Sound probe set volume 1.000
21.5414 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.5563 	EXP 	Created break_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='break_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.5577 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blank_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.5829 	EXP 	Created end_txt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='end_txt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.6018 	EXP 	instructions: autoDraw = True
42.5557 	DATA 	Keypress: space
42.5822 	EXP 	instructions: autoDraw = False
42.5822 	EXP 	blank_text: autoDraw = True
43.5570 	EXP 	Created sequence: fullRandom, trialTypes=1, nReps=999, seed=None
43.5595 	EXP 	New trial (rep=0, index=0): None
44.5761 	EXP 	blank_text: autoDraw = False
44.5761 	EXP 	text: height = 0.05
44.5761 	EXP 	text: height = 0.05
44.5761 	EXP 	text: text = 'X'
44.5761 	EXP 	text: autoDraw = True
45.5744 	EXP 	Created sequence: sequential, trialTypes=1, nReps=11, seed=None
45.5749 	EXP 	New trial (rep=0, index=0): None
45.5795 	EXP 	Sound probe started
45.6021 	EXP 	text: autoDraw = False
45.6021 	EXP 	text: autoDraw = False
45.7880 	EXP 	Sound probe stopped
45.7905 	EXP 	window1: recordFrameIntervals = False
45.8160 	EXP 	text_2: autoDraw = True
45.8173 	EXP 	window1: recordFrameIntervals = True
47.8360 	DATA 	Keypress: space
48.0569 	EXP 	New trial (rep=1, index=0): None
48.0580 	EXP 	Sound probe started
48.0829 	EXP 	text_2: autoDraw = False
48.0829 	EXP 	text_2: autoDraw = False
48.2680 	EXP 	Sound probe stopped
48.2687 	EXP 	window1: recordFrameIntervals = False
48.2890 	EXP 	text_2: autoDraw = True
48.2901 	EXP 	window1: recordFrameIntervals = True
50.2277 	DATA 	Keypress: space
50.4486 	EXP 	New trial (rep=2, index=0): None
50.4494 	EXP 	Sound probe started
50.4739 	EXP 	text_2: autoDraw = False
50.4739 	EXP 	text_2: autoDraw = False
50.6677 	EXP 	Sound probe reached end of file
50.6689 	EXP 	window1: recordFrameIntervals = False
50.6870 	EXP 	text_2: autoDraw = True
50.6883 	EXP 	window1: recordFrameIntervals = True
52.5069 	EXP 	New trial (rep=3, index=0): None
52.5082 	EXP 	Sound probe started
52.5325 	EXP 	text_2: autoDraw = False
52.5325 	EXP 	text_2: autoDraw = False
52.7158 	EXP 	Sound probe stopped
52.7161 	EXP 	window1: recordFrameIntervals = False
52.7460 	EXP 	text_2: autoDraw = True
52.7475 	EXP 	window1: recordFrameIntervals = True
54.7726 	DATA 	Keypress: space
54.9935 	EXP 	New trial (rep=4, index=0): None
54.9946 	EXP 	Sound probe started
55.0195 	EXP 	text_2: autoDraw = False
55.0195 	EXP 	text_2: autoDraw = False
55.2077 	EXP 	Sound probe reached end of file
55.2081 	EXP 	window1: recordFrameIntervals = False
55.2269 	EXP 	text_2: autoDraw = True
55.2282 	EXP 	window1: recordFrameIntervals = True
57.6752 	EXP 	New trial (rep=5, index=0): None
57.6763 	EXP 	Sound probe started
57.7009 	EXP 	text_2: autoDraw = False
57.7009 	EXP 	text_2: autoDraw = False
57.8879 	EXP 	Sound probe stopped
57.8900 	EXP 	window1: recordFrameIntervals = False
57.9144 	EXP 	text_2: autoDraw = True
57.9157 	EXP 	window1: recordFrameIntervals = True
59.5471 	EXP 	New trial (rep=6, index=0): None
59.5483 	EXP 	Sound probe started
59.5677 	EXP 	text_2: autoDraw = False
59.5677 	EXP 	text_2: autoDraw = False
59.7558 	EXP 	Sound probe stopped
59.7575 	EXP 	window1: recordFrameIntervals = False
59.7785 	EXP 	text_2: autoDraw = True
59.7797 	EXP 	window1: recordFrameIntervals = True
61.6892 	DATA 	Keypress: space
61.9165 	EXP 	New trial (rep=7, index=0): None
61.9177 	EXP 	Sound probe started
61.9367 	EXP 	text_2: autoDraw = False
61.9367 	EXP 	text_2: autoDraw = False
62.1277 	EXP 	Sound probe stopped
62.1281 	EXP 	window1: recordFrameIntervals = False
62.1482 	EXP 	text_2: autoDraw = True
62.1494 	EXP 	window1: recordFrameIntervals = True
64.6683 	DATA 	Keypress: space
64.8893 	EXP 	New trial (rep=8, index=0): None
64.8902 	EXP 	Sound probe started
64.9160 	EXP 	text_2: autoDraw = False
64.9160 	EXP 	text_2: autoDraw = False
65.1079 	EXP 	Sound probe reached end of file
65.1100 	EXP 	window1: recordFrameIntervals = False
65.1357 	EXP 	text_2: autoDraw = True
65.1369 	EXP 	window1: recordFrameIntervals = True
66.4936 	EXP 	New trial (rep=9, index=0): None
66.4964 	EXP 	Sound probe started
66.5200 	EXP 	text_2: autoDraw = False
66.5200 	EXP 	text_2: autoDraw = False
