frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
200,0,0,0,0,,,,,,,,,200,30,right,49.95802486670824,None,49.91258859995287,50.25310430000536,right,1,3.3125805999152362,47.4790763000492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
1300,0,1,1,3,,,,,,,,,1300,30,left,54.317704066696265,None,None,None,left,1,1.5052522999467328,53.86390450003091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
450,0,2,2,1,,,,,,,,,450,30,right,61.452689666712345,None,61.40544610004872,61.739638500032015,right,1,2.9906235000817105,58.969185399939306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
850,0,3,3,2,,,,,,,,,850,30,left,64.7624244666115,None,None,None,left,1,1.1125439999159425,64.30454409995582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
5000,0,4,4,4,,,,,,,,,5000,30,right,70.03050056664894,None,69.9812910000328,70.31479790003505,right,1,2.9269636999815702,67.54555349994916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,78.71199216664924,None,77.67226819996722,77.98808669997379,78.69532549998257,79.03276940004434,None,None,up,1,1.4575311000226066,77.7355121000437,None,None,None,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,81.71563206665839,None,80.69977840001229,81.02698480000254,81.69896539999172,82.03992430004291,None,None,up,1,1.4430379000259563,80.72628119995352,None,None,None,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,84.71563536668351,None,83.67330489994492,83.99827550002374,84.6709357999498,85.00684109993745,None,None,up,1,1.3809357000282034,83.73136340000201,None,None,None,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,86.6684941666356,None,86.62341869994998,86.9681023999583,None,None,None,None,left,1,0.6063536999281496,86.68299550004303,None,None,None,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,88.85472616664289,89.08172440005,88.80972939997446,89.14206640003249,89.81055499997456,90.13506590004545,90.81343360000756,91.13911959994584,right,0,3.028801599983126,88.86700710002333,None,91.3442363999784,None,,,,,,,rdzaqd,001,0,fr,2022-05-06_14h16.33.025,3-AFC_adaptive_staircase_mess,2022.1.1,35.524470867393255,
