tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,22.45179060008377,None,none,1000,30,0.0013930605843148849,False,1,"[0.6215979705735899, 0.7536694691012895, 0.7004834942106504, 0.6569200180987889]","[236.05660487104356, 3515.0934446762444, 1189.9715244326796, 135.53185873957594]",None,"[30, 30, 30, 30]",30.050173500087112,33.05183210002724,33.05183210002724,34.29149800003506,['space'],1,[0.5441996000008658],33.05183210002724,34.92218410002533,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.4869556882277747, 0.6886707519628492, 0.705468876433986, 0.40960100635921354]","[1395.9159155816396, 686.4065826454464, 4201.141896314125, 1754.1654140889252]",None,"[30, 30, 30, 30]",41.68678330001421,44.48173920006957,44.48173920006957,45.706975000095554,['space'],1,[0.6331432999577373],44.48173920006957,46.1117659000447,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,1,"[0.46752575572055866, 0.49822439014928066, 0.5237736725081623, 0.47541834905059865]","[433.43673208628945, 5247.277782538577, 180.92086063617305, 3225.5519669714804]",None,"[30, 30, 30, 30]",49.00125180010218,51.42155230010394,51.42155230010394,52.659633000032045,None,1,,51.42155230010394,53.125321900006384,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.4396096696921106, 0.4095382657258344, 0.7762477097333705, 0.6185720297140658]","[2011.1460746708358, 435.65780901704954, 3597.456181345972, 281.267265880799]",None,"[30, 30, 30, 30]",64.47125649999361,67.0193173000589,67.0193173000589,68.23810030007735,['space'],1,[1.0561065999791026],67.0193173000589,68.861322700046,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,0,"[0.4024442796629061, 0.4024442796629061, 0.4024442796629061, 0.4024442796629061]","[2597.0149906350925, 560.5024527965255, 131.2220557297578, 125.10753541702395]",None,"[30, 30, 30, 30]",71.54406570002902,73.69136890000664,73.69136890000664,74.91308289999142,['space'],0,[0.8156379000283778],73.69136890000664,75.31806429999415,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.238700899994,None,space,2.0771211999235675,78.238700899994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37700750003569,81.40956220007502,81.86328056670415,None,82.36524826666961,82.58873060008045,82.8704776666748,None,83.35923116672008,None,81.7878346000798,83.58664580003824,83.86785586673456,None,83.58664580003824,84.40883170010056,space,0.004401699989102781,84.56665150006302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.56665150006302,None,84.63109909999184,85.67494940001052,86.12610486668224,86.35579600010533,86.40310166665974,None,87.12073366676147,None,87.52320296672794,None,86.04640650004148,87.81161630002316,88.09983746667082,None,87.81161630002316,88.64446550002322,space,1.3114749999949709,88.84514069999568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.84514069999568,None,90.21960599999875,91.24737760005519,91.67800586676846,None,92.18283526675465,None,92.68988836667656,None,93.17796136666244,None,91.6042670001043,93.40559139999095,93.68562836671869,None,93.40559139999095,94.23096000007354,space,1.747368699987419,94.40764109999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.40764109999873,None,96.20314930006862,97.23774500004947,97.66324636672313,None,97.97133426677125,None,98.660856066683,None,99.07213896670534,None,97.58433010010049,99.38601510005537,99.66902106668955,None,99.38601510005537,100.22271540004294,100.39766280003823,None,101.42258620006032,None,123.16609780001454,None,920.4956480285158,13.0,0.0001866815052994769,1,"[0.4366010853475833, 0.4366010853475833, 0.4366010853475833, 0.4366010853475833]","[321.3881524391878, 2275.5545763437876, 1156.76706050845, 775.662737309924]",None,"[24.315909985835255, 5.260599938988865, 17.572487412297008, 18.0]",False,124.16127340006642,126.49069710006006,126.49069710006006,127.71216110000387,['space'],1,[0.04005199996754527],2.785779666621238,3.814915966708213,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0116375000216,None,5689.3468118872015,3.6684808694674773,0.0001942403111396815,1,"[0.4298677150956189, 0.4298677150956189, 0.4298677150956189, 0.4298677150956189]","[3584.063904224485, 4022.9757112075044, 4515.637557100832, 5068.631781766134]",Tone,"[5.734165779963748, 6.493070110718627, 8.0, 9.028398643114974]",False,129.01390360004734,131.32846150000114,131.32846150000114,132.549893300049,['space'],1,[0.010998499928973615],2.761528266593814,3.802915766602382,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.84820150001906,None,353.5533905932738,16.0,0.0005591060055563458,1,"[0.775189591953557, 0.775189591953557, 0.775189591953557, 0.775189591953557]","[561.2310241546867, 500.0000000000001, 445.44935907016975, 396.8502629920499]",Tone,"[19.284917039316973, 21.16096705241678, 23.0, 23.69144843127717]",False,134.41538790008053,137.7792785000056,137.7792785000056,139.01739950000774,['space'],1,[0.21962549991440028],4.124994233367033,5.153824333334342,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
