tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,17.48786839999957,None,both,1000,30,0.0013930605843148849,False,1,"[0.5118465179150682, 0.5118465179150682, 0.5118465179150682, 0.5118465179150682]","[629.9605249474365, 707.1067811865474, 793.7005259840997, 890.8987181403393]",Tone,"[30, 30, 30, 30]",56.986057200003415,59.437544899992645,59.437544899992645,60.66649159998633,['space'],1,[0.81885229999898],59.437544899992645,61.168030399945565,None,1,['space'],0,[0.5827456999686547],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.6636508427566887, 0.6636508427566887, 0.6636508427566887, 0.6636508427566887]","[1653.5266946484055, 199.63463823587685, 4820.266328097262, 572.8807825529902]",None,"[30, 30, 30, 30]",71.79805099999066,74.71480099996552,74.71480099996552,75.94469169998774,['space'],1,[0.9656817999784835],74.71480099996552,76.58944859995972,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,0,"[0.7667048250215848, 0.7667048250215848, 0.7667048250215848, 0.7667048250215848]","[3020.8897501873703, 3099.4556671286823, 190.11880153567168, 3164.212597138452]",None,"[30, 30, 30, 30]",85.80806549999397,89.02198249998037,89.02198249998037,90.23614669998642,"['space', 'space']",0,"[0.4497395000071265, 0.6746418000548147]",89.02198249998037,91.02349289995618,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.7369989158878375, 0.7369989158878375, 0.7369989158878375, 0.7369989158878375]","[1798.5909375337812, 172.11270256675405, 169.07687956477355, 3815.161376519572]",None,"[30, 30, 30, 30]",95.77792869997211,98.9054067999823,98.9054067999823,100.12768279999727,['space'],1,[1.127999699965585],98.9054067999823,100.86753369995859,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.44188350192474735, 0.7584524092861611, 0.6674424308614877, 0.5579762064317146]","[396.85026299205003, 353.5533905932739, 314.98026247371837, 280.6155120773433]",Tone,"[30, 30, 30, 30]",104.85935539996717,107.66985129995737,107.66985129995737,108.87558259995421,None,1,,107.66985129995737,109.43468859995482,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.18683259998215,None,space,25.44592670002021,114.18683259998215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.68576389999362,140.6890833999496,141.14830771995474,141.36584929999663,141.65432081999023,None,142.1492351199733,142.3644759999588,142.65555441995383,142.87533779995283,141.06260209996253,142.87533779995283,143.135734019964,143.3610954999458,142.87533779995283,143.68251649994636,r,4.1229428999940865,143.86129149998305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.86129149998305,None,148.04399929998908,149.06986429996323,149.49821671999524,None,149.82339991994667,150.03368449996924,150.5065755199641,150.72854009998264,150.92941181994973,None,149.4132153999526,151.21627609996358,151.5159540199558,151.73629909998272,151.21627609996358,152.02556179999374,space,0.21617579995654523,152.20033659995534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.20033659995534,None,152.45846709999023,153.45949179999297,153.92616731998277,154.13612659997307,154.42753571998327,154.6435309999506,154.93190801998134,None,155.4165017199586,None,153.8390913999756,155.60876559995813,155.90815981994382,None,155.60876559995813,156.40797379997093,r,3.409423799952492,156.6224323999486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.6224323999486,None,160.07073999999557,161.07426319998922,161.51427171995164,None,161.83286181999136,None,162.5151468199794,None,162.92103601996786,163.13768909999635,161.42421989998547,163.22816129995044,163.5515248199692,163.77489249996142,163.22816129995044,164.05134229996474,164.2132745999843,None,165.23350380000193,None,177.81893279997166,None,3318.4702741846795,11.657572712235277,0.00027546708211079857,0,"[0.4776592176474484, 0.4943578574905161, 0.7985439376093902, 0.7511338712241904]","[533.0582287195978, 256.03892646315416, 312.2839099949131, 285.9776745657518]",None,"[13.265893656062651, 19.0, 20.98075289920411, 20.633006653856143]",False,178.80261759995483,181.6203133999952,181.6203133999952,182.85334469994996,None,0,3.540339359897189,4.572923859930597,None,1,None,1,,,,,,,,regvnx,001,fr,0,0,2022-04-28_15h48.55.640,Cluster,2022.1.1,36.190527198261876,
